reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Antigua and Barbuda,United States of America,125745,190447,194196,240396,182558,156977,158340,154766,204628,145155,216605,677670,261505,425602,520498,489641,291909,570486,1027920,977335
Antigua and Barbuda,China,118526,146899,161051,395553,529479,493690,806161,656772,746977,245482,172363,54021,103666,45106,54803,71936,91316,110255,104519,166985
Antigua and Barbuda,Singapore,99131,113974,133117,194122,408744,284899,435448,533248,460528,348110,300558,211933,126876,128654,120698,92101,71774,71339,95971,89138
Antigua and Barbuda,Poland,56930,14940,6132,84843,81331,178719,72328,95028,109979,153252,187314,110651,185515,169824,138867,158836,114474,283901,46459,56842
Antigua and Barbuda,Germany,23871,133275,141240,93206,129092,45177,59882,17166,9353,28445,13156,17225,15062,15140,17755,8761,10481,27518,28528,31879
Antigua and Barbuda,United Kingdom,20914,22623,56610,51583,22821,37629,16582,22095,13767,21425,23501,39282,21604,21571,23538,18443,27002,23970,27440,28919
Antigua and Barbuda,Brazil,2355,11224,5668,5915,7035,5585,5179,4787,6347,5856,6868,6019,6709,7707,16195,24497,23077,34198,57307,28494
Antigua and Barbuda,Japan,24308,22103,99894,30930,24936,12672,9138,5783,5952,9198,10380,12914,17478,14651,17695,18731,8233,5644,11111,19021
Antigua and Barbuda,Netherlands,8556,4294,4201,4501,3610,8021,5499,4316,40462,4639,5613,8902,35747,6331,8656,25906,10129,10860,12291,15931
Antigua and Barbuda,France,4604,7642,14607,4906,13334,7593,4662,5037,5193,97384,55350,27026,27548,11279,12568,18481,10101,6267,7116,14681
Antigua and Barbuda,Türkiye,513,23296,1131,3629,1725,3403,3725,3252,7852,10778,15819,7697,4560,5517,7618,13560,6910,9022,13720,14062
Antigua and Barbuda,Italy,7344,9904,10236,65712,25548,6013,4781,5659,4731,6645,5770,6105,4918,10300,8116,10200,7029,11628,11703,11468
Antigua and Barbuda,Iceland,0,0,0,0,18,0,32,1152,7338,1907,1006,1944,1672,4434,6046,3902,1981,1025,8129,9617
Antigua and Barbuda,Spain,3698,72196,86046,117166,1872,5774,3094,17306,28449,1301,1728,1983,4336,21326,11428,6750,2173,2837,67053,9011
Antigua and Barbuda,Thailand,332,1439,3124,5308,3414,1697,995,689,896,1618,4137,4263,4355,4134,4303,4917,1992,3303,4997,8918
Antigua and Barbuda,Greece,846,2859,3048,7279,20611,14372,19813,11694,103,0,346,15056,12642,21157,17649,11710,7511,7982,10144,7813
Antigua and Barbuda,South Africa,1932,3144,5283,3088,3861,560,2161,1175,1977,2551,6325,5833,3943,4861,6535,5529,1599,1749,4204,5107
Antigua and Barbuda,Canada,13069,15327,62225,17840,21218,18581,19512,10337,18985,15496,10349,8331,7248,7418,10676,15967,7333,23947,8552,4667
Antigua and Barbuda,"Korea, Republic of",2693,4588,6253,4362,96059,1118,17377,3198,32713,37811,7087,35987,6356,4324,5483,5004,1909,2832,3457,4408
Antigua and Barbuda,Colombia,2497,1366,1933,11200,2402,1735,674,664,1927,611,799,671,643,571,741,1158,1211,1428,1128,3238
Antigua and Barbuda,Denmark,1208,6185,4801,21870,3722,2870,3036,3145,7558,2453,4041,2474,1396,1389,1732,2089,873,5841,2963,2488
Antigua and Barbuda,Finland,1755,1286,16606,9497,3730,1341,1781,3245,279,184,24209,53,1092,156,137,191,93,2750,25917,2451
Antigua and Barbuda,Belgium,512,571,510,3691,1867,1196,612,559,1654,58367,987,721,954,1257,1699,2119,3095,1887,4034,1698
Antigua and Barbuda,Malaysia,720,924,886,889,431,332,778,1248,1437,9329,8428,1774,1260,867,1075,571,461,1444,1093,1670
Antigua and Barbuda,Portugal,693,3076,29396,105765,61377,61947,29236,647,1061,99,534,564,252,196,661,1349,101,664,885,1516
Antigua and Barbuda,Belize,158,26,234,31,15,127,86,60,37,0,67,264,76,111,118,129,169,885,1297,1509
Antigua and Barbuda,New Zealand,686,803,719,1054,1068,929,1229,2319,764,887,740,1823,1000,1021,1588,2190,1132,1385,2074,1367
Antigua and Barbuda,Peru,294,315,253,387,855,323,520,854,512,643,707,937,688,534,1094,889,660,615,496,893
