reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Bangladesh,United States of America,2464879,2881335,3496714,3634597,3982746,3886495,4541169,5083031,5107248,5583498,5475305,6225086,6119726,5889645,6328156,6904284,6303847,8791501,11834783,8668701
Bangladesh,Germany,1536415,1470325,1978445,2053763,2575668,2848877,3162905,4353179,4131706,4739682,5109834,5118758,5450674,6057318,6862576,6642811,6560612,8422470,10423214,8397956
Bangladesh,United Kingdom,1544699,1372210,1696454,1758986,1894677,1902798,2071748,2794514,2699515,2912797,3140326,3539788,3521074,3567708,3718446,3927199,3047463,3300432,4889493,4250163
Bangladesh,France,775136,767250,929314,1058397,1300891,1305272,1499306,2017337,1811384,2091917,2269128,2378269,2734940,2774942,3082150,3336701,2886652,3638480,4928824,4191771
Bangladesh,Spain,410200,453778,589718,637883,824111,823759,931594,1353867,1410645,1669787,2003095,2202596,2515939,2794394,3233078,3410342,2956134,3604790,4426841,3333184
Bangladesh,Netherlands,338849,294564,393968,384849,451731,533312,612707,777725,744654,961534,1210277,965144,1094738,1414862,1626820,1605955,1464446,1682852,2019860,2259752
Bangladesh,Italy,376551,391432,534086,531403,638529,625412,725672,995431,989718,1148504,1403712,1427166,1462847,1560630,1652586,1649386,1385084,1521607,2170039,1772882
Bangladesh,Canada,377906,404644,479321,507140,612497,710751,813254,1072413,1132164,1156892,1108546,1160920,1224283,1271181,1326554,1483918,1179168,1505390,2023945,1661036
Bangladesh,Poland,36754,47735,84078,112635,255708,301674,380308,594109,538260,586431,823375,833569,1016054,1313257,1841249,1979821,2272584,2945567,3531721,1586929
Bangladesh,Japan,141571,151914,159534,174508,200446,264377,375128,562630,718790,891864,937258,1080591,1218734,1168143,1442700,1474148,1314332,1448553,1717403,1578518
Bangladesh,Switzerland,62323,66074,86371,97341,115132,127913,144336,207551,301053,337807,359083,365992,446406,508098,593553,616373,724414,1017097,1120581,1115874
