reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Benin,China,577262,952952,1452096,1975915,2314115,1952662,2273678,2874685,2413662,2992477,3485979,2993190,2065832,1931481,2150685,2152519,988381,1227521,1691014,1646362
Benin,France,238260,214129,235979,357124,420191,388507,527365,1125676,344028,357393,350380,284149,236714,206543,263069,182254,203503,267496,250225,266394
Benin,United States of America,45840,72279,115537,289411,846233,398337,462535,617575,572965,605364,780952,631352,235026,249819,254021,266422,196962,292302,287814,240743
Benin,Malaysia,11845,26420,98495,210513,396293,298597,477472,358859,340746,514390,496809,340326,286622,286767,175288,89606,97907,94180,155844,160299
Benin,Türkiye,5072,5186,6003,37146,25434,28587,116690,86572,79062,132783,100733,79920,84315,92899,113658,130979,117883,149702,168243,104304
Benin,Belgium,58268,66124,84474,139748,155467,210943,131398,393997,263158,233779,352411,250047,79049,81873,108394,106938,117938,156248,169891,94337
Benin,Germany,45749,42549,56159,69355,83298,94128,93339,116723,101281,123698,104361,74638,48638,36619,46409,40291,41994,57268,59583,89984
Benin,Netherlands,41966,46685,71044,82326,204358,234737,341611,794732,189883,146233,186828,138784,95840,86010,116444,82342,101568,82031,91634,83134
Benin,Brazil,18866,32017,36995,40703,131803,141004,102643,138493,156032,164452,119570,109899,71095,130785,145300,98154,127399,99636,78344,81609
Benin,Thailand,125092,174707,184907,280528,417920,356312,257387,132182,213706,497693,508285,313929,522691,694383,642396,435821,222189,166656,141350,73646
Benin,Spain,19030,22588,28940,43212,70167,58868,114739,135257,76716,74206,111057,78062,54345,50394,57424,46592,55588,57578,94906,67131
Benin,Poland,1593,729,1204,2078,6180,18708,16712,27218,36283,44112,60572,44684,22755,27464,28519,20106,17592,24597,39438,59933
Benin,Italy,40721,45739,35338,41984,78763,56884,59479,96269,62082,86500,96225,70921,41644,39321,50194,42640,47492,61884,59027,58481
Benin,United Kingdom,65871,60468,69168,85556,84342,120245,317964,702726,101844,109766,104101,90109,27783,22904,25021,35582,22067,31204,55782,53704
Benin,Canada,4532,3113,14089,10253,13250,8019,14900,14219,22263,22412,27604,27327,14227,20088,24315,25312,18489,28379,24085,39492
Benin,"Korea, Republic of",12517,15232,20822,34959,45879,36509,42279,41725,40317,41888,63410,38480,26319,42114,38514,38095,7755,16044,19579,22830
Benin,Portugal,1400,1083,651,1178,6356,9193,9789,17951,7668,12201,9022,7171,10583,7417,5016,4215,8554,15683,11050,16377
Benin,Japan,13325,19104,16419,20091,22834,30024,24110,26036,15228,10906,15847,9193,10549,8631,9443,6713,8074,7984,3895,13449
Benin,Denmark,4030,2725,1777,2417,5753,2099,2957,5006,1175,8332,2253,2543,1824,1583,12720,3488,4240,2694,6256,10539
Benin,South Africa,12245,12972,23022,24395,44680,29363,55681,40848,49006,33939,29416,24844,28030,19735,18120,14269,9661,16897,19053,9911
Benin,Lithuania,122,149,459,951,1201,1337,1765,2931,5287,9331,5270,8422,2634,2750,8449,4324,3268,4002,7277,9369
Benin,Sweden,2385,2263,12831,17417,36971,30432,20339,15042,17368,29222,19974,11274,12815,10180,6981,15346,13259,14417,8973,8317
Benin,Ireland,4015,3040,2291,3156,5420,7437,7159,6346,11722,10103,4598,7415,6157,5291,2898,12273,16893,28513,12608,7900
Benin,Austria,4345,3338,2579,4447,6904,9523,7667,9893,6622,10743,17760,18772,14860,13629,15951,10722,11530,4814,8194,6808
Benin,Switzerland,9496,8851,12847,20160,31315,24848,33821,33224,23302,31444,34085,22439,6435,5337,5005,4282,4638,8697,5354,6604
Benin,Slovakia,283,377,690,418,1303,791,1032,1551,2782,2972,3798,2927,790,2343,2257,3144,4199,3436,4749,5364
Benin,Latvia,2604,1,213,187,261,414,144,1357,135,180,8038,693,312,470,381,2116,1149,4858,13794,5242
Benin,Singapore,26257,57630,92830,55892,68515,35240,49375,46636,18767,18594,16625,18040,12650,11970,8619,4111,5344,5331,6149,4870
Benin,Hungary,301,1508,2194,3466,3776,3649,4112,3919,4984,5524,6224,5891,2577,4288,7797,2780,1808,4524,4934,4636
Benin,Norway,1241,1021,1021,367,315,5892,1624,1510,1603,2235,2581,2834,10934,2497,6662,5213,1090,4752,6818,4214
Benin,Argentina,3231,2382,4928,4808,5051,2842,2052,5158,13922,3344,8609,5172,2880,2283,1166,1606,1559,3432,5147,4039
Benin,"Taipei, Chinese",3027,7893,14535,9487,6600,9667,10035,8760,5253,4172,4556,2264,3088,3622,2560,1113,1224,2178,4206,3942
Benin,New Zealand,2695,3726,1417,739,1667,769,632,937,2044,666,2318,1285,2839,756,791,810,722,3318,761,3819
Benin,Czech Republic,585,1477,1421,2017,2853,1549,1139,1316,1431,1577,3900,1708,2139,2820,2096,1889,1745,1725,1515,3727
Benin,"Hong Kong, China",5883,13209,40912,43838,35296,23735,11182,6184,5389,4327,4839,10613,17806,6457,11570,4652,8895,8326,7229,3414
Benin,Australia,293,275,1279,1088,11284,561,413,1465,1509,1652,1657,1139,1508,717,865,602,472,1951,1163,2066
Benin,Bulgaria,1406,141,310,443,1206,3624,23131,32505,408,1135,998,1002,946,1617,1431,1647,2498,3312,1701,1724
Benin,Finland,2295,920,732,1049,642,625,386,65562,199,422,4273,1345,7423,1226,5560,998,784,1712,1147,1682
Benin,Chile,126,245,198,1900,3634,4622,1447,1465,1430,2176,1909,2389,1748,519,655,381,852,515,286,1430
Benin,Greece,682,3337,3046,6578,2654,1670,19922,22896,14123,7705,2267,650,1358,1365,1586,2532,382,805,1408,1391
