reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Bhutan,Italy,0,41,14,2,3040,538,507,2414,3317,3136,7602,3785,135,4085,10609,5793,5290,6159,20360,17400
Bhutan,"Korea, Republic of",339,36,0,21,40,13,21,13,7,382,21,10,3,8,85,11,2,1680,2092,2982
Bhutan,China,171,2,0,1,0,52,13,76,13,9,104,350,128,173,8,47,33,11,2854,2904
Bhutan,Singapore,0,0,0,0,0,0,0,213,25,301,517,114,129,963,1105,1231,631,862,4590,1760
Bhutan,United States of America,232,667,1108,838,464,220,406,543,584,572,306,3624,4273,1223,845,619,431,378,317,1645
Bhutan,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1567
Bhutan,Spain,13,2,0,2,1,3,0,3,572,5,125,1324,337,1251,2579,286,233,50,447,1444
Bhutan,France,402,1094,191,397,105,87,152,84,151,1293,2105,4595,1314,3009,3841,691,55,376,254,1252
Bhutan,Germany,38,200,323,236,817,415,3,1780,1394,6743,10441,11901,1756,5094,8656,1363,252,1420,689,874
Bhutan,Slovenia,0,2,0,0,1,0,0,0,22,0,0,182,0,540,0,69,53,0,0,865
Bhutan,Japan,3525,198,188,781,1394,359,3128,3307,2244,2156,637,166,1037,1358,954,634,554,314,464,850
Bhutan,United Kingdom,203,85,112,142,321,78,104,226,207,48,110,231,33,130,8413,386,507,75,222,743
Bhutan,Netherlands,70,30,33,128,277,13,5,29,234,957,318,559,459,6,518,40,187,18,803,711
Bhutan,Brazil,129,0,0,64,0,0,0,0,4,54,68,67,89,249,192,60,383,398,510,588
Bhutan,Poland,51,22,18,308,405,14,135,0,28,80,39,189,47,403,885,280,13,90,45,273
Bhutan,Switzerland,897,7,3,17,8,133,9,85,366,8,279,138,34,23,602,479,535,43,29,67
Bhutan,Thailand,23,538,2030,24063,77,111,125,92,355,42,58,43,124,68,502,140,47,39,52,63
Bhutan,Czech Republic,38,22,1,30,8,0,6,340,0,3,74,313,9,3,112,0,2,119,171,62
Bhutan,Australia,146,5,3,3,13,0,52,56,201,526,175,306,775,908,1470,1160,1,123,128,44
Bhutan,"Hong Kong, China",14,19006,62829,66504,583,177,379,13,4,10,23,24,71,48,69,37,9,2,0,43
Bhutan,Greece,0,2,0,0,0,0,0,0,0,142,0,0,0,2,0,0,1,0,0,42
Bhutan,Ireland,7,4,0,0,0,1,0,0,0,0,0,0,0,1,220,95,1,1,23,41
Bhutan,Colombia,173,38,7,278,432,114,73,79,144,161,914,9,23,1,22,24,11,2,7418,36
Bhutan,Malaysia,1,5,2,60,326,95,13,9,33,35,54,39,19,246,323,29,17,32,28,17
Bhutan,South Africa,19,2,22,180,36,145,52,25,0,13,9,3,6,118,504,473,1,4,1,16
Bhutan,Canada,15,13,22,15,29,13,44,48,53,194,22,267,17,395,93,155,168,23,21,14
Bhutan,Austria,386,26,10,28,178,11,10,7,69,8,397,53,33,144,54,92,24,168,45,7
Bhutan,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,7
Bhutan,Estonia,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,5
Bhutan,Denmark,22,2,18,1,48,99,226,8,24,4,183,2,0,0,1,1,1,102,0,4
Bhutan,"Taipei, Chinese",0,3,0,2,4,19,56,1,17,22,11,38,29,19,26,41,7,8,16,4
Bhutan,Belgium,0,31,1,0,509,48,7,0,88,9,1,14,780,43,985,765,194,56,70,3
Bhutan,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2
Bhutan,Hungary,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bhutan,Türkiye,0,0,13,0,0,0,3,3,2,2,1638,1526,195,2455,2213,1487,921,801,1,2
Bhutan,Serbia,,,0,1,1,1,1,0,0,2,37,0,0,44,60,0,1,51,84,1
Bhutan,Argentina,0,0,0,0,0,10,0,0,2,0,2,0,0,0,0,1,1,6,3,1
Bhutan,Costa Rica,0,0,6,5,1,1,0,0,0,27,0,0,0,0,0,16,4,0,0,1
Bhutan,Ecuador,0,0,0,0,3,0,0,7,0,1,0,0,0,0,0,0,0,4,2,1
Bhutan,El Salvador,0,0,0,0,7,1,0,0,0,0,0,0,0,10,0,0,64,0,0,1
Bhutan,Peru,0,0,0,0,11,0,0,0,0,1,34,0,52,33,13,32,51,4,32,1
Bhutan,Portugal,0,0,1,1,0,0,1,0,0,0,212,258,4,0,8,1,0,3,1,1
Bhutan,Sweden,0,0,0,0,74,1,56,0,1,5,0,1,1,1,1,4,3,2,4,1
Bhutan,Ukraine,0,0,0,0,0,2,1,1,161,0,385,0,0,0,0,20,1,0,0,0
Bhutan,"Bolivia, Plurinational State of",0,27,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0
Bhutan,Bosnia and Herzegovina,0,1,0,0,0,2,0,0,0,0,39,0,0,0,0,0,0,0,1,0
Bhutan,Bulgaria,0,0,5,6,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0
Bhutan,Cabo Verde,0,0,5,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
Bhutan,Croatia,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
Bhutan,Finland,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Bhutan,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Bhutan,Luxembourg,0,0,0,0,0,0,0,1,0,0,25,0,0,0,2,0,1,0,0,0
Bhutan,New Zealand,1,31,1,1,0,3,0,0,7,2,4,5,1,0,3,5,0,0,4,0
Bhutan,Paraguay,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0
Bhutan,Romania,0,16,0,0,0,0,0,0,0,0,0,59,0,0,140,2,0,0,0,0
Bhutan,Slovakia,1,181,38,161,196,3,2,8,0,0,2,33,1,0,151,0,1,0,0,0
Bhutan,Liberia,,,,,,,,,,,,,,0,0,1,0,0,0,
Bhutan,"Congo, Democratic Republic of the",,,,,,,,,,,,0,0,0,3,3,1,0,3,
Bhutan,Tajikistan,,,,,,,,,,,0,0,0,0,0,96,0,0,0,
Bhutan,Sierra Leone,,,,,,,,,,,0,0,11,0,0,,,,,
Bhutan,Haiti,,,,,,,,,,0,0,0,1,0,,,,,,
Bhutan,Sudan,,,,,,,,,0,0,0,0,10,4,0,,,,,
Bhutan,Myanmar,,,,,,,0,10,0,0,0,0,0,8,0,0,0,0,0,
Bhutan,Nepal,,,,,,4550,1199,2661,3106,2546,5174,3087,5431,8260,17911,12566,8166,12316,8711,
Bhutan,Tonga,,,,,0,0,0,0,0,0,0,,,0,0,1,0,0,0,
Bhutan,Congo,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Bhutan,"Palestine, State of",,,,0,31,0,20,0,0,0,0,0,0,0,0,0,0,0,0,
Bhutan,Montenegro,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Bhutan,Nigeria,,,26,165,3,725,12792,18681,12689,0,0,0,0,4,43,0,0,0,0,
Bhutan,Antigua and Barbuda,,0,,0,,0,0,0,0,0,0,0,0,0,0,2,0,0,6,
Bhutan,United Arab Emirates,,0,,1,218,,,,0,0,1,0,3,8,147,14,13,142,34,
Bhutan,Lesotho,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Bhutan,Netherlands Antilles,,0,1,0,71,,,,,,,,,,,,,,,
Bhutan,Kuwait,0,,2,34,105,1,1,5,10,13,6,1,22,0,0,1,3,1,2,
Bhutan,Mauritania,0,0,,0,0,0,0,0,7,0,34,0,0,0,0,0,0,0,0,
Bhutan,Togo,0,0,,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bhutan,Comoros,0,0,,0,0,148,0,0,0,0,0,0,0,0,0,30,0,0,,
