reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Botswana,Belgium,16325,25449,46527,51919,109475,112235,194239,203189,283225,786089,2273639,1575121,2123915,1490268,1441087,960834,1112279,1268681,1434012,1075877
Botswana,South Africa,344,302568,265320,218596,182716,104074,296573,337613,402810,524835,467696,428841,418691,422309,458568,452724,407981,571001,692167,522811
Botswana,China,2861,4004,8166,26435,183913,65287,53366,100668,119479,193858,213879,142933,62156,33262,14230,17134,87486,172616,398377,507887
Botswana,United States of America,74768,179674,253610,188838,219713,132738,170456,294172,221682,278323,323786,220334,444441,784489,468874,280393,178253,257820,464302,501238
Botswana,"Hong Kong, China",1,6,249,3,0,2610,1454,4124,16221,60499,272800,164210,218229,285400,341358,292181,173655,393431,541447,273149
Botswana,Singapore,0,0,0,0,0,0,0,98,124,56105,441494,312318,542021,387769,359069,257092,376439,279280,310266,73321
Botswana,France,4662,5321,4399,4785,6111,3591,2728,781,319,212,221,2839,351,6231,18400,39660,1664,8688,31316,27515
Botswana,Japan,24595,27402,25336,29047,27687,18892,23463,32145,27637,23063,16989,10697,24850,23399,27543,30941,14441,94918,46438,22513
Botswana,United Kingdom,2301071,2899368,2184734,1073453,451117,356364,876036,3875056,3587677,3771926,43164,31189,147689,57517,54841,20852,5403,7366,21741,17146
Botswana,Norway,182203,329853,390785,538365,600094,282368,462391,333439,317111,322786,242400,180078,135852,20843,22261,15385,12687,7914,11735,12374
Botswana,Germany,11497,12732,11674,25081,19481,20415,22990,2345,610,6436,1400,2922,2430,6060,3564,3349,1634,2809,5150,9267
Botswana,Thailand,85567,113005,96447,109727,86127,37224,41844,72627,21484,30706,22630,10326,1226,6960,25297,37595,12684,2091,8435,7962
