reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Brunei Darussalam,Singapore,410254,455181,462160
Brunei Darussalam,Malaysia,272957,257210,317741
Brunei Darussalam,United Kingdom,85982,91920,209483
Brunei Darussalam,Japan,55673,318286,96981
Brunei Darussalam,Germany,21030,33811,120850
Brunei Darussalam,Thailand,37354,39847,41981
Brunei Darussalam,"Hong Kong, China",51225,57726,53838
Brunei Darussalam,China,17156,21024,33892
Brunei Darussalam,United States of America,103959,46326,37512
Brunei Darussalam,Indonesia,21615,32104,30389
Brunei Darussalam,"Korea, Republic of",16453,26750,30460
Brunei Darussalam,Australia,23931,28312,28626
Brunei Darussalam,"Taipei, Chinese",11481,11813,12158
Brunei Darussalam,Netherlands,9499,7787,5496
Brunei Darussalam,Italy,13516,7652,43977
Brunei Darussalam,France,6092,10430,109010
Brunei Darussalam,Spain,906,2091,3478
Brunei Darussalam,Belgium,838,6972,3890
Brunei Darussalam,India,2210,4649,4863
Brunei Darussalam,Philippines,3889,2865,2890
Brunei Darussalam,Canada,733,1168,1954
Brunei Darussalam,Pakistan,,,4659
Brunei Darussalam,Switzerland,2874,2797,5971
Brunei Darussalam,New Zealand,1322,1544,1479
Brunei Darussalam,Austria,757,1315,289
Brunei Darussalam,South Africa,1013,382,673
Brunei Darussalam,"Iran, Islamic Republic of",114,415,846
Brunei Darussalam,Sweden,2111,2206,881
Brunei Darussalam,Norway,103,1099,892
Brunei Darussalam,Türkiye,26,62,98
Brunei Darussalam,Viet Nam,1481,1379,539
Brunei Darussalam,Ireland,6934,909,1755
Brunei Darussalam,Senegal,0,0,0
Brunei Darussalam,Slovakia,56,8,10
Brunei Darussalam,Denmark,404,759,279
Brunei Darussalam,Finland,324,263,1602
Brunei Darussalam,Saudi Arabia,67,382,0
Brunei Darussalam,Brazil,35,197,250
Brunei Darussalam,Sri Lanka,240,193,256
Brunei Darussalam,"Tanzania, United Republic of",0,1,14
Brunei Darussalam,Lebanon,0,69,8
Brunei Darussalam,Oman,98,138,45
Brunei Darussalam,Argentina,113,44,427
Brunei Darussalam,Egypt,7,27,11
Brunei Darussalam,Jordan,20,7,19
Brunei Darussalam,Bahrain,99,1676,46
Brunei Darussalam,Cyprus,0,0,26
Brunei Darussalam,"Venezuela, Bolivarian Republic of",0,3,0
Brunei Darussalam,Portugal,47,46,28
Brunei Darussalam,Cambodia,83,12,29
Brunei Darussalam,Israel,2,17,24
Brunei Darussalam,Greece,10,3,1
Brunei Darussalam,Poland,0,65,0
Brunei Darussalam,Bangladesh,0,2,10
Brunei Darussalam,Peru,0,0,0
Brunei Darussalam,Kazakhstan,0,0,0
Brunei Darussalam,Kenya,121,2,2
Brunei Darussalam,Morocco,11,29,50
Brunei Darussalam,Hungary,2,0,232
Brunei Darussalam,Serbia and Montenegro,4,5,
Brunei Darussalam,"Macao, China",0,3,52
Brunei Darussalam,Fiji,,181,0
Brunei Darussalam,Guyana,0,0,8
Brunei Darussalam,"Bolivia, Plurinational State of",0,0,0
Brunei Darussalam,Botswana,0,0,0
Brunei Darussalam,Gabon,0,0,2
Brunei Darussalam,Namibia,0,2,0
Brunei Darussalam,Niger,0,0,0
Brunei Darussalam,Azerbaijan,9,0,0
Brunei Darussalam,Chile,0,0,18
Brunei Darussalam,Colombia,3,0,0
Brunei Darussalam,Croatia,0,1,1
Brunei Darussalam,Czech Republic,16,25,15
Brunei Darussalam,Luxembourg,55,856,38
Brunei Darussalam,Malawi,0,0,4
Brunei Darussalam,Mauritius,77,47,50
Brunei Darussalam,Mexico,3,39,0
Brunei Darussalam,"Moldova, Republic of",0,0,5
Brunei Darussalam,Papua New Guinea,5,0,78
Brunei Darussalam,Romania,15,8,0
Brunei Darussalam,Zimbabwe,0,0,3
Brunei Darussalam,Syrian Arab Republic,0,0,35
Brunei Darussalam,Trinidad and Tobago,0,0,23
Brunei Darussalam,Tunisia,38,0,0
Brunei Darussalam,Uganda,0,16,5
