reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Bulgaria,Italy,846988,919252,1169179
Bulgaria,Germany,616373,685134,933070
Bulgaria,Türkiye,393516,508449,689462
Bulgaria,Belgium,287194,303842,484728
Bulgaria,France,340346,353302,474867
Bulgaria,Greece,422612,311398,419480
Bulgaria,United States of America,336896,365877,477842
Bulgaria,Romania,148778,146065,228735
Bulgaria,Spain,181941,224310,198737
Bulgaria,United Kingdom,164023,365610,227023
Bulgaria,Austria,100126,112544,178409
Bulgaria,Serbia and Montenegro,153302,111171,
Bulgaria,"Macedonia, North",103334,128475,149215
Bulgaria,Russian Federation,138983,135839,162331
Bulgaria,Netherlands,102545,118451,126209
Bulgaria,Poland,53275,55773,81757
Bulgaria,Singapore,3205,3721,41209
Bulgaria,Hungary,42216,45764,69588
Bulgaria,Czech Republic,26540,39517,60205
Bulgaria,Syrian Arab Republic,86802,69339,33438
Bulgaria,Ukraine,64814,57869,59640
Bulgaria,Brazil,11628,20335,26727
Bulgaria,Lebanon,14863,13984,14638
Bulgaria,China,28463,21475,58733
Bulgaria,Switzerland,64643,100728,57050
Bulgaria,Canada,38837,44215,47369
Bulgaria,Croatia,12113,15421,42245
Bulgaria,Sweden,27388,30397,40721
Bulgaria,Israel,22961,32376,35147
Bulgaria,Albania,26303,28565,40937
Bulgaria,Denmark,31089,27266,30021
Bulgaria,Slovenia,31136,35455,42706
Bulgaria,Slovakia,8705,11283,19130
Bulgaria,Tunisia,27541,26044,19321
Bulgaria,Georgia,10666,13619,17949
Bulgaria,"Taipei, Chinese",12590,17170,24422
Bulgaria,"Moldova, Republic of",20486,20701,30142
Bulgaria,Japan,17196,20697,25496
Bulgaria,Mexico,19414,32145,22554
Bulgaria,Morocco,7844,3447,14627
Bulgaria,Egypt,18672,32415,28480
Bulgaria,Norway,11914,14109,18399
Bulgaria,Cyprus,14763,12833,17062
Bulgaria,Indonesia,4333,6814,9221
Bulgaria,Saudi Arabia,9383,25136,11698
Bulgaria,"Korea, Republic of",9745,14861,18065
Bulgaria,Finland,10200,15560,15723
Bulgaria,Lithuania,13076,14774,18711
Bulgaria,Belarus,11444,12067,12704
Bulgaria,India,15649,7977,10895
Bulgaria,Australia,4426,7078,11382
Bulgaria,Kazakhstan,6381,5940,8532
Bulgaria,Ireland,11791,9037,11576
Bulgaria,Algeria,17113,37568,20836
