reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Dominica,China,45553,49046,60864,73773,75749,22321,40892,26490,25299,22969,37040,34065,35132,49073,34531,33749,21059,34587,34472,73194
Dominica,United States of America,35989,61540,68024,83794,105438,76661,72844,73675,78934,77688,64186,67312,51083,166956,161873,242633,100771,373062,197217,72109
Dominica,Italy,1879,1740,3270,2295,2610,977,1485,1038,524,823,925,719,9682,2420,9701,27101,8967,11975,12037,28524
Dominica,"Taipei, Chinese",1512,2388,2781,1903,8275,2133,1579,788,788,1047,395,207,233,193,392,112,96,321,10583,18278
Dominica,United Kingdom,14626,10532,10458,10606,9517,12343,8949,9101,8542,8713,8134,9085,11842,10680,13503,13511,7498,13012,9322,8350
Dominica,Canada,4228,4195,5393,4588,5744,4219,4700,4078,5500,4807,8231,3831,3235,4655,7148,4871,2833,4735,7425,5910
Dominica,Brazil,2945,1888,1201,2412,2927,2759,3298,2825,2932,3980,3679,2712,3129,3153,3979,4435,2742,3976,5157,5587
Dominica,Japan,9056,11199,5089,8292,10863,7645,6931,4837,5462,3818,3377,4786,5648,5475,7457,8339,3315,4614,4246,5407
Dominica,Netherlands,2390,2275,2258,2405,2576,3707,3261,3836,3641,3615,4636,3322,3268,3699,4994,5341,2489,3989,5282,5219
Dominica,France,6008,2179,3669,6635,4052,4770,2317,6148,6743,3729,5076,5863,3855,4439,6420,5385,2585,1901,3247,5106
Dominica,Thailand,773,1124,1976,3649,4579,971,12647,3375,1440,1370,1790,10811,5884,2274,3469,2876,1800,2443,2792,3828
Dominica,Türkiye,40,0,294,304,545,693,2103,740,1196,1136,580,640,518,531,1330,1698,1616,2265,2175,2472
Dominica,Lithuania,5,16,2,127,54,542,303,199,29,386,89,267,1114,880,67,183,291,240,540,2245
Dominica,"Korea, Republic of",9761,17125,13917,6191,8603,10110,9698,4610,4967,4082,5270,3923,7882,3791,3992,4703,2407,3348,3331,2184
Dominica,Colombia,1184,1109,1900,2620,1913,1675,2141,18526,7792,1487,2154,1464,986,597,634,894,1426,1504,2482,1924
Dominica,Singapore,0,0,0,0,0,0,0,25674,12440,7706,7500,6488,2749,2353,12557,12920,6768,1121,1697,1875
Dominica,Norway,1181,2246,430,1220,308,429,201,247,297,595,12,269,29,221,169,140,134,295,952,1475
Dominica,Poland,5460,5,415,1573,3261,214,561,438,1940,1394,1243,387,430,1212,1088,1060,1781,773,2328,1396
Dominica,Spain,668,419,174,320,2420,390,139,286,407,278,492,315,319,223,250,2689,1541,689,1035,1350
Dominica,Belgium,802,554,571,1019,499,437,446,593,989,696,615,719,1028,1345,1145,1614,762,456,626,1325
Dominica,Belize,102,123,742,0,115,0,1,0,129,18,68,110,88,128,82,44,119,578,1292,1197
Dominica,Malaysia,49,174,920,873,1240,900,1031,2071,2954,2397,2362,595,882,1064,1202,896,413,801,766,1132
Dominica,Germany,1644,1717,2484,2269,1959,1239,1165,1057,1578,888,1239,1171,1130,1476,1740,1731,884,1314,1022,872
Dominica,Denmark,278,323,641,233,786,829,1118,716,462,680,1057,1015,652,435,641,578,301,391,642,852
Dominica,Hungary,87,0,44,35,1883,1,80,592,105,20,106,121,186,167,140,132,592,370,694,813
Dominica,Portugal,24,50,74,168,78,213,135,10,0,4,2,57,96,103,128,165,17,160,355,713
Dominica,Sweden,355,1942,164,1741,757,584,187,2380,763,582,1711,900,1397,2058,648,67,35,176,275,556
Dominica,Austria,15,409,1918,75,518,532,62,97,38,15,106,310,395,615,78,246,137,1399,3259,546
Dominica,Costa Rica,625,563,577,392,1205,696,464,680,761,1299,1005,1166,1044,1023,657,900,401,814,588,466
Dominica,Cyprus,0,0,22,11,0,0,17,0,367,13,12,41,71,120,230,133,95,142,189,456
Dominica,Chile,330,92,141,269,142,247,228,268,330,328,394,311,367,314,1079,515,619,213,398,278
Dominica,Czech Republic,2,0,396,12,126,8,43,0,1,8,40,209,195,35,26,0,517,300,8,203
Dominica,Guatemala,1097,668,668,960,932,1230,676,459,966,599,128,152,603,343,548,475,672,278,98,161
Dominica,Ecuador,37,0,17,0,102,150,239,59,224,127,108,91,109,149,163,63,48,49,147,124
Dominica,Greece,18,146,52,142,171,258,343,132,0,0,0,1,19,28,319,599,10,108,8,117
Dominica,Peru,255,227,60,58,472,115,120,614,730,1372,3152,4909,516,385,350,405,184,138,40,116
Dominica,Switzerland,1394,834,556,572,877,528,453,348,263,228,192,188,469,2894,2165,598,332,638,612,75
Dominica,Estonia,33,33,10,17,9,4,116,128,171,5,54,31,112,349,46,42,40,60,36,73
Dominica,Slovenia,31,0,0,0,0,1,0,0,0,12,8,31,23,45,10,10,35,0,13,64
Dominica,Ireland,68,399,116,620,141,121,135,251,122,67,213,385,76,379,795,338,126,109,34,43
Dominica,Luxembourg,0,0,0,0,43,0,0,0,0,3,0,0,0,0,1,0,0,111,29,43
Dominica,Paraguay,0,71,21,63,31,31,0,13,49,596,654,184,145,11,6,6,75,5,0,32
Dominica,Romania,0,0,0,0,2,218,3566,53,0,1,0,3,6,0,0,1,16,25,0,28
Dominica,El Salvador,0,10,40,2,12,1,189,11,542,43,42,72,50,70,63,125,51,42,21,10
Dominica,Latvia,23,435,521,567,206,39,27,75,26,150,18,89,3,58,60,17,12,15,15,3
Dominica,Serbia,,,0,0,0,0,0,0,3,0,0,19,0,0,0,0,0,0,0,0
Dominica,Ukraine,296,19,20,80,271,15,417,37,16,0,1,26,121,219,248,172,67,6,0,0
Dominica,Argentina,263,679,472,387,224,594,786,414,597,924,194,173,198,167,253,163,242,331,0,0
Dominica,Australia,75,460,1036,149,207,60,250,312,49,133,100,379,219,47,422,293,93,5,29,0
Dominica,"Bolivia, Plurinational State of",0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,26,0,0
Dominica,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0
Dominica,Bulgaria,78,67,416,52,136,81,172,11,5,42,0,58,98,76,40,0,3,6,7,0
Dominica,Croatia,0,0,0,0,71,0,0,0,0,0,3,0,9,0,0,2,0,0,0,0
Dominica,Finland,35,14,12,288,172,0,6,864,8,7,56,0,3,1373,6,136,1,3,878,0
Dominica,Iceland,0,0,0,13,0,0,3,763,140,546,4,0,0,0,0,0,0,0,0,0
Dominica,Madagascar,3,14,0,0,0,0,28,108,6,0,2,0,0,13,0,0,3,9,0,0
Dominica,Malta,39,0,87,0,0,0,0,0,50,0,6,16,0,0,0,0,0,0,0,0
Dominica,New Zealand,0,33,79,1,25,49,107,74,120,57,57,118,0,6,46,5,0,71,0,0
