reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Egypt,China,1388435,1934036,2975501,4468099,5874260,5107359,6040984,7283233,8223921,8362675,10460510,11962663,10597944,9512991,12020880,12200705,13627747,18264733,17170217,14980559
Egypt,Germany,1774487,2109362,2386133,2929405,4077267,3811779,4073560,3362597,3436001,3200826,3850824,3680868,4877081,4879249,3880534,4046493,4586292,4902532,4388057,5784462
Egypt,United States of America,3077755,3159259,4103782,5347083,6030833,5257586,6832542,6228229,5498320,5175346,6472585,4758797,3485904,3990353,5052375,5498014,4663396,5848893,6552797,4486971
Egypt,Italy,1654326,1699759,1932681,2942140,4273569,3630703,3867245,3595750,3677232,3756369,3622765,3270719,3417105,3294185,3171658,2707346,3514601,4489821,3946343,3427492
Egypt,Türkiye,473145,687299,709353,902703,1426450,2599030,2250577,2759311,3679195,3336392,3442287,3124968,2733143,2360734,3053571,3510629,3136568,4519351,4557744,3339031
Egypt,Brazil,622528,867567,1348750,1237670,1407201,1443237,1965486,2623870,2711018,2201270,2314812,2056588,1772036,2417986,2134071,1826310,1754032,2013902,2843541,2319700
Egypt,United Kingdom,1227844,993698,1065004,1418042,1728901,1490265,1756612,1665590,1459320,1475655,1731887,1545231,1649186,1559279,1532783,1631979,1306094,1875581,2028453,1940041
Egypt,France,1257061,1765185,1670853,1649028,1778871,1906701,2386138,2560804,2212796,1789406,2096193,2343073,1698632,2090058,2016103,2575218,2344691,2198751,2408698,1879367
Egypt,Netherlands,529740,776220,889070,1059660,1353452,1266688,1507125,1538460,1716463,1669391,1946382,1543455,1459693,1356114,1597562,1791828,1720104,2556566,1896393,1870239
Egypt,Belgium,459238,589086,606086,781854,1153400,1043231,1168155,1617554,1733883,1696660,1569462,1358515,1335573,1416976,1444202,1482500,1618422,2688640,1823016,1830234
Egypt,Spain,829201,512053,523015,638153,982615,1168984,1195470,1117603,1385596,1430764,1525230,1511141,1533964,1385441,1943763,1712082,1654080,1884078,1649432,1587986
Egypt,"Korea, Republic of",538392,706795,853227,1166579,1548324,1528199,2240439,1726874,1806970,1535486,2363535,2178742,1769591,1326482,1846524,1573602,1214334,1682002,1468077,1334901
Egypt,Switzerland,315618,351033,377706,446540,887169,614276,678024,669113,753266,1400328,1124957,927189,881675,916299,994207,1220584,1254994,1339550,1436633,1292223
Egypt,Ukraine,362228,798812,748386,880008,1560021,1012553,1327994,1335647,2898250,2720561,2862068,2079784,2266493,1831313,1556938,2254077,1617764,1944557,807992,1085021
Egypt,Sweden,307701,432985,520120,653867,868197,774097,936103,1003201,949242,839451,995815,717893,737164,730128,666592,694870,868723,884565,886353,968254
Egypt,Bulgaria,51646,67275,46410,63949,68751,146689,136879,235571,220481,236764,245239,420529,320793,536667,293773,437673,191570,281702,680341,819655
Egypt,Argentina,593899,558732,324130,577358,1075235,591613,979115,1707411,1013233,1254551,1051060,1073384,1791720,1262593,990711,988844,1171802,1535629,928196,814948
Egypt,Japan,764469,789585,1139965,1288598,1853681,1359967,1456253,1344084,1753061,1208816,1424215,1284318,1144588,837200,994586,910895,973361,1089920,776607,674992
Egypt,Thailand,217186,265752,379637,490768,632997,587172,767715,770081,964023,910842,1082811,997791,759210,683169,939119,837994,869849,1161188,1019806,659813
Egypt,Romania,206783,192092,220058,234460,272655,259688,240464,381240,491662,617280,794164,784815,579557,503371,796948,779310,438839,918813,825403,584160
Egypt,Greece,142941,144993,146613,143559,214346,279317,466566,544688,444018,788199,1004022,1156893,830035,853738,1370941,1055595,567688,519083,398557,547514
Egypt,Malaysia,365146,459609,342127,476732,715168,809573,1400951,1371356,1074818,861276,727162,573977,501673,480809,405154,441405,390804,688403,822377,509455
Egypt,Czech Republic,69056,116660,155150,167882,231243,212137,252472,194377,218747,282547,446249,364143,331446,262754,391226,395911,437683,689569,368118,482506
Egypt,Australia,474661,269580,314327,295676,302451,340497,458428,579842,521675,440305,429743,394466,303239,296874,284400,279286,323661,429329,572904,477864
Egypt,Finland,191886,258035,299460,363862,402124,342895,450516,334605,439493,339508,400269,384804,373393,398925,463211,438335,396475,476194,502086,415306
