reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Equatorial Guinea,United States of America,463943,533818,962963
Equatorial Guinea,China,508581,382726,411887
Equatorial Guinea,Spain,590687,488389,732504
Equatorial Guinea,"Taipei, Chinese",19863,24729,53318
Equatorial Guinea,Canada,70862,187208,329286
Equatorial Guinea,Italy,723,26008,183796
Equatorial Guinea,France,39512,97182,24682
Equatorial Guinea,Japan,15027,47850,19
Equatorial Guinea,Netherlands,33872,145,6510
Equatorial Guinea,Cameroon,39885,17448,9118
Equatorial Guinea,"Korea, Republic of",841,403,4
Equatorial Guinea,United Kingdom,9889,8869,8019
Equatorial Guinea,Brazil,11522,4689,0
Equatorial Guinea,Angola,,,
Equatorial Guinea,Germany,4730,6512,3849
Equatorial Guinea,Costa Rica,152,3,0
Equatorial Guinea,Portugal,2244,56408,3849
Equatorial Guinea,Gabon,115,0,0
Equatorial Guinea,Belgium,0,248,1364
Equatorial Guinea,Türkiye,149,937,2007
Equatorial Guinea,Morocco,2794,2066,1946
Equatorial Guinea,Norway,2,40,43
Equatorial Guinea,Nicaragua,4,277,465
Equatorial Guinea,India,0,11,169
Equatorial Guinea,South Africa,12,6,384
Equatorial Guinea,Senegal,79,0,0
Equatorial Guinea,Côte d'Ivoire,3,2,290
Equatorial Guinea,Denmark,110,59,158
Equatorial Guinea,Greece,0,0,0
Equatorial Guinea,Bulgaria,1,0,1
Equatorial Guinea,Ireland,168,0,1
Equatorial Guinea,Switzerland,3,629,402
Equatorial Guinea,Togo,0,1,4
Equatorial Guinea,Pakistan,,,252
Equatorial Guinea,Guinea,1,76,
Equatorial Guinea,Honduras,0,1,0
Equatorial Guinea,"Bolivia, Plurinational State of",0,0,0
Equatorial Guinea,Mexico,82,37,44
Equatorial Guinea,Niger,0,0,0
Equatorial Guinea,Lebanon,0,0,0
Equatorial Guinea,Austria,0,0,0
Equatorial Guinea,Mozambique,0,0,0
Equatorial Guinea,Ecuador,0,664,0
Equatorial Guinea,Uganda,0,0,0
Equatorial Guinea,Australia,0,0,25
Equatorial Guinea,Sao Tome and Principe,0,0,0
Equatorial Guinea,Algeria,0,1,0
Equatorial Guinea,Ethiopia,0,5,2
Equatorial Guinea,Poland,0,201,0
Equatorial Guinea,Sweden,3,0,0
Equatorial Guinea,Thailand,0,25869,0
Equatorial Guinea,Croatia,0,0,0
Equatorial Guinea,Ukraine,0,10,24
Equatorial Guinea,Azerbaijan,6,1,0
Equatorial Guinea,Bahrain,0,28,0
Equatorial Guinea,Bangladesh,0,0,124
Equatorial Guinea,Cambodia,0,0,201
Equatorial Guinea,Chile,5658,0,0
Equatorial Guinea,Colombia,12,0,0
Equatorial Guinea,Czech Republic,45,79,20
Equatorial Guinea,Benin,0,0,0
Equatorial Guinea,Dominican Republic,0,0,11
Equatorial Guinea,El Salvador,0,1029,0
Equatorial Guinea,Georgia,40,0,0
Equatorial Guinea,Gambia,13,0,0
Equatorial Guinea,Guatemala,7,0,0
Equatorial Guinea,Hungary,1,2,0
Equatorial Guinea,Israel,825,150,3
Equatorial Guinea,Kazakhstan,1,0,2
Equatorial Guinea,Madagascar,1,0,1
Equatorial Guinea,Malaysia,0,0,0
Equatorial Guinea,Mali,0,0,2
Equatorial Guinea,Mauritania,0,0,76
Equatorial Guinea,Mauritius,1,1,0
Equatorial Guinea,Peru,0,0,4463
Equatorial Guinea,Philippines,17,46,12
Equatorial Guinea,Romania,4,0,0
Equatorial Guinea,Russian Federation,20,17,0
Equatorial Guinea,Singapore,10,48,0
Equatorial Guinea,Slovakia,1,0,0
Equatorial Guinea,Viet Nam,0,125,6
Equatorial Guinea,Slovenia,1,1,0
Equatorial Guinea,Tunisia,0,0,0
Equatorial Guinea,"Macedonia, North",0,6,0
Equatorial Guinea,Egypt,0,1551,0
Equatorial Guinea,Burkina Faso,8,17,519
Equatorial Guinea,Uruguay,10964,0,0
Equatorial Guinea,"Venezuela, Bolivarian Republic of",0,0,20
Equatorial Guinea,Nigeria,218,0,41
