reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Equatorial Guinea,China,10125,18801,41108,92791,277391,358424,456241,266317,361434,357517,352515,263693,150416,165966,145170,113204,122120,123984,230727,204397
Equatorial Guinea,Spain,109586,112533,145333,174362,213399,271248,298720,374215,382925,448268,425814,291263,261585,176400,208916,189987,190050,192779,168950,167172
Equatorial Guinea,United States of America,215386,281472,551498,236400,184515,305860,272137,285394,233162,756140,574795,161963,278439,111936,139399,213871,93729,51485,70113,99224
Equatorial Guinea,United Kingdom,62841,71085,83481,77758,79764,68318,175318,99030,93863,75756,96267,48860,28194,32534,35648,54033,40893,40772,29599,49335
Equatorial Guinea,Türkiye,2358,4900,10818,9598,14484,20095,32742,63361,75766,73966,65014,45739,23611,21583,31276,26930,38823,34117,49144,41406
Equatorial Guinea,Netherlands,23130,24347,38364,48929,34345,51335,47304,69757,51091,67085,81884,307110,44005,40295,41447,42824,45613,36601,37157,40696
Equatorial Guinea,Belgium,16928,16571,28691,42657,43352,40658,58086,76302,52118,67814,72553,43157,31602,29242,29008,19573,24109,19122,22314,38087
Equatorial Guinea,France,42521,63601,89698,114856,169820,164688,234109,272015,166843,155925,136908,85007,47620,33277,53505,37045,25468,20710,23523,27670
Equatorial Guinea,Italy,34399,212476,72045,80080,86959,87765,128092,148082,124376,138297,93049,44736,24853,32585,31784,60496,22908,25108,28520,24421
Equatorial Guinea,Germany,5110,7712,20909,37593,33729,32470,31383,52889,44891,33980,26156,29843,18433,16896,21884,24299,17910,21000,18484,24198
Equatorial Guinea,Brazil,3578,6867,10533,34331,41761,45428,47422,67158,90515,62743,56355,25191,19649,11710,10656,9296,44844,16170,21194,20887
Equatorial Guinea,Malaysia,287,713,54231,1286,4076,4731,4186,14968,8789,11466,11729,12589,10856,21417,12486,12124,11613,10001,13641,11638
Equatorial Guinea,Poland,159,188,2649,550,1533,3104,3347,2170,1573,1796,3498,2762,1430,4196,4843,3721,8169,11472,13593,9145
Equatorial Guinea,Norway,10344,8514,4483,3352,1672,2319,3432,9232,8704,1902,3773,6941,7385,3676,2216,10031,2830,1595,5160,8545
Equatorial Guinea,Singapore,0,0,0,0,0,0,0,14027,24369,335676,24674,6793,2738,3335,83811,4553,3976,3277,8108,8503
Equatorial Guinea,Thailand,1855,1115,1237,2147,4938,2996,3932,5777,4519,6152,9344,7451,10047,9040,11786,8833,10681,6758,8060,8185
Equatorial Guinea,Portugal,3109,1725,12979,16311,24923,19458,40027,57289,54088,87296,72179,39786,22358,14635,14701,10678,6892,7432,8173,8179
Equatorial Guinea,Japan,7746,5967,16246,7731,10875,11972,25136,8011,5584,9393,9099,9221,1283,656,585,365,2736,677,484,8147
Equatorial Guinea,Canada,1447,2095,1357,2301,21613,7276,4622,11556,10881,5124,4034,3093,4683,3218,1989,4690,2317,8846,2200,6220
Equatorial Guinea,Serbia,,,4127,5681,8583,9234,6616,6619,4608,8026,3986,3292,5395,2317,2790,1461,989,1510,1182,5642
Equatorial Guinea,Slovenia,0,0,0,0,0,0,0,13,100,1653,5708,1204,274,58,2351,568,657,943,2301,4769
Equatorial Guinea,Argentina,757,1595,1229,2692,3384,5466,5975,18347,29624,23308,24123,21383,2469,2097,2303,2570,2294,4547,1630,3712
Equatorial Guinea,Finland,171,34,73,174,1075,1443,928,4706,2484,124,45,5665,93,858,3,18355,32,8,7,3548
Equatorial Guinea,Sweden,455,270,78,499,936,1452,812,856,2927,1273,1906,740,3914,576,385,918,661,976,13935,3176
Equatorial Guinea,Ireland,46,56,81,42,189,4,264,1107,659,1057,1089,677,501,313,740,1228,1676,1918,3926,2681
Equatorial Guinea,"Korea, Republic of",484,450,88838,933,12797,15771,10980,6655,41108,12039,1884,4964,10415,433,1058,683,4467,14786,4636,2477
Equatorial Guinea,Ukraine,930,401,702,14884,11285,24107,3981,9346,6970,13705,10859,9981,471,911,6312,4039,3816,2533,2042,2322
Equatorial Guinea,South Africa,10097,12440,11804,13406,14381,11453,12149,14141,7566,14847,26398,7821,9166,3241,1302,2748,3681,1602,1559,1593
Equatorial Guinea,New Zealand,265,19,126,3,32,138,494,463,2064,2909,1788,408,417,223,843,476,665,889,152,1403
Equatorial Guinea,"Hong Kong, China",3257,2371,2441,1576,1058,1454,3410,4727,6373,1892,3080,2396,1083,328,2385,1408,617,668,240,1346
Equatorial Guinea,Denmark,2495,1358,814,474,726,1051,904,1703,1249,3138,1197,1773,922,650,892,1062,12131,2151,848,1016
Equatorial Guinea,Lithuania,4,34,4,0,150,187,255,445,362,1101,352,224,131,11,45,102,217,496,548,848
Equatorial Guinea,Hungary,34,81,19,113,0,2,65,93,114,93,276,148,185,129,116,1339,439,341,484,757
Equatorial Guinea,Romania,528,0,46,95,28,92,3221,332,201,717,1709,179,221,108,29,465,77,93,860,733
Equatorial Guinea,Czech Republic,144,1138,38,2678,2930,17291,491,4729,2331,357,865,1529,233,61,199,3878,3567,56,747,716
Equatorial Guinea,Switzerland,192,2605,377,729,1168,2339,2711,986,1788,1285,3072,4716,1693,395,199,1122,1001,226,3333,702
Equatorial Guinea,Chile,117,176,927,824,1282,2632,3268,1154,841,6852,1060,975,2847,404,517,200,318,700,737,701
Equatorial Guinea,Latvia,0,0,0,72,67,103,104,456,273,281,521,597,580,701,699,884,636,625,438,675
Equatorial Guinea,Austria,87,1420,950,2226,1615,2647,908,1350,1331,2415,1862,190,211,341,891,305,27,31,91,376
Equatorial Guinea,Greece,196,69,0,0,1210,14,53,128,93,60,120,377,134,181,196,223,1579,85,874,364
Equatorial Guinea,Croatia,0,0,4,62,0,71,0,335,397,365,16,46,12,0,48,126,329,167,323,360
Equatorial Guinea,Australia,98,26,706,230,526,387,236,1004,694,77,937,4235,64,313,700,373,613,621,351,342
Equatorial Guinea,Paraguay,246,649,85,440,1245,764,319,382,1945,1920,1006,819,342,185,196,335,356,886,992,276
Equatorial Guinea,"Taipei, Chinese",120,171,1398,332,771,13,93,197,383,376,373,213,152,144,185,82,1688,243,399,199
Equatorial Guinea,Colombia,6,0,29,10,1,75,117,353,192,0,98,116,167,36,122,82,168,426,385,174
Equatorial Guinea,Peru,0,13,88,84,34,19,0,22,66,252,564,663,1255,266,1486,733,315,0,31,172
Equatorial Guinea,Slovakia,193,6,0,36,0,612,29,25,1,3618,624,2390,30,32,57,93,28,20,89,106
Equatorial Guinea,Ecuador,12,0,0,0,0,0,0,9,35,133,135,0,0,51,68,173,175,145,231,79
Equatorial Guinea,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,835,0,0,31,5,56,0,0,50
Equatorial Guinea,Bulgaria,179,4,0,3,16,221,172,343,2772,1609,469,151,159,143,133,33,47,120,109,34
Equatorial Guinea,Luxembourg,847,260,582,1060,1061,1125,458,0,13,120,52,28,11,0,1,4,0,0,13,13
Equatorial Guinea,Cyprus,5,0,0,0,0,40,37,0,0,0,0,11,0,16,47,11,0,0,0,2
Equatorial Guinea,Estonia,0,0,0,0,0,0,8,1507,0,0,0,0,0,0,12,39,23,38,46,2
Equatorial Guinea,"Bolivia, Plurinational State of",0,0,0,751,182,0,0,0,13403,19,0,0,0,0,0,1,0,0,0,0
Equatorial Guinea,Cabo Verde,0,0,52,0,0,0,0,43,199,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,Costa Rica,0,143,0,0,16,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Equatorial Guinea,Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,69,316,109,20,62,0,0,0
Equatorial Guinea,Madagascar,0,0,0,0,67,0,20,0,0,0,0,0,0,0,0,19,0,0,0,0
Equatorial Guinea,Malta,0,0,15,11,0,0,0,0,0,22,0,0,0,2,0,0,5,221,267,0
Equatorial Guinea,Liberia,,,,,,,,,,,,,,0,0,0,0,0,12,
Equatorial Guinea,"Congo, Democratic Republic of the",,,,,,,,,,,,0,0,0,0,0,0,0,40,
Equatorial Guinea,Tajikistan,,,,,,,,,,,0,0,0,0,0,2,0,0,0,
Equatorial Guinea,Sudan,,,,,,,,,7,0,0,0,0,0,0,,,,,
Equatorial Guinea,Congo,,,,2927,8148,39001,37078,108639,35471,723,3663,44840,131827,6105,17747,2333,11570,158,8019,
Equatorial Guinea,Montenegro,,,0,0,0,288,0,0,0,0,49,0,63,0,0,0,0,0,0,
Equatorial Guinea,Central African Republic,,,0,0,0,0,0,0,22,0,0,0,9,0,12,25,0,0,0,
Equatorial Guinea,Nigeria,,,0,2847,23510,3361113,2675151,1015253,787,3945,75449,4844,504,93,84,33092,359191,116585,117346,
Equatorial Guinea,United Arab Emirates,,5564,,10439,15071,,,,26992,27478,27768,21812,22240,17324,21415,51713,29054,25978,24171,
Equatorial Guinea,Lesotho,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
Equatorial Guinea,Papua New Guinea,0,,,,,,,0,0,,,,,,,5,0,0,,
Equatorial Guinea,Andorra,0,,0,11,0,0,30,49,15,0,142,9,0,40,0,0,0,0,0,
Equatorial Guinea,Kuwait,0,,0,0,1488,22,171,7,0,0,0,0,0,0,0,0,0,0,0,
Equatorial Guinea,Suriname,0,0,,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Equatorial Guinea,Mauritania,22,29,,0,363,0,152,0,0,0,0,55,271,950,3970,2782,1571,1818,532,
Equatorial Guinea,Togo,0,58,,315,4728,1639,122,5521,2846,1729,1134,752,746,872,760,703,564,691,513,
Equatorial Guinea,Cuba,13,52,0,,,,,,,,,,0,0,0,1,719,0,0,
