reporter,Exporters,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Estonia,Finland,1728743,1685016,2215273,2403466,2124339,1227027,1483644,1727735,2159764,2305473,2349404,1725260,1638895,2013144,2035486,1943554,1952314,2821930,3721922,3004838
Estonia,Germany,959619,1261761,1660883,2004368,2244720,1180546,1572281,2156628,2025324,2228660,2269244,1760746,1832115,2010103,2363570,2039687,2090882,2651092,2750060,2764264
Estonia,Latvia,333735,553514,749798,1134446,1301002,1028821,1193313,1635317,1654012,1693157,1605960,1335834,1379899,1524528,1657951,1689466,1771886,2067043,2635335,2390162
Estonia,Lithuania,465849,696588,913542,997695,1360301,1159513,1051343,1820696,2320681,1822740,1398902,1337138,1325879,1411830,1639108,1696766,1520676,1999862,2661213,2324556
Estonia,Sweden,709334,757275,1227602,1426823,1365282,800035,1225530,1659636,1539313,1267733,1207391,1051762,1113711,1275930,1384464,1340218,1215707,1534071,1708424,1811506
Estonia,Poland,258943,409128,561927,793157,910181,589204,717047,1046025,1086530,1088270,1419170,1111462,1080359,1234455,1279520,1207685,1325155,1642828,1758581,1746288
Estonia,Netherlands,257730,391854,649331,589762,526500,367855,430739,550539,804820,1027027,1110016,795327,865948,1013554,1079652,956150,1030133,1232229,1103546,1584130
Estonia,China,202019,311426,456032,584829,588130,362296,676738,1130855,1233666,1109820,1146098,954352,965061,991172,1032203,922325,863881,1009976,946570,824225
Estonia,Italy,229978,280182,427283,537752,534247,283346,391151,523110,522431,544700,533065,427172,454846,515874,561492,534701,509383,716778,771487,791124
Estonia,Belgium,155139,201121,258172,325372,373810,266755,248413,372469,429380,420626,382132,314402,369491,402272,426797,437916,397856,532368,618494,631231
Estonia,Czech Republic,83252,104243,146323,196589,204751,116171,157686,244180,246732,262750,291714,248888,260748,293849,388307,397927,360963,394386,446802,529387
