reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Eswatini ,United States of America,64919,123086,173549
Eswatini ,"Korea, Republic of",23687,53969,54631
Eswatini ,United Kingdom,50351,54436,57546
Eswatini ,France,39161,32897,22213
Eswatini ,New Zealand,0,17292,28331
Eswatini ,Australia,2200,18723,30178
Eswatini ,Thailand,7071,16963,14755
Eswatini ,Mexico,3807,5726,13202
Eswatini ,"Tanzania, United Republic of",12634,15788,12348
Eswatini ,Uganda,5231,8209,10003
Eswatini ,China,7014,11089,14533
Eswatini ,Netherlands,10076,5903,16568
Eswatini ,Mozambique,7523,4458,4157
Eswatini ,Portugal,16287,8050,9962
Eswatini ,Finland,7809,5248,12312
Eswatini ,Madagascar,1724,1203,5190
Eswatini ,Mauritius,7676,7780,7837
Eswatini ,Namibia,30,23,286
Eswatini ,Japan,7386,5178,6387
Eswatini ,Zimbabwe,11843,53201,7261
Eswatini ,Indonesia,4071,1348,2556
Eswatini ,Zambia,2824,2176,4412
Eswatini ,Malawi,2818,4298,4133
Eswatini ,Italy,5576,4815,5411
Eswatini ,Ethiopia,1840,2394,2329
Eswatini ,Bangladesh,5132,11557,10094
Eswatini ,Slovakia,33,18,24
Eswatini ,Seychelles,211,101,0
Eswatini ,Slovenia,4,7,5
Eswatini ,Germany,2060,2679,3309
Eswatini ,India,350,269,1723
Eswatini ,Türkiye,30,429,1240
Eswatini ,Spain,2438,2460,3216
Eswatini ,Yemen,,,
Eswatini ,Singapore,1318,3055,2634
Eswatini ,Canada,839,1505,1828
Eswatini ,Pakistan,,,180
Eswatini ,Albania,0,0,3784
Eswatini ,"Taipei, Chinese",6392,3364,1858
Eswatini ,French Polynesia,1403,1487,1501
Eswatini ,Viet Nam,0,0,0
Eswatini ,Belgium,3598,3557,4138
Eswatini ,Ireland,514,382,503
Eswatini ,Qatar,3,47,183
Eswatini ,Romania,36,23,19
Eswatini ,Bosnia and Herzegovina,,,339
Eswatini ,Rwanda,2070,692,2419
Eswatini ,Algeria,93,90,146
Eswatini ,Saudi Arabia,253,37,368
Eswatini ,Russian Federation,11066,349,483
Eswatini ,Samoa,0,0,51
Eswatini ,Benin,2,20,63
Eswatini ,Serbia and Montenegro,27,329,
Eswatini ,Brazil,491,91,301
Eswatini ,Botswana,1,3150,2531
Eswatini ,"Hong Kong, China",9735,12189,4410
Eswatini ,New Caledonia,210,771,34
Eswatini ,Guatemala,188,458,293
Eswatini ,Guyana,432,302,629
Eswatini ,Malaysia,1022,1454,1896
Eswatini ,Peru,275,150,81
Eswatini ,Croatia,22,4,7
Eswatini ,Colombia,4,1,4
Eswatini ,Georgia,0,0,0
Eswatini ,Fiji,,276,124
Eswatini ,Mali,3,66,31
Eswatini ,Greece,312,173,187
Eswatini ,Sudan (before 2012),3420,3604,0
Eswatini ,Cambodia,4,0,2
Eswatini ,Trinidad and Tobago,13,648,48
Eswatini ,Denmark,171,1667,146
Eswatini ,"Bolivia, Plurinational State of",0,337,15
Eswatini ,Poland,0,124,170
Eswatini ,Ecuador,0,18,806
Eswatini ,Switzerland,114,65,102
Eswatini ,Cabo Verde,0,0,0
Eswatini ,Lebanon,243,136,307
Eswatini ,Papua New Guinea,55,246,4
Eswatini ,Sweden,0,4,167
Eswatini ,Dominica,140,14,34
Eswatini ,Cyprus,4,2,93
Eswatini ,Czech Republic,58,118,44
Eswatini ,Faroe Islands,3,1,5
Eswatini ,Barbados,23,19,51
Eswatini ,Costa Rica,34,0,25
Eswatini ,Saint Lucia,26,243,100
Eswatini ,Burkina Faso,5,0,0
Eswatini ,Cuba,180,17,27
Eswatini ,Burundi,1146,140,26
Eswatini ,Gabon,14,0,63
Eswatini ,Cameroon,18,7,18
Eswatini ,Austria,6,28,126
Eswatini ,Sri Lanka,10,17,120
Eswatini ,"Moldova, Republic of",0,19,2
Eswatini ,Togo,6,0,0
Eswatini ,Hungary,86,15,15
Eswatini ,Kuwait,0,0,2
Eswatini ,Bulgaria,3,20,4
Eswatini ,Brunei Darussalam,8,3,4
Eswatini ,Egypt,19,1793,0
Eswatini ,Ghana,6,,14
Eswatini ,Saint Vincent and the Grenadines,1,1,5
Eswatini ,Estonia,6,5,5
Eswatini ,South Africa,64,107,43
Eswatini ,Luxembourg,0,0,0
Eswatini ,Nicaragua,0,210,9
Eswatini ,Morocco,0,10,18
Eswatini ,Saint Kitts and Nevis,58,6,0
Eswatini ,Tunisia,106,993,72
Eswatini ,"Macedonia, North",1,172,0
Eswatini ,Angola,,,
Eswatini ,Dominican Republic,86,26,20
Eswatini ,Timor-Leste,,,
Eswatini ,Israel,0,21,10
Eswatini ,Côte d'Ivoire,19,1,0
Eswatini ,Lithuania,4,8,14
Eswatini ,Ukraine,0,0,2
Eswatini ,Andorra,0,1,0
Eswatini ,Argentina,42,0,0
Eswatini ,Bahrain,0,14,0
Eswatini ,Belize,1,0,0
Eswatini ,Belarus,0,24,0
Eswatini ,Chile,0,79,2
Eswatini ,Mayotte,6,20,0
Eswatini ,Grenada,6,2,20
Eswatini ,Honduras,317,962,1183
Eswatini ,Jamaica,0,146,0
Eswatini ,Kazakhstan,97,0,0
Eswatini ,Kenya,12012,20587,20749
Eswatini ,Malta,4,5,0
Eswatini ,Mauritania,0,212,0
Eswatini ,Oman,89,0,0
Eswatini ,Niger,4,0,0
Eswatini ,Norway,16,7,20
Eswatini ,Philippines,0,772,280
Eswatini ,Senegal,0,13,4
Eswatini ,"Venezuela, Bolivarian Republic of",0,7,0
Eswatini ,Eritrea,,,1
Eswatini ,Nigeria,1987,4291,1903
