reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Faroe Islands,Total,523845,506080,596157
Faroe Islands,Denmark,182417,168804,210223
Faroe Islands,United Kingdom,113905,151753,159490
Faroe Islands,France,41984,39322,48818
Faroe Islands,Norway,33078,30761,30885
Faroe Islands,Spain,31123,31129,41063
Faroe Islands,Iceland,5683,5785,12315
Faroe Islands,Germany,20701,12699,15121
Faroe Islands,Poland,3681,2254,1863
Faroe Islands,Lithuania,1390,1860,219
Faroe Islands,United States of America,13261,16658,18466
Faroe Islands,Greece,101,65,0
Faroe Islands,Thailand,745,1599,4109
Faroe Islands,Finland,261,1695,3282
Faroe Islands,Russian Federation,0,312,663
Faroe Islands,Canada,34516,10916,5927
Faroe Islands,Belarus,0,1434,2834
Faroe Islands,Switzerland,1202,1623,1168
Faroe Islands,Sweden,2463,2139,1955
Faroe Islands,Belgium,44,21,441
Faroe Islands,Ukraine,13,0,391
Faroe Islands,"Taipei, Chinese",478,218,1452
Faroe Islands,Romania,6,33,26
Faroe Islands,Ireland,132,275,883
Faroe Islands,Netherlands,28989,382,365
Faroe Islands,Italy,0,130,272
Faroe Islands,Slovakia,64,40,0
Faroe Islands,Burkina Faso,0,0,0
Faroe Islands,Madagascar,5,0,0
Faroe Islands,Bangladesh,0,0,0
Faroe Islands,Greenland,24,72,737
Faroe Islands,Türkiye,88,218,225
Faroe Islands,Croatia,59,144,153
Faroe Islands,Estonia,122,179,0
Faroe Islands,"Korea, Republic of",240,0,55
Faroe Islands,Cyprus,39,0,77
Faroe Islands,South Africa,27,26,15
Faroe Islands,Portugal,236,153,16
Faroe Islands,Austria,36,65,84
Faroe Islands,Czech Republic,48,3,18
Faroe Islands,Serbia and Montenegro,0,84,
Faroe Islands,Cambodia,0,3,0
Faroe Islands,"Moldova, Republic of",0,0,11
Faroe Islands,Slovenia,1,13,3
Faroe Islands,Guatemala,0,74,0
Faroe Islands,Israel,54,284,210
Faroe Islands,Colombia,32,22,0
Faroe Islands,French Polynesia,0,2,1
Faroe Islands,Guinea,0,65,
Faroe Islands,Brazil,764,19,0
Faroe Islands,Luxembourg,0,0,1
Faroe Islands,Mauritius,0,1,1
Faroe Islands,Togo,0,0,0
Faroe Islands,Barbados,1,0,0
Faroe Islands,Botswana,0,3,0
Faroe Islands,Bulgaria,0,6,0
Faroe Islands,Mayotte,0,1,0
Faroe Islands,Benin,15,0,0
Faroe Islands,Dominican Republic,25,0,7
Faroe Islands,Guyana,0,1,0
Faroe Islands,Honduras,0,1,30
Faroe Islands,Indonesia,139,43,5
Faroe Islands,Mali,0,15,0
Faroe Islands,Malta,0,4,0
Faroe Islands,Namibia,34,135,0
Faroe Islands,Sao Tome and Principe,0,0,1
Faroe Islands,Senegal,9,4,0
Faroe Islands,India,0,0,16
Faroe Islands,Singapore,0,18,0
Faroe Islands,Viet Nam,2,2,3
Faroe Islands,Tunisia,8,0,1
Faroe Islands,"Tanzania, United Republic of",73,0,0
Faroe Islands,Nigeria,5527,22513,32256
