reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Fiji,United States of America,182346,170430,185603
Fiji,Australia,127635,124305,144680
Fiji,United Kingdom,76770,72017,117655
Fiji,Japan,38718,46024,40533
Fiji,New Zealand,23859,25503,30304
Fiji,Samoa,11308,19047,11843
Fiji,"Hong Kong, China",12621,6780,7068
Fiji,China,247,1401,5355
Fiji,Portugal,13007,8855,5786
Fiji,French Polynesia,4081,4957,5958
Fiji,Canada,1820,3812,2896
Fiji,Germany,4096,1838,4637
Fiji,Papua New Guinea,1511,1496,1259
Fiji,"Taipei, Chinese",4492,190,2251
Fiji,Solomon Islands,2362,2053,1865
Fiji,Dominican Republic,0,33,209
Fiji,Singapore,604,1179,1029
Fiji,New Caledonia,1256,1879,1656
Fiji,Netherlands,536,3592,1128
Fiji,India,9,13,895
Fiji,Philippines,82,113,204
Fiji,"Korea, Republic of",1136,887,1031
Fiji,Saudi Arabia,176,0,197
Fiji,Sri Lanka,0,0,0
Fiji,Italy,232,266,446
Fiji,"Micronesia, Federated States of",,0,371
Fiji,Honduras,0,1,1
Fiji,Indonesia,1946,2424,2631
Fiji,Estonia,0,0,0
Fiji,Mexico,20,112,77
Fiji,Mauritius,0,112,175
Fiji,France,785,530,872
Fiji,"Iran, Islamic Republic of",0,0,0
Fiji,Malaysia,209,109,373
Fiji,Mozambique,0,50,0
Fiji,Thailand,1442,120,517
Fiji,Austria,455,104,70
Fiji,Spain,106,49,1001
Fiji,Belgium,98,3,512
Fiji,Colombia,23,0,6
Fiji,Czech Republic,7,10,22
Fiji,Russian Federation,0,0,11
Fiji,Sweden,82,128,41
Fiji,Ethiopia,2,0,0
Fiji,Denmark,30,25,71
Fiji,Ireland,22,28,35
Fiji,Madagascar,10,3,0
Fiji,Chile,0,5,0
Fiji,Viet Nam,0,0,0
Fiji,Guinea,0,0,
Fiji,South Africa,22,23,32
Fiji,Egypt,1,0,86
Fiji,Jamaica,0,0,0
Fiji,Switzerland,17,38,47
Fiji,Poland,0,0,0
Fiji,Brazil,8,1,7
Fiji,Finland,16,23,13
Fiji,Algeria,0,0,0
Fiji,Hungary,7,11,32
Fiji,Bosnia and Herzegovina,,,0
Fiji,Croatia,2,3,2
Fiji,Cuba,23,0,0
Fiji,Côte d'Ivoire,0,0,0
Fiji,Slovakia,2,0,0
Fiji,Slovenia,57,23,6
Fiji,Namibia,0,0,0
Fiji,Norway,19,30,17
Fiji,Timor-Leste,,,
Fiji,Pakistan,,,3
Fiji,Bulgaria,4,0,0
Fiji,Israel,0,0,8
Fiji,Faroe Islands,0,0,1
Fiji,Andorra,0,0,1
Fiji,Bahrain,0,4,0
Fiji,Bangladesh,1529,140,0
Fiji,Barbados,0,13,1
Fiji,Brunei Darussalam,0,5,0
Fiji,Cambodia,0,4,0
Fiji,Costa Rica,0,0,0
Fiji,Cyprus,0,0,0
Fiji,Ecuador,24,0,2
Fiji,Greece,1,3,0
Fiji,Guatemala,0,0,16
Fiji,Guyana,0,0,1
Fiji,Kazakhstan,10,0,0
Fiji,Lebanon,1,0,1
Fiji,Latvia,0,0,0
Fiji,Peru,1,0,1
Fiji,Qatar,8,0,4
Fiji,Romania,0,0,1
Fiji,Seychelles,24,0,0
Fiji,Togo,0,2,0
Fiji,Trinidad and Tobago,0,38,0
Fiji,Türkiye,0,0,6
Fiji,"Tanzania, United Republic of",0,0,3
Fiji,Zambia,3,0,0
Fiji,Tuvalu,,3246,
Fiji,Nigeria,84,21,10
Fiji,Tonga,10807,11848,17693
