reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Greenland,Denmark,336454,351496,370788,409840,485152,389542,402864,463850,440506,475701,476641,425881,516414,527555,574606,704267,711823,725217,746737,831797
Greenland,China,20578,29339,30040,37995,36456,44260,54548,47937,57448,72135,64522,90070,101198,133378,231912,273715,259990,238238,367082,379603
Greenland,United Kingdom,7679,7801,11004,9185,10184,6424,11360,11992,15573,9243,7532,4039,7467,7127,4284,4192,16504,26210,87798,89875
Greenland,Japan,66443,69393,63347,64535,82531,88889,77903,90058,105937,90119,79563,73927,53070,71688,71666,77355,77159,73547,80497,79529
Greenland,Germany,15622,18823,22029,29355,32320,20315,18849,18221,18155,37034,27748,20760,21026,16634,12395,11396,52523,53417,45691,50062
Greenland,Norway,6710,5446,7473,3335,3994,10365,13031,28504,19935,15287,18506,29510,26318,22818,41975,32804,33126,30763,20271,40903
Greenland,Iceland,12172,8460,5841,6212,5370,2701,4610,7621,11424,28322,14972,28433,15688,22407,8948,27134,32927,19093,19529,39527
Greenland,"Taipei, Chinese",5159,4850,3899,5034,7958,7037,13261,12636,15351,19022,24369,22292,26852,22118,32131,35798,32344,45954,51230,36300
Greenland,United States of America,15166,17837,11426,10216,6279,7862,8538,7642,6933,9655,5578,3851,6010,13335,16534,27444,29206,41643,36771,28009
Greenland,Ukraine,0,252,564,1495,2541,630,592,549,2445,3076,2003,1437,4077,7327,7595,9511,10782,9632,8854,13547
Greenland,Netherlands,54,706,1931,4339,3936,2604,3161,2503,2408,4713,4506,1329,769,1416,2002,1910,3460,1460,1870,10767
Greenland,France,7648,8772,10503,7777,6934,5691,4082,7030,1416,2696,3610,4669,4284,3486,4252,2948,13202,9193,10886,6854
Greenland,Thailand,14456,16293,11074,5291,12344,6386,9211,6091,6820,2556,3133,5242,4025,8441,5439,6605,6895,6904,7341,6484
Greenland,Singapore,0,0,0,0,0,0,0,0,0,0,10,212,171,0,0,0,91,22,566,4003
Greenland,Switzerland,337,0,0,1,40,0,2,167,14197,15290,7,28,30,38,488,163,110,1202,1137,2130
Greenland,Canada,788,440,445,43199,33058,15309,475,778,443,221,583,433,504,362,382,247,2248,1355,2167,1431
Greenland,Ireland,265,109,83,14,1,0,31,3,94,88,18,11,10,0,4,1,0,2107,2091,1152
Greenland,Poland,2217,6937,14998,9733,11767,8163,7314,5745,8150,7707,13698,13204,20482,9816,15005,14485,16139,11641,12295,1003
Greenland,"Korea, Republic of",1239,1825,2473,1214,2931,1420,1766,2082,1790,2296,3588,2765,1906,955,461,506,201,475,515,867
Greenland,Portugal,0,0,0,0,0,355,82,1220,653,1966,0,665,520,79,0,0,1,2847,0,802
Greenland,Greece,0,0,0,19,141,0,0,0,47,15,0,0,0,0,0,0,0,0,167,302
Greenland,Cyprus,72,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,214
Greenland,"Hong Kong, China",0,0,0,0,0,31,0,2,27,305,0,0,0,64,0,0,0,0,0,186
Greenland,New Zealand,0,0,0,0,0,11,0,0,7,0,0,0,0,0,7,0,0,93,414,128
Greenland,Spain,19598,26537,9443,1084,2929,1893,315,792,1082,2587,2864,4266,7063,5416,7442,9106,7938,10320,8421,91
Greenland,Lithuania,970,0,0,56,244,3,0,0,0,101,409,178,43,294,158,2,86,274,81,85
Greenland,Sweden,360,2,2045,3,1,582,9736,570,2531,116,332,90,37,1099,32,262,4,1280,118,78
Greenland,South Africa,5,0,3,15,5,4,1,1,1,6729,1,132,0,0,1,6,68,0,1,60
Greenland,Brazil,3,0,11,0,2,0,0,1,0,5,0,0,1,0,0,72,0,0,0,31
Greenland,Finland,336,193,218,193,315,642,639,0,533,908,1000,1028,868,1229,1812,735,414,321,1155,24
Greenland,Latvia,0,0,0,0,1,0,0,0,0,0,38,78,639,0,359,0,0,0,0,16
Greenland,Italy,133,0,0,55,0,21,0,18,3,36,0,0,75,0,177,119,2,2,0,11
Greenland,Belgium,29,9,0,483,1,2,0,34,2,1,133,11,1,3,0,0,1,13,1,7
Greenland,"Bolivia, Plurinational State of",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Greenland,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1
Greenland,Colombia,0,0,0,1,0,0,29,0,3,0,4,18,0,110,0,12,0,12,0,1
Greenland,Hungary,0,0,0,0,8,4,0,0,0,0,0,0,0,0,1,33,10,5,8,1
Greenland,Romania,9,33,11,0,0,0,0,0,0,0,291,0,393,0,0,0,0,0,0,1
Greenland,Serbia,,,0,0,11,0,0,1,0,17,0,56,0,5,0,151,0,0,0,0
Greenland,Austria,362,406,483,634,805,1094,878,366,323,105,166,255,73,80,78,106,157,146,378,0
Greenland,Bosnia and Herzegovina,1,7,0,1,1,4,1,1,0,28,0,0,0,0,1,0,0,0,0,0
Greenland,Bulgaria,25,52,63,26,15,8,0,0,0,0,122,0,0,0,39,0,0,66,0,0
Greenland,Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0
Greenland,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0
Greenland,Costa Rica,0,0,0,0,0,2,0,3,2,5,4,41,40,2,1,0,0,0,0,0
Greenland,Croatia,555,315,94,47,45,29,20,0,0,0,0,0,0,0,0,0,0,0,0,0
