reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Haiti,United States of America,550383,573185,639441
Haiti,Dominican Republic,71920,208180,282058
Haiti,Colombia,28507,37191,34257
Haiti,Japan,19959,27724,26366
Haiti,Malaysia,4114,8134,20829
Haiti,Chile,5643,4894,3741
Haiti,Brazil,23357,23746,31583
Haiti,China,14450,23469,26381
Haiti,France,24794,22226,23916
Haiti,Peru,9761,12644,14458
Haiti,Netherlands,19348,14948,15492
Haiti,Canada,17363,19574,14766
Haiti,Germany,11598,13495,10518
Haiti,United Kingdom,15134,17979,25879
Haiti,Argentina,19988,10898,12035
Haiti,Cuba,12064,15351,11670
Haiti,"Korea, Republic of",8667,15863,17521
Haiti,Thailand,3426,2804,2555
Haiti,"Venezuela, Bolivarian Republic of",13619,19356,8289
Haiti,Mexico,7418,12678,9558
Haiti,Spain,7089,7912,7410
Haiti,India,6554,10780,7889
Haiti,Türkiye,9612,11146,7925
Haiti,"Hong Kong, China",3903,3601,7125
Haiti,Trinidad and Tobago,4620,4518,7699
Haiti,Indonesia,4100,6919,4412
Haiti,Guatemala,10605,8329,9566
Haiti,Italy,6212,7095,7236
Haiti,"Taipei, Chinese",11088,9388,6708
Haiti,Costa Rica,7434,6199,6245
Haiti,Pakistan,,,4142
Haiti,Nicaragua,0,0,79
Haiti,Israel,4694,4160,3581
Haiti,Guyana,789,931,2404
Haiti,Uruguay,7174,3429,53
Haiti,Denmark,1051,1940,1729
Haiti,Belgium,5028,11717,4153
Haiti,Panama,623,93,1776
Haiti,Switzerland,796,1150,1068
Haiti,Norway,3613,3557,3393
Haiti,Jordan,0,0,0
Haiti,Russian Federation,928,1181,496
Haiti,Suriname,0,,
Haiti,Sweden,645,267,1756
Haiti,Honduras,1700,728,1278
Haiti,Ecuador,448,309,474
Haiti,Australia,4198,80,134
Haiti,Austria,2019,3523,1783
Haiti,Czech Republic,998,1461,346
Haiti,El Salvador,547,869,586
Haiti,Jamaica,564,674,556
Haiti,Portugal,526,587,1241
Haiti,South Africa,78,303,231
Haiti,Barbados,513,396,436
Haiti,New Zealand,242,323,190
Haiti,Morocco,100,243,181
Haiti,Ireland,552,352,510
Haiti,Ukraine,0,0,0
Haiti,Syrian Arab Republic,0,0,0
Haiti,Cyprus,278,231,355
Haiti,Malta,9,0,0
Haiti,Bahamas,108,127,157
Haiti,Finland,671,292,684
Haiti,Viet Nam,896,132,39
Haiti,Hungary,233,241,957
Haiti,Philippines,2185,2189,114
Haiti,Poland,562,0,543
Haiti,"Bolivia, Plurinational State of",21,24,133
Haiti,Papua New Guinea,0,0,0
Haiti,Bosnia and Herzegovina,,,9
Haiti,Côte d'Ivoire,0,80,118
Haiti,Greece,537,173,1123
Haiti,Egypt,0,20,52
Haiti,Dominica,87,38,0
Haiti,Iceland,0,0,0
Haiti,Turks and Caicos Islands,23,28,34
Haiti,Serbia and Montenegro,8,10,
Haiti,Sri Lanka,0,0,158
Haiti,"Iran, Islamic Republic of",33,95,7
Haiti,Lebanon,311,15,246
Haiti,Luxembourg,112,35,2
Haiti,Belize,0,0,0
Haiti,Romania,16,0,0
Haiti,Latvia,0,685,9
Haiti,Slovakia,8,49,0
Haiti,Mauritius,0,0,0
Haiti,Bulgaria,7,10,18
Haiti,Slovenia,111,36,52
Haiti,Saint Lucia,0,0,0
Haiti,Angola,,,
Haiti,Timor-Leste,,,
Haiti,Albania,0,0,0
Haiti,Kenya,0,10,0
Haiti,Saint Vincent and the Grenadines,19,0,0
Haiti,Guinea,1,0,
Haiti,Algeria,15,96,35
Haiti,Bangladesh,1794,0,0
Haiti,Belarus,0,0,1
Haiti,Grenada,0,0,0
Haiti,Madagascar,0,16,28
Haiti,Malawi,0,0,37
Haiti,Namibia,0,643,0
Haiti,Paraguay,0,46,0
Haiti,Singapore,487,431,0
Haiti,Tunisia,0,0,10
Haiti,Uganda,0,10,0
