reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Honduras,United States of America,3126486,3393597,3455035
Honduras,El Salvador,133848,155264,134944
Honduras,Guatemala,135798,100955,101559
Honduras,Germany,74167,78677,83039
Honduras,Canada,80773,81888,69772
Honduras,Belgium,34542,56834,64137
Honduras,Mexico,17286,25324,46947
Honduras,Spain,28067,27994,45039
Honduras,Nicaragua,23363,8210,32763
Honduras,Japan,51781,45552,30662
Honduras,United Kingdom,43473,28559,38450
Honduras,Costa Rica,38549,34041,42285
Honduras,Netherlands,24086,29746,26332
Honduras,Jamaica,11513,20105,16351
Honduras,France,21275,21676,27396
Honduras,Italy,18619,13413,11789
Honduras,"Korea, Republic of",15073,10538,12171
Honduras,China,113,766,3379
Honduras,Poland,21777,41194,54120
Honduras,Panama,8488,8131,8078
Honduras,Finland,9958,5426,4263
Honduras,Switzerland,8963,7736,7706
Honduras,Austria,3262,4397,5384
Honduras,Belize,2035,3024,5716
Honduras,Sweden,10400,5711,6026
Honduras,Dominican Republic,3030,5486,5051
Honduras,Portugal,2681,3091,4842
Honduras,Australia,1959,2654,3405
Honduras,"Taipei, Chinese",1038,638,861
Honduras,Romania,3104,3630,5769
Honduras,Colombia,1949,6326,11639
Honduras,Barbados,2101,3102,5256
Honduras,Denmark,4076,4724,3865
Honduras,Norway,2764,989,1623
Honduras,Grenada,1223,2188,2777
Honduras,Trinidad and Tobago,8517,6780,4267
Honduras,Saint Lucia,1522,2362,2337
Honduras,Syrian Arab Republic,0,0,4738
Honduras,Cuba,1523,1346,2021
Honduras,Türkiye,26,932,1672
Honduras,Czech Republic,1792,1391,1411
Honduras,Viet Nam,421,365,751
Honduras,"Hong Kong, China",1808,594,1558
Honduras,Russian Federation,5305,9308,7544
Honduras,Slovenia,189,181,769
Honduras,Chile,566,1839,378
Honduras,Ireland,21074,3372,1479
Honduras,Brazil,399,408,487
Honduras,Saint Vincent and the Grenadines,564,747,750
Honduras,Serbia and Montenegro,57,380,
Honduras,Croatia,327,632,426
Honduras,Israel,554,142,457
Honduras,Slovakia,1634,602,522
Honduras,Ukraine,934,799,537
Honduras,Hungary,866,1514,2298
Honduras,Ecuador,559,634,944
Honduras,"Venezuela, Bolivarian Republic of",616,367,3094
Honduras,Lebanon,237,308,301
Honduras,New Zealand,63,139,166
Honduras,Senegal,0,0,1
Honduras,South Africa,42,607,754
Honduras,Saudi Arabia,2075,394,156
Honduras,India,398,59,20
Honduras,Kuwait,222,387,210
Honduras,Georgia,147,2,11
Honduras,Rwanda,2,0,0
Honduras,Burkina Faso,73,3,0
Honduras,Suriname,0,,
Honduras,Iceland,48,67,114
Honduras,Greece,168,284,209
Honduras,Bulgaria,378,1014,1387
Honduras,Thailand,25,82,307
Honduras,"Bolivia, Plurinational State of",74,28,340
Honduras,Guinea,21,2,
Honduras,Singapore,78,94,75
Honduras,Peru,56,154,118
Honduras,Argentina,109,1,40
Honduras,Estonia,58,51,299
Honduras,Philippines,979,177,352
Honduras,Qatar,8,0,30
Honduras,Bosnia and Herzegovina,,,15
Honduras,Andorra,31,31,70
Honduras,"Macao, China",8,40,99
Honduras,Mali,0,0,0
Honduras,Luxembourg,0,0,0
Honduras,Cyprus,95,30,17
Honduras,Belarus,4285,21,767
Honduras,Dominica,56,15,9
Honduras,Pakistan,,,6
Honduras,Bahamas,349,316,157
Honduras,Jordan,32,47,92
Honduras,Côte d'Ivoire,4,0,4
Honduras,French Polynesia,3,114,2
Honduras,Ghana,0,,40
Honduras,Tunisia,14,26,7
Honduras,Bahrain,1,5,2
Honduras,Latvia,65,1,12
Honduras,Mauritius,0,7,19
Honduras,Morocco,223,144,865
Honduras,Malaysia,32,22,1261
Honduras,Faroe Islands,0,0,1
Honduras,Uruguay,19,3,4
Honduras,Bangladesh,182,4,23
Honduras,Lithuania,16,106,1589
Honduras,Benin,17,1,0
Honduras,Ethiopia,0,3,12
Honduras,Madagascar,0,0,10
Honduras,Malta,18,7,6
Honduras,Algeria,418,2523,31
Honduras,Guyana,2,144,1
Honduras,"Macedonia, North",20,80,63
Honduras,"Tanzania, United Republic of",8,9,21
Honduras,Kazakhstan,0,10,2
Honduras,New Caledonia,0,6,1
Honduras,Saint Kitts and Nevis,4,5,0
Honduras,Fiji,,0,1
Honduras,Albania,7,95,250
Honduras,Azerbaijan,111,0,0
Honduras,Botswana,0,0,0
Honduras,Solomon Islands,0,2,0
Honduras,Brunei Darussalam,21,0,14
Honduras,Cambodia,0,4,0
Honduras,Cameroon,69,0,0
Honduras,Cabo Verde,10,0,0
Honduras,Sri Lanka,0,0,0
Honduras,Mayotte,2,0,0
Honduras,Gambia,5,0,0
Honduras,Indonesia,10,33,205
Honduras,"Iran, Islamic Republic of",0,0,53
Honduras,Kenya,0,0,4
Honduras,Kyrgyzstan,0,24,0
Honduras,Malawi,1,0,115
Honduras,"Moldova, Republic of",64,28,0
Honduras,Oman,32,136,97
Honduras,Papua New Guinea,6,0,0
Honduras,Paraguay,0,0,37
Honduras,Sudan (before 2012),0,662,0
Honduras,Togo,8,5,25
Honduras,Turks and Caicos Islands,0,2,0
Honduras,Uganda,0,0,17
Honduras,Egypt,157,0,0
Honduras,Samoa,0,3,0
Honduras,Anguilla,7,6,26
