reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Iceland,Germany,263545,240791,305934
Iceland,Sweden,149650,162980,235910
Iceland,Denmark,220385,225158,295504
Iceland,United Kingdom,227276,212867,239071
Iceland,United States of America,225421,218993,242082
Iceland,Norway,145398,127812,154346
Iceland,Netherlands,115055,123209,234263
Iceland,Gabon,50136,47432,18058
Iceland,Italy,53650,49862,100230
Iceland,France,90130,57794,95021
Iceland,Japan,29948,35284,60962
Iceland,Canada,17657,34767,34030
Iceland,Belgium,44400,36797,57412
Iceland,Ireland,24672,33123,48242
Iceland,China,32273,18496,45526
Iceland,Spain,82166,31547,40482
Iceland,Finland,32692,31568,38600
Iceland,Latvia,7145,9311,16631
Iceland,Poland,197079,37630,34478
Iceland,Switzerland,17178,20916,26217
Iceland,Faroe Islands,6438,5726,16776
Iceland,Algeria,172,189,3
Iceland,"Korea, Republic of",28276,14013,16167
Iceland,Austria,12977,13363,17168
Iceland,Estonia,4198,5039,10095
Iceland,Lithuania,1034,2400,5785
Iceland,Czech Republic,6672,11843,10458
Iceland,India,5051,7270,16173
Iceland,Hungary,2274,3081,5769
Iceland,Luxembourg,4268,4979,4112
Iceland,Türkiye,3209,2663,9790
Iceland,South Africa,804,2178,7476
Iceland,Brazil,3152,866,8865
Iceland,Thailand,8844,3413,4530
Iceland,Belarus,1776,1516,2870
Iceland,Portugal,15082,9681,8540
Iceland,"Hong Kong, China",6025,4599,4935
Iceland,Israel,2555,3778,5748
Iceland,Viet Nam,5229,2183,1480
Iceland,Malta,212,780,686
Iceland,"Taipei, Chinese",5195,3998,3410
Iceland,Slovenia,909,956,862
Iceland,Greenland,2168,3686,3860
Iceland,Namibia,2663,12147,7266
Iceland,Greece,10507,2457,2365
Iceland,Slovakia,541,659,792
Iceland,Russian Federation,7713,767,3212
Iceland,Chile,13910,29934,1210
Iceland,Malaysia,1565,1315,1966
Iceland,Ukraine,600,2,377
Iceland,Australia,1140,1488,1323
Iceland,Armenia,0,529,610
Iceland,Indonesia,1711,1701,1597
Iceland,Saudi Arabia,49,0,46
Iceland,Romania,122,439,197
Iceland,Pakistan,,,731
Iceland,New Zealand,224,686,517
Iceland,Tunisia,1194,570,402
Iceland,Syrian Arab Republic,0,0,260
Iceland,Malawi,52,876,366
Iceland,Bahrain,9,53,139
Iceland,Croatia,212,224,2083
Iceland,Kenya,3,3,45
Iceland,Argentina,197,84,235
Iceland,Mexico,490,211,146
Iceland,Bulgaria,330,91,162
Iceland,Philippines,516,200,121
Iceland,Sri Lanka,323,21,244
Iceland,Colombia,189,70,127
Iceland,Côte d'Ivoire,406,269,180
Iceland,Botswana,0,364,3
Iceland,"Tanzania, United Republic of",2182,1057,493
Iceland,Togo,16,0,0
Iceland,Cambodia,0,2,20
Iceland,Peru,15,78,71
Iceland,Bangladesh,37,91,232
Iceland,Paraguay,5,75,14
Iceland,Serbia and Montenegro,438,206,
Iceland,Bahamas,518,299,435
Iceland,Guinea,0,0,
Iceland,Senegal,0,0,0
Iceland,Guatemala,19,98,0
Iceland,Bosnia and Herzegovina,,,17
Iceland,Cyprus,43,65,42
Iceland,Nicaragua,20,0,0
Iceland,Kazakhstan,0,0,0
Iceland,"Macedonia, North",0,4,0
Iceland,Ecuador,19,397,464
Iceland,Barbados,0,4,5
Iceland,Zambia,491,523,1116
Iceland,Andorra,0,0,0
Iceland,Costa Rica,227,3430,2211
Iceland,Georgia,16,0,0
Iceland,Uruguay,0,8,7
Iceland,Fiji,,0,6
Iceland,Dominican Republic,0,32,86
Iceland,"Moldova, Republic of",0,51,211
Iceland,Rwanda,0,0,11
Iceland,Madagascar,6,0,0
Iceland,Trinidad and Tobago,0,0,0
Iceland,Egypt,0,8,43
Iceland,Yemen,,,
Iceland,Suriname,90,,
Iceland,Albania,69,8,123
Iceland,Azerbaijan,85854,0,0
Iceland,Belize,3,0,0
Iceland,Brunei Darussalam,4,0,0
Iceland,Cameroon,10,0,0
Iceland,Cuba,0,1,415
Iceland,Benin,46,21,0
Iceland,El Salvador,0,3,0
Iceland,Ethiopia,1746,2299,301
Iceland,Honduras,0,4,0
Iceland,"Iran, Islamic Republic of",72,0,0
Iceland,Jamaica,0,4141,0
Iceland,Jordan,30,15,0
Iceland,Kuwait,1,0,40
Iceland,Lebanon,4,3,0
Iceland,"Macao, China",199,47,31
Iceland,Mali,9,0,0
Iceland,Morocco,5,0,59
Iceland,Mozambique,0,18,0
Iceland,Oman,1,0,0
Iceland,Niger,1,0,0
Iceland,Panama,2,0,0
Iceland,Papua New Guinea,0,0,5
Iceland,Singapore,419,978,0
Iceland,Zimbabwe,0,88,15
Iceland,Uganda,7,0,129
Iceland,Burkina Faso,0,214,0
Iceland,"Venezuela, Bolivarian Republic of",4761,0,7
Iceland,Nepal,,,18
Iceland,Eritrea,,,9
Iceland,Lesotho,30,0,0
