partner,reporter,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Iceland,Netherlands,281715,474479,463442,558715,454997,320163,360751,414237,391922,392826,507286,496171,617039,725073,861163,801386,733123,894253,1132721,1392127
Iceland,Norway,289352,320816,359362,299887,580314,385909,260721,649223,718915,648090,700658,445884,437950,547649,676093,665578,474617,734395,1103169,1051268
Iceland,Germany,427087,591425,850649,858401,583820,315585,370014,439476,435311,421637,415908,433903,677465,721999,852268,537677,477580,664593,708512,831862
Iceland,Denmark,336434,412795,439071,545564,494129,291793,335092,384914,408660,426809,478606,439136,485683,537373,585510,492243,544186,748156,721114,735660
Iceland,Sweden,341109,454130,503621,708351,617311,316980,210108,240855,238626,272079,268913,278198,316037,376073,436296,359312,382222,475008,493361,509431
Iceland,United Kingdom,315623,334262,349276,404506,336528,195302,196762,374735,318717,303008,315573,337163,755523,511633,430066,386077,373437,408647,467924,413290
Iceland,United States of America,308551,512020,365834,629629,469548,349536,324883,628054,370820,513397,364461,415458,447778,399259,670389,555025,292456,628868,651312,328246
Iceland,China,45968,74698,77665,92315,93137,54217,71008,76581,95388,146642,143759,125013,133913,110499,255708,114872,100877,207016,311158,266726
Iceland,Australia,2064,4657,11743,5834,4713,1434,4932,3196,3655,1623,3732,1551,161528,186724,2165,1060,753,1044,237596,232375
Iceland,France,96450,128268,168371,137081,98743,39407,46192,60712,81905,71282,84702,80141,101615,458781,102360,88184,103529,104417,321407,228873
Iceland,Brazil,9387,4193,2219,1680,12798,132444,264695,269853,284400,325654,259590,292865,82167,234072,163757,117742,273226,319040,271424,196629
Iceland,Belgium,61652,83497,105387,150190,109861,76601,93786,93965,74226,80459,99649,93733,110120,124763,138634,93801,105221,161304,190063,186837
Iceland,Poland,38717,118305,102109,125183,142066,39034,31416,44242,58534,54253,89516,69911,166955,172606,125284,183302,96429,124910,170536,180132
Iceland,Italy,102455,128177,149371,169522,136790,75407,84545,117463,101935,128840,132396,123782,134404,136050,145222,120321,119510,152150,152880,165869
Iceland,Lithuania,19113,67549,97378,129833,26325,20200,95526,18423,17732,20656,24404,24372,31198,41004,51195,52282,47589,66903,88567,103990
Iceland,Japan,90704,137637,154254,150600,80892,16512,65852,36457,34792,32151,39107,52780,67460,85805,85664,55266,45616,56461,69039,100593
Iceland,Switzerland,31358,48577,38967,33691,29885,21587,22732,34681,27569,29263,32708,28748,35347,46366,57389,73709,65937,84051,78214,86274
Iceland,Spain,45499,54469,59796,167753,51362,32245,30343,32093,45010,33887,46718,40712,186566,60012,63631,101514,69309,93153,85658,84396
Iceland,Austria,23492,37359,63409,50860,38751,17561,14213,39344,19659,29151,19813,19219,25771,38113,46687,46921,32941,47618,58678,79649
Iceland,Czech Republic,16860,30652,37153,54853,29129,11213,21159,28260,35832,40776,40546,51151,59858,63960,52209,37999,39944,62780,81901,72708
Iceland,Finland,45041,55552,64733,78281,64173,54704,202961,36551,36986,36160,44149,39024,45044,57745,58454,57910,53998,58197,82557,72130
Iceland,"Korea, Republic of",24446,42416,35647,38392,38705,6009,347943,16898,26954,25090,31351,30829,34906,45092,37497,98415,28754,52920,44939,63534
Iceland,Latvia,41868,39264,42694,55787,40493,15790,13009,15859,17389,16912,18730,16375,20599,30239,36167,34042,34553,44261,45724,60093
