reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
India,United States of America,3757045,4101055,4979693
India,China,1895833,2671164,3343225
India,Belgium,2702439,3859934,4356921
India,Switzerland,3718275,2356584,3002161
India,United Kingdom,2956998,2860224,3895043
India,Singapore,2721131,2637539,3090814
India,Germany,2016964,2227984,2767922
India,Australia,1252743,1350323,2175138
India,"Korea, Republic of",1407728,1384137,2852952
India,Japan,1924664,1870339,2391169
India,Malaysia,1577052,1760957,2533821
India,Russian Federation,1120423,1610552,2735373
India,"Hong Kong, China",1203892,1445874,2140224
India,Indonesia,1053940,1301960,1742488
India,France,910128,947962,1131734
India,Italy,875847,957578,1194971
India,Sweden,359712,643177,881833
India,"Taipei, Chinese",630175,647863,768990
India,Israel,473430,613829,717936
India,Qatar,153775,101980,147829
India,Netherlands,481361,483176,618908
India,Thailand,482061,413205,640297
India,Canada,437067,430353,545505
India,Brazil,284977,653511,552852
India,Argentina,440437,442781,558477
India,South Africa,368911,351546,380290
India,Yemen,,,
India,Saudi Arabia,312827,330968,357666
India,Spain,200085,260830,276591
India,"Iran, Islamic Republic of",180158,177465,258277
India,Chile,117957,179830,222745
India,Mexico,187601,328333,487328
India,Ukraine,129896,157857,202789
India,Sri Lanka,71977,170451,241155
India,Egypt,252132,411735,464990
India,Austria,122990,173734,219662
India,Morocco,244678,259174,273108
India,Finland,194972,177985,232274
India,Brunei Darussalam,50344,400,83933
India,Denmark,106819,112486,197641
India,Jordan,205210,226391,199004
India,Czech Republic,68133,179059,119973
India,Ireland,101875,139447,210754
India,Senegal,97163,197390,147616
India,Türkiye,74373,72724,71365
India,New Zealand,69368,89117,91434
India,Romania,38886,48155,53549
India,Norway,48315,66664,69073
India,Bahrain,80751,55022,112914
India,Côte d'Ivoire,77572,85983,75406
India,"Tanzania, United Republic of",82219,64940,73147
India,Kuwait,61873,82639,98624
India,Bangladesh,16508,25423,40806
India,Pakistan,,,83546
India,Philippines,71146,89328,101853
India,Tunisia,82289,80959,46356
India,Poland,91851,31457,78163
India,Belarus,64967,50353,33279
India,Viet Nam,45365,52030,32273
India,Algeria,18099,66808,15114
India,Kenya,29111,34517,35641
India,Peru,36460,21682,19026
India,Guinea-Bissau,,,24764
India,Gabon,13667,89152,55223
India,Oman,19305,24789,14079
India,Hungary,25782,25512,34700
India,Slovakia,35763,30588,24609
India,Mozambique,3534,4930,3609
India,Papua New Guinea,20,459,15399
India,Sudan (before 2012),9164,7672,25735
India,Lebanon,14230,14306,13795
India,Greece,40356,123197,53250
India,Portugal,14324,15616,20652
India,Ecuador,1043,695,914
India,Bulgaria,10991,6975,8589
India,Benin,55684,42462,27442
India,Slovenia,14929,17971,28143
India,Lithuania,3806,4861,6246
India,Mauritius,3127,3371,3611
India,Panama,417,2539,4242
India,Cameroon,15656,27171,7668
India,Trinidad and Tobago,352,1340,3607
India,Ghana,8716,,12277
India,Togo,4226,5003,10364
India,Zambia,32816,29623,34210
India,New Caledonia,1424,5214,9364
India,Luxembourg,11989,9742,11777
India,Syrian Arab Republic,29635,78093,23547
India,Mali,8209,11368,12520
India,"Venezuela, Bolivarian Republic of",461678,355810,4370
India,Ethiopia,16452,11029,7417
India,Kazakhstan,9279,4213,5428
India,Colombia,2898,4077,6330
India,Costa Rica,3132,4808,9279
India,Madagascar,1412,1854,4198
India,Georgia,4443,2125,6352
India,Azerbaijan,803,2245,1309
India,Cyprus,2404,1778,2492
India,Uruguay,1771,4880,10211
India,Serbia and Montenegro,1759,277,
India,Malawi,1349,1387,3091
India,Zimbabwe,34,4659,4222
India,Jamaica,3,36,244
India,Paraguay,28461,2795,139
India,Estonia,1787,2028,6685
India,Latvia,805,1190,864
India,Guatemala,820,1195,2484
India,Guyana,2062,1309,3200
India,Croatia,22327,1469,8300
India,Dominican Republic,65,237,1742
India,"Bolivia, Plurinational State of",3044,1028,1556
India,El Salvador,524,636,786
India,Honduras,11,53,238
India,Cuba,1548,1717,4467
India,Uganda,330,158,1134
India,Iceland,466,467,760
India,Mongolia,52,,86
India,Kyrgyzstan,1368,825,667
India,Malta,51,2534,115
India,Maldives,284,118,348
India,Namibia,21,127,45
India,Armenia,68,323,43
India,"Moldova, Republic of",386,961,805
India,Suriname,19,,
India,Fiji,,42,188
India,Angola,,,
India,Bahamas,0,6,0
India,Botswana,108,112,212
India,Niger,0,41,288
India,Cambodia,58,189,17
India,Rwanda,59,2,0
India,French Polynesia,7,15,24
India,"Macedonia, North",14,50,200
India,Guinea,299,66,
India,Gambia,2,0,79
India,"Macao, China",1,41,3
India,Nicaragua,4,0,0
India,Andorra,36,16,27
India,Barbados,10,14,24
India,Burkina Faso,413,90,44
India,Comoros,0,0,0
India,Bosnia and Herzegovina,,,2
India,Seychelles,12,9,24
India,Timor-Leste,,,
India,Cabo Verde,0,0,0
India,Grenada,1,0,0
India,Burundi,0,1,1
India,Belize,2,0,47
India,Solomon Islands,938,1417,196
India,Mayotte,0,0,0
India,Dominica,1,0,0
India,Saint Kitts and Nevis,1,1,0
India,Saint Lucia,94,3,20
India,Eswatini,0,0,51
India,Samoa,0,0,0
India,Nepal,,,341799
India,Eritrea,,,478
India,Sierra Leone,,11,
India,Central African Republic,0,80,0
India,Nigeria,2083303,2160900,2393241
India,Tonga,0,0,0
India,Anguilla,1,0,0
