reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Lao PDR,Thailand,89076,93452,103800
Lao PDR,Viet Nam,68030,62583,60744
Lao PDR,France,43873,45646,47402
Lao PDR,United Kingdom,20945,25936,23044
Lao PDR,Germany,27985,24208,26268
Lao PDR,Slovakia,298,145,62
Lao PDR,Belgium,11359,14902,20591
Lao PDR,Italy,11884,11262,11443
Lao PDR,China,7458,9649,11202
Lao PDR,Netherlands,9875,10881,10910
Lao PDR,Japan,6946,6722,7413
Lao PDR,Poland,237,1608,4299
Lao PDR,Canada,1853,2160,4344
Lao PDR,"Taipei, Chinese",4169,3466,2078
Lao PDR,Spain,4808,5864,5305
Lao PDR,United States of America,3864,2738,4459
Lao PDR,Ireland,1179,1406,1766
Lao PDR,Switzerland,2474,2174,2876
Lao PDR,Austria,1596,1532,3346
Lao PDR,Sweden,1006,743,4067
Lao PDR,Norway,2980,2695,1708
Lao PDR,"Korea, Republic of",480,110,150
Lao PDR,Czech Republic,536,369,824
Lao PDR,Finland,2451,1213,1032
Lao PDR,Denmark,625,668,545
Lao PDR,Singapore,426,507,255
Lao PDR,Portugal,199,180,238
Lao PDR,Australia,1017,321,341
Lao PDR,Türkiye,42,238,464
Lao PDR,Romania,52,61,123
Lao PDR,Pakistan,,,2
Lao PDR,Cambodia,58,21,118
Lao PDR,Greece,459,326,291
Lao PDR,Mexico,708,297,260
Lao PDR,Russian Federation,37,163,155
Lao PDR,Kuwait,0,213,148
Lao PDR,Slovenia,115,195,163
Lao PDR,Egypt,145,270,41
Lao PDR,Brazil,1,42,11
Lao PDR,Malaysia,312,386,169
Lao PDR,Tunisia,1,6,5
Lao PDR,Croatia,17,159,187
Lao PDR,Lebanon,58,101,112
Lao PDR,New Zealand,39,22,154
Lao PDR,Latvia,4,3,40
Lao PDR,India,0,67,209
Lao PDR,Serbia and Montenegro,0,5,
Lao PDR,Estonia,95,87,83
Lao PDR,Georgia,0,0,0
Lao PDR,Iceland,98,34,56
Lao PDR,Israel,16,6,186
Lao PDR,Saudi Arabia,109,0,206
Lao PDR,Morocco,0,0,7
Lao PDR,South Africa,35,32,10
Lao PDR,Peru,84,36,69
Lao PDR,Bangladesh,59,0,1
Lao PDR,New Caledonia,32,29,42
Lao PDR,Argentina,3,0,0
Lao PDR,Andorra,2,5,3
Lao PDR,Bulgaria,14,177,10
Lao PDR,"Hong Kong, China",123,71,146
Lao PDR,Colombia,23,60,22
Lao PDR,Senegal,0,3,31
Lao PDR,Malta,26,61,60
Lao PDR,Uruguay,1,1,3
Lao PDR,Cyprus,6,50,43
Lao PDR,Ukraine,14,25,10
Lao PDR,Brunei Darussalam,0,1,1
Lao PDR,Algeria,387,18,0
Lao PDR,Malawi,0,0,0
Lao PDR,Burundi,0,0,0
Lao PDR,Timor-Leste,,,
Lao PDR,Bosnia and Herzegovina,,,2
Lao PDR,French Polynesia,3,17,25
Lao PDR,Indonesia,203,177,3321
Lao PDR,Mauritius,2,7,3
Lao PDR,Kazakhstan,27,2,6
Lao PDR,Faroe Islands,0,0,3
Lao PDR,Ecuador,0,0,0
Lao PDR,Nicaragua,3,6,0
Lao PDR,"Micronesia, Federated States of",,0,0
Lao PDR,Belarus,0,0,0
Lao PDR,Cuba,1,13,12
Lao PDR,Ethiopia,0,0,14
Lao PDR,Hungary,1430,879,764
Lao PDR,Côte d'Ivoire,0,4,1
Lao PDR,Trinidad and Tobago,2,0,0
Lao PDR,Mongolia,0,,6
Lao PDR,Ghana,4,,0
Lao PDR,Bahrain,1,0,0
Lao PDR,Barbados,17,7,7
Lao PDR,Botswana,0,56,0
Lao PDR,Chile,52,0,21
Lao PDR,Mayotte,0,0,2
Lao PDR,Benin,37,0,0
Lao PDR,Dominican Republic,151,11,0
Lao PDR,Guyana,21,0,0
Lao PDR,Honduras,3,8,38
Lao PDR,Lithuania,14,14,7
Lao PDR,Luxembourg,1,156,0
Lao PDR,"Macao, China",0,0,1
Lao PDR,Madagascar,0,1,0
Lao PDR,Mali,39,0,0
Lao PDR,Mozambique,1,6,1
Lao PDR,Niger,42,0,0
Lao PDR,Papua New Guinea,40,0,0
Lao PDR,Philippines,6,27,50
Lao PDR,Rwanda,0,5,0
Lao PDR,Saint Lucia,0,0,2
Lao PDR,Saint Vincent and the Grenadines,0,11,0
Lao PDR,Sudan (before 2012),2,1,0
Lao PDR,Togo,0,4,0
Lao PDR,"Macedonia, North",0,2,1
Lao PDR,"Tanzania, United Republic of",5,0,0
Lao PDR,Nepal,,,104
Lao PDR,Lesotho,0,1304,0
Lao PDR,Nigeria,238,213,301
