reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Latvia,Lithuania,474675,612176,927157,1340216,1623561,1176557,1461403,2031804,1950202,2166398,2422800,2326272,2200678,2185963,2612842,2541909,2604054,3697943,4346282,3946163
Latvia,Estonia,228945,314868,411865,566900,638829,514454,705298,912141,970446,1060731,951936,667547,675343,740741,818806,816056,883568,1067917,1355170,2468924
Latvia,Germany,491571,493979,618010,655879,699966,542044,769613,915474,872010,843923,851605,716095,819133,973754,1082015,975717,1066931,1291865,1269832,1206261
Latvia,Sweden,509080,484039,476735,767893,891206,740923,578028,798311,619927,609638,645361,593394,652428,723974,967594,969493,927481,1036758,1177139,1154201
Latvia,United Kingdom,1063041,1512214,2074326,1246767,748116,490835,659265,690299,541084,805651,661590,737271,911022,785317,1027119,967345,927111,1502901,1237163,1026459
Latvia,Denmark,225836,249690,307301,336138,475521,342833,310149,429255,472427,536941,512972,478078,483834,487653,624708,526710,616287,815637,910585,817638
Latvia,Poland,178157,266623,150130,247866,266121,186334,219836,326771,266464,298468,404003,341230,291391,375573,620019,407603,556770,624328,585681,801364
Latvia,Netherlands,109760,143156,191740,290538,297625,211984,227672,796545,777372,773004,650454,406563,510700,612847,641820,597865,712556,945030,877993,749063
Latvia,United States of America,393754,386166,316646,354749,242114,151863,205856,374815,256459,285779,286506,317789,350308,468008,744163,837327,546746,717523,800768,663201
Latvia,Finland,113156,162569,164896,292050,335945,203118,283525,625558,314798,302200,243408,184175,196036,227293,301053,307049,305162,362568,441071,555815
Latvia,Norway,149225,162039,192109,272933,284048,220022,257253,367465,488789,403389,502363,353475,334038,344861,381005,365015,339593,439942,486543,442952
Latvia,France,335489,389380,342343,234135,246029,128811,173154,177371,349298,230274,387735,237673,189341,209153,250363,227818,236355,315622,330949,342556
Latvia,Italy,70329,62612,81501,103828,118661,89393,125337,138933,137551,137241,146913,117602,135439,156295,179145,257602,182574,271166,323439,341914
Latvia,Spain,68477,90401,146403,244834,402580,125755,107305,176608,56006,61737,525975,98294,146588,151345,189177,145767,119602,185060,363847,324038
Latvia,Ukraine,59710,64521,90525,118588,113061,110145,88080,98472,100698,104177,89650,87091,112461,144251,152109,166467,158955,210303,236311,291249
Latvia,China,19813,8555,13722,21496,18010,26001,39062,63436,68827,99158,146910,144400,132147,177083,212840,195691,200395,239068,375372,266090
Latvia,Türkiye,1151,2622,8468,36311,24579,50465,71360,129787,160296,170589,171670,122832,202022,141081,165120,166667,155479,230857,237644,240602
Latvia,Czech Republic,17876,18892,25564,34985,41937,46877,39706,67237,69682,109995,100237,91784,116844,137467,130034,121317,101539,135459,148129,210907
