reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Liberia,Denmark,20,62961,8663
Liberia,Germany,429050,161354,446605
Liberia,Poland,94171,80122,112691
Liberia,United States of America,42558,47566,62020
Liberia,Greece,102850,34517,93123
Liberia,Belgium,2905,907,1915
Liberia,Thailand,1296,84,50771
Liberia,Norway,57563,50548,6899
Liberia,"Korea, Republic of",9171,1170,5332
Liberia,Türkiye,7430,19056,5927
Liberia,China,28787,55586,41955
Liberia,Angola,,,
Liberia,France,41774,103002,56471
Liberia,"Venezuela, Bolivarian Republic of",360,0,6627
Liberia,United Kingdom,5403,3835,11726
Liberia,Czech Republic,137,106,1303
Liberia,Bangladesh,24877,1062133,6392
Liberia,Italy,61351,52970,41160
Liberia,Canada,1096,1202,2517
Liberia,Netherlands,3673,1892,2587
Liberia,India,8445,38251,3192
Liberia,Viet Nam,117,450,61
Liberia,Slovenia,53,845,2497
Liberia,Côte d'Ivoire,2030,2958,1430
Liberia,Lithuania,130,17027,20
Liberia,Bulgaria,8,25,745
Liberia,Indonesia,127783,4570,57
Liberia,"Tanzania, United Republic of",0,1,1232
Liberia,Ireland,13,109,3
Liberia,South Africa,608,790,869
Liberia,Switzerland,219,473,456
Liberia,Russian Federation,40,8,1
Liberia,Armenia,74,0,655
Liberia,Morocco,1475,1655,1214
Liberia,Belarus,0,0,0
Liberia,Ukraine,1295,618,41
Liberia,Singapore,382,6,100
Liberia,Algeria,591,304,3586
Liberia,Spain,10323,9135,20712
Liberia,Uganda,7,0,0
Liberia,Latvia,3,0,141
Liberia,Portugal,1765,593,850
Liberia,Romania,150,111,3
Liberia,Dominican Republic,1,17,10
Liberia,Brazil,22,91,0
Liberia,Togo,165,173,94
Liberia,Malaysia,1478,75,1131
Liberia,Japan,123,59,22
Liberia,Austria,1152,2,82
Liberia,Egypt,0,334,30
Liberia,Guinea,78,15,
Liberia,"Hong Kong, China",240,2529,98
Liberia,Niger,0,16,6
Liberia,Suriname,35,,
Liberia,Madagascar,42,0,358
Liberia,Ghana,25598,,1708
Liberia,Kazakhstan,0,0,0
Liberia,Honduras,2224,10,1
Liberia,Albania,0,0,38
Liberia,Argentina,0,0,0
Liberia,New Zealand,1,0,0
Liberia,Pakistan,,,47
Liberia,Sri Lanka,0,25,0
Liberia,"Taipei, Chinese",20,66,3
Liberia,New Caledonia,40,8,16
Liberia,Bahamas,9,1,3
Liberia,Lebanon,80,413,424
Liberia,Chile,1,1,0
Liberia,Kuwait,0,65,153
Liberia,Sweden,10,0,20
Liberia,Colombia,39,7,0
Liberia,Saint Lucia,0,0,0
Liberia,Serbia and Montenegro,391,183,
Liberia,Australia,3,0,5
Liberia,Benin,109,31,23
Liberia,Gambia,19,12,12
Liberia,Malawi,0,0,0
Liberia,Yemen,,,
Liberia,Barbados,1,2,10
Liberia,Cyprus,0,62,0
Liberia,Burkina Faso,0,0,6
Liberia,Cameroon,365,0,0
Liberia,Cabo Verde,0,49,417
Liberia,Costa Rica,2,0,0
Liberia,Croatia,4550,14,4
Liberia,Ecuador,45,0,0
Liberia,El Salvador,0,0,3
Liberia,Ethiopia,6,1,0
Liberia,Estonia,3,0,0
Liberia,Finland,0,0,0
Liberia,Gabon,214,0,287
Liberia,Guyana,0,0,10
Liberia,Hungary,0,8,0
Liberia,Israel,0,3,11
Liberia,Jordan,0,45,26
Liberia,Kenya,0,0,0
Liberia,Malta,0,1,0
Liberia,Mauritius,0,0,633
Liberia,Mexico,65,106,0
Liberia,Oman,0,0,879
Liberia,Namibia,0,0,0
Liberia,Papua New Guinea,0,0,1
Liberia,Peru,6,1,0
Liberia,Philippines,0,10,35
Liberia,Qatar,0,0,4
Liberia,Saint Kitts and Nevis,18,0,0
Liberia,Saint Vincent and the Grenadines,0,0,1
Liberia,Saudi Arabia,0,0,75
Liberia,Senegal,3027,3081,3517
Liberia,Slovakia,38,0,0
Liberia,Syrian Arab Republic,0,0,337
Liberia,Trinidad and Tobago,30,1,30
Liberia,Tunisia,523,365,885
Liberia,Sierra Leone,,115,
Liberia,Nigeria,42,524,775
