reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Liberia,Switzerland,966,500,1150,614,568,1253,3824,2609,710,8168,1020,20187,105601,189906,245757,149619,101309,342628,544044,708308
Liberia,United Kingdom,10213,11588,12065,18378,9122,5367,7858,10965,5086,5197,1335,1606,5286,1101,97450,461,3780,25397,160308,297787
Liberia,France,12390,15739,19328,16472,20980,7324,8156,16427,38361,77374,65409,38481,24100,19179,58756,90338,150269,188542,158622,197242
Liberia,Germany,189404,362819,605854,129036,82296,366930,36856,26911,19214,60757,89881,18499,74003,488071,148519,76532,103057,171097,178454,154349
Liberia,Poland,143296,99164,198328,205457,134647,348004,223689,89008,154490,399848,134827,299545,203400,35586,71916,188789,76568,229170,140183,101201
Liberia,China,16519,14170,1928,3277,5936,3959,22483,41245,229945,164418,288449,181819,48522,28840,89245,123854,97344,23733,15004,86205
Liberia,United States of America,89328,97129,144436,118432,147595,84722,184388,161519,146148,98456,87367,47174,67802,95423,65353,70377,48193,80494,89758,66792
Liberia,Spain,227,167819,139031,650,2028,2687,79741,77510,105947,99422,46471,21062,7496,9767,17071,29812,33555,63708,62031,65694
Liberia,Thailand,51429,50570,52135,18,73,157,196,132,42739,370,34224,111,897,4145,2153,6349,5877,124427,14991,65173
Liberia,Netherlands,5768,5860,886,335,2299,4123,24157,9583,14474,15283,18680,31746,84847,35774,20109,26438,25055,21665,71100,48744
Liberia,Canada,6575,11075,17273,18472,20875,25594,37011,34108,34296,33140,32057,31817,30109,27695,23948,24013,18267,22625,24617,27618
Liberia,Malaysia,92,59304,11493,305240,9416,35038,12156,27066,38753,17321,14186,4034,14577,12343,14620,18145,17114,47054,63116,26810
Liberia,Türkiye,24468,11155,2376,977,3687,1133,7596,3003,24170,12041,14319,1897,8987,8660,13738,12573,100209,4050,9147,19834
Liberia,Cyprus,1,3,2,0,0,0,1,0,0,0,245686,202413,34155,17012,35879,62803,96919,76938,58390,18419
Liberia,Greece,79176,1034,9473,769,2806,98877,79050,90398,24910,494,83035,41073,22527,10654,37081,9724,114,197,361,10023
Liberia,Belgium,68287,453153,25525,30486,60334,11923,26539,19165,9316,10923,14928,13148,14790,14863,43512,15967,14722,30183,28020,9369
Liberia,Italy,7023,20464,12829,3763,12017,4308,3917,16726,8393,8163,4236,3254,28585,2178,4620,10394,14659,3340,4857,8111
Liberia,Bulgaria,2841,6734,24,117,59,10,2,95,1,2,3,5,298,3,0,4,3111,4322,3638,7826
Liberia,"Korea, Republic of",26371,7609,53751,599,21590,719,410,1275,1180,6483,8857,14917,949,9048,3575,20328,9449,8300,13649,6856
Liberia,Czech Republic,9818,12928,7877,4017,7378,1154,5313,10568,6273,34865,35213,12703,5039,15575,9122,25436,7796,5917,7318,3641
Liberia,South Africa,1361,691,168403,4207,21092,186230,1618,1482,2231,1068,123,279,49180,123,1960,68,437,945,13313,2326
Liberia,Singapore,236,2391,135,2276,703,147,980,1126,485,867,790,48,652,662,20,264,719,928,1036,1840
Liberia,Hungary,0,46,14,0,0,0,0,0,0,1,11,0,8,6,1,5,5,2,4,1677
Liberia,Romania,151,0,0,0,0,1,0,164,88,353,225,0,0,0,119,2079,1203,2374,4613,1313
Liberia,Finland,0,15,36,0,398,3051,7424,6692,1832,1260,726,201,2,145,1,0,0,0,2521,583
Liberia,Serbia,,,0,51,0,0,13,323,588,890,984,605,581,84,290,31,0,11,0,457
Liberia,Portugal,158,52,238,29,99,23,117,252,1343,355,833,62,125,130,145,232,394,383,469,447
