reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Luxembourg,Belgium,3739452,3892108,4772487
Luxembourg,Germany,2498512,2681301,3423906
Luxembourg,France,1498936,1640766,2010992
Luxembourg,Netherlands,670054,657995,914848
Luxembourg,China,38942,51298,311414
Luxembourg,Italy,481298,393113,472846
Luxembourg,United States of America,548567,480142,279108
Luxembourg,United Kingdom,396235,555723,461163
Luxembourg,"Taipei, Chinese",287838,639540,755984
Luxembourg,Austria,146458,131518,143883
Luxembourg,Switzerland,163318,119011,177783
Luxembourg,Spain,150621,140281,194139
Luxembourg,Japan,245653,119028,151337
Luxembourg,Ireland,81517,72254,119591
Luxembourg,Russian Federation,35628,55684,33230
Luxembourg,Czech Republic,61853,76058,95809
Luxembourg,Canada,55261,54798,165179
Luxembourg,Poland,29432,42166,47378
Luxembourg,"Hong Kong, China",0,0,44261
Luxembourg,Finland,35207,35864,47617
Luxembourg,Sweden,22779,33884,58027
Luxembourg,Norway,36724,25012,28451
Luxembourg,Denmark,119984,148464,46009
Luxembourg,Slovenia,2600,7442,29878
Luxembourg,Hungary,17430,19535,39786
Luxembourg,Portugal,25615,24233,28406
Luxembourg,Mexico,5020,1735,4024
Luxembourg,Singapore,17301,16358,28866
Luxembourg,Slovakia,39522,17051,50808
Luxembourg,Thailand,7540,15121,20244
Luxembourg,Türkiye,0,16495,12706
Luxembourg,Ethiopia,0,0,0
Luxembourg,Azerbaijan,0,4538,7731
Luxembourg,India,5379,7943,13278
Luxembourg,Brazil,65852,3713,3752
Luxembourg,Indonesia,9919,10959,9301
Luxembourg,"Korea, Republic of",5230,152170,5997
Luxembourg,Greece,4816,1860,6071
Luxembourg,Bosnia and Herzegovina,,,10201
Luxembourg,Malaysia,4546,6649,7643
Luxembourg,Israel,3875,3538,4257
Luxembourg,Tunisia,3235,3649,4884
Luxembourg,Ukraine,569,4229,6766
Luxembourg,South Africa,4037,8516,2218
Luxembourg,Belarus,3353,3247,4966
Luxembourg,Romania,1240,6874,6104
Luxembourg,Cambodia,1624,1817,3065
Luxembourg,"Iran, Islamic Republic of",4851,6009,2848
Luxembourg,Iceland,567,696,709
Luxembourg,Uganda,0,1095,2146
Luxembourg,Bulgaria,5777,2802,1654
Luxembourg,Philippines,138,5617,1660
Luxembourg,Zimbabwe,0,920,1770
Luxembourg,Pakistan,,,572
Luxembourg,Kyrgyzstan,2,7,668
Luxembourg,Argentina,3786,899,462
Luxembourg,Serbia and Montenegro,372,427,
Luxembourg,Armenia,0,333,1147
Luxembourg,Chile,1010,125,1515
Luxembourg,Croatia,648,296,204
Luxembourg,Estonia,269,1311,1132
Luxembourg,Saudi Arabia,81,0,384
Luxembourg,Lithuania,416,463,914
Luxembourg,Faroe Islands,46,193,200
Luxembourg,Australia,0,0,104
Luxembourg,New Zealand,171,196,198
Luxembourg,Latvia,513,69,277
Luxembourg,Colombia,3,1,116
Luxembourg,Ecuador,187,280,368
Luxembourg,Kuwait,0,0,0
Luxembourg,Egypt,720,45,289
Luxembourg,Madagascar,17,1,107
Luxembourg,Georgia,1,0,0
Luxembourg,Viet Nam,140,322,22
Luxembourg,Ghana,941,,123
Luxembourg,Malta,34,18,30
Luxembourg,Guyana,0,2,0
Luxembourg,Bahrain,0,0,0
Luxembourg,Peru,94,127,21
Luxembourg,Lebanon,157,12,79
Luxembourg,Mauritius,306,226,243
Luxembourg,Malawi,0,2,409
Luxembourg,Algeria,0,0,0
Luxembourg,Benin,0,8,0
Luxembourg,Kenya,40,28,0
Luxembourg,Cyprus,2,4,1
Luxembourg,French Polynesia,41,21,24
Luxembourg,"Macao, China",4,0,52
Luxembourg,Namibia,12,5,14
Luxembourg,Jordan,3,2,2
Luxembourg,Mongolia,0,,26
Luxembourg,Sri Lanka,108,32,11
Luxembourg,Kazakhstan,0,2,1
Luxembourg,Nicaragua,0,0,11
Luxembourg,Cameroon,0,0,1
Luxembourg,Trinidad and Tobago,302,2,2
Luxembourg,Albania,0,0,3
Luxembourg,Andorra,0,37,7
Luxembourg,Bangladesh,155,0,0
Luxembourg,Barbados,7,34,2
Luxembourg,Botswana,0,1,0
Luxembourg,Cabo Verde,1,0,0
Luxembourg,Cuba,1,62,0
Luxembourg,Dominican Republic,0,0,0
Luxembourg,"Moldova, Republic of",0,3,2
Luxembourg,Syrian Arab Republic,0,0,14
Luxembourg,"Macedonia, North",2574,219,619
Luxembourg,"Tanzania, United Republic of",0,0,0
Luxembourg,Uruguay,479,101,0
Luxembourg,"Venezuela, Bolivarian Republic of",629,4,4
Luxembourg,Zambia,2,0,8
Luxembourg,Nepal,,,97
