reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
"Macao SAR, China",United States of America,1225130,1307529,1430304
"Macao SAR, China",Germany,239390,236499,253362
"Macao SAR, China","Hong Kong, China",149052,201489,201063
"Macao SAR, China",United Kingdom,240048,208351,214276
"Macao SAR, China",China,119120,142267,185543
"Macao SAR, China",France,124488,108630,128997
"Macao SAR, China",Italy,35719,35571,68476
"Macao SAR, China",Netherlands,58665,58759,60075
"Macao SAR, China",Canada,51346,58356,62068
"Macao SAR, China",Denmark,26823,28909,33931
"Macao SAR, China",Spain,27468,26949,38665
"Macao SAR, China","Taipei, Chinese",45649,30164,28565
"Macao SAR, China",Japan,21594,19955,26626
"Macao SAR, China",Belgium,15445,14808,17773
"Macao SAR, China",Austria,15782,17218,18464
"Macao SAR, China",Norway,5978,4988,6042
"Macao SAR, China",Mexico,13034,12394,9901
"Macao SAR, China",Singapore,7776,5196,5192
"Macao SAR, China",Greece,4111,4693,8454
"Macao SAR, China",Malaysia,982,1502,2459
"Macao SAR, China",Brazil,2463,3593,7182
"Macao SAR, China",Czech Republic,1574,2299,2514
"Macao SAR, China",Finland,5942,5916,6370
"Macao SAR, China",Sweden,3388,4593,5754
"Macao SAR, China",Poland,2099,2169,3079
"Macao SAR, China",Australia,3795,3905,4530
"Macao SAR, China",Türkiye,1887,3237,5367
"Macao SAR, China",Switzerland,4780,3658,5097
"Macao SAR, China",Ireland,5455,6611,5876
"Macao SAR, China","Korea, Republic of",2495,5466,4928
"Macao SAR, China",Thailand,1183,1619,2423
"Macao SAR, China",Portugal,6758,3829,2401
"Macao SAR, China",Kuwait,1755,1571,2457
"Macao SAR, China",New Zealand,1313,1338,1695
"Macao SAR, China",Estonia,618,1171,1305
"Macao SAR, China",South Africa,963,284,706
"Macao SAR, China",Croatia,239,437,727
"Macao SAR, China",Pakistan,,,1069
"Macao SAR, China",Slovenia,571,641,760
"Macao SAR, China",Slovakia,211,385,564
"Macao SAR, China",Indonesia,214,130,499
"Macao SAR, China",Cambodia,402,276,425
"Macao SAR, China",Hungary,1556,1554,2725
"Macao SAR, China",Lebanon,656,620,749
"Macao SAR, China",Viet Nam,471,51,143
"Macao SAR, China",Bangladesh,328,204,326
"Macao SAR, China",Cyprus,532,593,757
"Macao SAR, China",Iceland,524,332,292
"Macao SAR, China",Latvia,110,148,273
"Macao SAR, China",Peru,200,317,172
"Macao SAR, China",Romania,44,51,100
"Macao SAR, China",Serbia and Montenegro,20,71,
"Macao SAR, China",Saudi Arabia,367,250,358
"Macao SAR, China",Russian Federation,64,104,202
"Macao SAR, China",Philippines,148,144,195
"Macao SAR, China",Angola,,,
"Macao SAR, China",Bulgaria,18,12,58
"Macao SAR, China",Faroe Islands,68,110,155
"Macao SAR, China",Colombia,318,138,86
"Macao SAR, China",Andorra,265,457,335
"Macao SAR, China",New Caledonia,47,30,64
"Macao SAR, China",Mauritius,119,223,53
"Macao SAR, China",Sri Lanka,14,193,88
"Macao SAR, China",Ukraine,41,83,124
"Macao SAR, China",Oman,8,71,0
"Macao SAR, China",Egypt,73,29,170
"Macao SAR, China",India,150,8819,7680
"Macao SAR, China",Tunisia,26,33,28
"Macao SAR, China",Bosnia and Herzegovina,,,74
"Macao SAR, China",Israel,173,46,23
"Macao SAR, China",Bahrain,356,86,55
"Macao SAR, China",Ecuador,0,0,47
"Macao SAR, China",French Polynesia,15,39,83
"Macao SAR, China",Malta,120,187,202
"Macao SAR, China",Albania,9,6,0
"Macao SAR, China",Morocco,0,0,41
"Macao SAR, China",Argentina,3002,358,76
"Macao SAR, China",Belarus,0,2,4
"Macao SAR, China",Uruguay,17,6,40
"Macao SAR, China",Nicaragua,6,13,15
"Macao SAR, China","Macedonia, North",3,4,1
"Macao SAR, China",Timor-Leste,,,
"Macao SAR, China",Saint Lucia,1,1,0
"Macao SAR, China","Micronesia, Federated States of",,0,9
"Macao SAR, China","Bolivia, Plurinational State of",0,0,0
"Macao SAR, China",Costa Rica,8,2,37
"Macao SAR, China",Mayotte,1,1,5
