reporter,partners,Imported value in 2001,Imported value in 2002,Imported value in 2003
"Macao SAR, China",China,742357,876121,1280086
"Macao SAR, China","Hong Kong, China",1156893,1058496,1119426
"Macao SAR, China","Taipei, Chinese",276193,277630,287855
"Macao SAR, China",Japan,91260,92216,87734
"Macao SAR, China",United States of America,70136,78939,54535
"Macao SAR, China",Germany,54892,232672,237722
"Macao SAR, China","Korea, Republic of",52351,40331,32851
"Macao SAR, China",Australia,19330,21504,28034
"Macao SAR, China",United Kingdom,28395,18936,23708
"Macao SAR, China",Canada,1417,1215,2585
"Macao SAR, China",Mexico,4876,4981,12
"Macao SAR, China",Italy,21352,15562,18433
"Macao SAR, China",France,10232,13226,14254
"Macao SAR, China",Singapore,24251,17486,20555
"Macao SAR, China",Portugal,11350,10856,11620
"Macao SAR, China",Sweden,3396,2236,1891
"Macao SAR, China",Indonesia,3591,2468,7559
"Macao SAR, China",Spain,12492,7893,4038
"Macao SAR, China",Malaysia,3852,4162,3213
"Macao SAR, China",Denmark,2060,1635,5419
"Macao SAR, China",Austria,890,1764,3266
"Macao SAR, China",Thailand,6658,4628,4935
"Macao SAR, China",Switzerland,2649,3484,5628
"Macao SAR, China",Netherlands,1128,1333,1624
"Macao SAR, China",Philippines,955,2343,1460
"Macao SAR, China",Egypt,0,0,0
"Macao SAR, China",Viet Nam,556,475,878
"Macao SAR, China",South Africa,4549,7072,9725
"Macao SAR, China",India,1335,3090,4131
"Macao SAR, China",New Zealand,2942,5095,3571
"Macao SAR, China",Norway,721,434,587
"Macao SAR, China",Belgium,1706,1258,495
"Macao SAR, China",Sri Lanka,432,396,735
"Macao SAR, China",Russian Federation,0,74,462
"Macao SAR, China",Türkiye,1594,2195,1276
"Macao SAR, China",Finland,990,2782,1683
"Macao SAR, China",Pakistan,,,582
"Macao SAR, China",Uruguay,153,194,506
"Macao SAR, China",Greece,809,213,310
"Macao SAR, China",Ireland,524,1609,1794
"Macao SAR, China",Hungary,72,49,139
"Macao SAR, China",Brazil,176,303,202
"Macao SAR, China",Kenya,0,0,88
"Macao SAR, China",Malta,0,459,2
"Macao SAR, China",Poland,176,309,58
"Macao SAR, China",Mauritius,9,0,0
"Macao SAR, China",Israel,1080,263,906
"Macao SAR, China",Colombia,79,96,100
"Macao SAR, China",Czech Republic,326,3895,212
"Macao SAR, China",Ethiopia,29,0,28
"Macao SAR, China",Bulgaria,0,2,0
"Macao SAR, China",Argentina,0,0,0
"Macao SAR, China",Romania,0,28,10
"Macao SAR, China",Morocco,6,28,0
"Macao SAR, China",Cyprus,22,25,92
"Macao SAR, China",Slovakia,0,0,12
"Macao SAR, China",Cuba,0,0,3
"Macao SAR, China",Slovenia,72,60,19
"Macao SAR, China","Iran, Islamic Republic of",0,0,53
"Macao SAR, China",Senegal,0,0,0
"Macao SAR, China",Tunisia,0,0,100
"Macao SAR, China","Tanzania, United Republic of",27,37,312
"Macao SAR, China",Togo,0,6,4
"Macao SAR, China",Peru,4,41,430
"Macao SAR, China",Luxembourg,115,1,2
"Macao SAR, China",Trinidad and Tobago,0,0,6
"Macao SAR, China",Jamaica,0,0,4
"Macao SAR, China",Bangladesh,13,80,0
"Macao SAR, China",Bahrain,0,55,45
"Macao SAR, China",Serbia and Montenegro,0,0,
"Macao SAR, China",Botswana,0,0,0
"Macao SAR, China",Cambodia,2,13,0
"Macao SAR, China",Guinea,23,0,
"Macao SAR, China",Barbados,1,0,0
"Macao SAR, China",Brunei Darussalam,86,6,0
"Macao SAR, China",Ecuador,2,0,0
"Macao SAR, China",Côte d'Ivoire,8,0,0
"Macao SAR, China",Kuwait,0,96,1
"Macao SAR, China",Lebanon,4,9,0
"Macao SAR, China",Malawi,0,0,140
"Macao SAR, China",Oman,0,12,0
"Macao SAR, China",Saint Lucia,0,0,0
"Macao SAR, China",Saudi Arabia,338,38,0
"Macao SAR, China",Zimbabwe,0,1,0
"Macao SAR, China",Zambia,0,43,0
