reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Madagascar,France,250134,165464,270889
Madagascar,China,72864,40204,111695
Madagascar,Eswatini,5906,0,0
Madagascar,"Hong Kong, China",86367,30227,86153
Madagascar,Mauritius,121046,68450,73332
Madagascar,South Africa,53931,39243,99249
Madagascar,Belgium,32485,26641,52579
Madagascar,Singapore,36765,28217,39783
Madagascar,United States of America,20962,15399,46252
Madagascar,India,13001,12898,32978
Madagascar,Germany,28103,15640,27295
Madagascar,"Taipei, Chinese",16082,11075,25404
Madagascar,Thailand,4726,3717,11468
Madagascar,Italy,29835,13092,27635
Madagascar,Japan,20680,9882,19546
Madagascar,Spain,12177,14101,22773
Madagascar,Argentina,3770,3851,4464
Madagascar,United Kingdom,9579,4551,9866
Madagascar,Pakistan,,,19375
Madagascar,"Korea, Republic of",12828,4937,13148
Madagascar,Brazil,7176,3289,7358
Madagascar,Türkiye,2768,4084,5419
Madagascar,Indonesia,19004,14276,14691
Madagascar,Malaysia,7330,8143,7114
Madagascar,Netherlands,12009,3713,11431
Madagascar,Australia,3364,3045,7143
Madagascar,Greece,608,4005,4630
Madagascar,Denmark,3645,2712,5612
Madagascar,Oman,17,0,3866
Madagascar,Kenya,258,7295,6749
Madagascar,Sri Lanka,1566,1877,5170
Madagascar,Portugal,2860,851,1613
Madagascar,Switzerland,2709,1253,2474
Madagascar,"Iran, Islamic Republic of",454,112,709
Madagascar,Egypt,1459,1119,4211
Madagascar,Sweden,1549,1247,4563
Madagascar,Viet Nam,2653,420,936
Madagascar,"Tanzania, United Republic of",674,696,1544
Madagascar,Luxembourg,591,356,714
Madagascar,New Zealand,2259,333,744
Madagascar,Malawi,2,890,4735
Madagascar,Poland,140,69,89
Madagascar,Côte d'Ivoire,396,412,503
Madagascar,Morocco,1011,1859,1218
Madagascar,Finland,712,65,645
Madagascar,Canada,824,1360,1807
Madagascar,Israel,1080,1934,1040
Madagascar,Tunisia,1676,798,913
Madagascar,Qatar,23074,271,432
Madagascar,Ethiopia,0,0,0
Madagascar,Romania,208,243,47
Madagascar,Czech Republic,205,183,362
Madagascar,Peru,539,302,356
Madagascar,Austria,926,778,3810
Madagascar,Senegal,16,203,661
Madagascar,Norway,143,71,175
Madagascar,Cambodia,11,1,46
Madagascar,Bangladesh,73,110,261
Madagascar,Burkina Faso,6,19,343
Madagascar,Mayotte,148,160,211
Madagascar,Slovenia,62,82,54
Madagascar,Colombia,387,36,9
Madagascar,Estonia,0,8,0
Madagascar,Hungary,58,40,98
Madagascar,Saudi Arabia,2561,31,0
Madagascar,Jamaica,0,0,0
Madagascar,Ecuador,185,72,114
Madagascar,Guinea,0,20,
Madagascar,Benin,0,0,412
Madagascar,Slovakia,32,14,18
Madagascar,Botswana,0,0,14
Madagascar,Cameroon,0,0,98
Madagascar,Mali,3,0,0
Madagascar,Philippines,555,18,574
Madagascar,Zimbabwe,0,433,42
Madagascar,Russian Federation,783,81,184
Madagascar,Ukraine,322,1562,0
Madagascar,Yemen,,,
Madagascar,Bulgaria,2,12,0
Madagascar,Ireland,78,27,246
Madagascar,Gabon,85,19,8
Madagascar,Latvia,0,0,45
Madagascar,French Polynesia,17,13,0
Madagascar,Sudan (before 2012),0,40,10
Madagascar,Cyprus,0,0,9
Madagascar,Rwanda,14,0,0
Madagascar,Iceland,3,12,9
Madagascar,Lithuania,23,12,0
Madagascar,Chile,27,7,0
Madagascar,Bosnia and Herzegovina,,,0
Madagascar,Fiji,,0,42
Madagascar,Lebanon,174,37,33
Madagascar,Kuwait,163,7,0
Madagascar,Comoros,60,121,60
Madagascar,Honduras,0,0,0
Madagascar,Jordan,2,0,52
Madagascar,Malta,0,439,265
Madagascar,Uganda,0,2,1
Madagascar,Mozambique,17,0,47
Madagascar,Ghana,3,,49
Madagascar,Algeria,8,0,0
Madagascar,Bahrain,0,69,111
Madagascar,"Bolivia, Plurinational State of",0,38,0
Madagascar,Belarus,85,0,73
Madagascar,Croatia,0,0,0
Madagascar,Guatemala,4,0,0
Madagascar,Guyana,0,6,7
Madagascar,Mexico,306,36,3
Madagascar,Namibia,33,4,13
Madagascar,New Caledonia,0,0,52
Madagascar,Niger,3,0,238
Madagascar,Paraguay,44,46,34
Madagascar,Seychelles,3553,2623,152
Madagascar,Syrian Arab Republic,0,0,33
Madagascar,Togo,20,18,0
Madagascar,Trinidad and Tobago,2,0,0
Madagascar,Uruguay,1,2,0
Madagascar,"Venezuela, Bolivarian Republic of",0,0,13
Madagascar,Nepal,,,24
