reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Malawi,South Africa,38450,45737,50328
Malawi,United States of America,77925,77132,82076
Malawi,Germany,61461,62227,69509
Malawi,United Kingdom,31273,34008,38047
Malawi,Mozambique,583,4803,19193
Malawi,Egypt,25342,33935,31123
Malawi,Türkiye,3508,2040,8116
Malawi,Netherlands,29113,23886,26118
Malawi,Russian Federation,11369,21264,22314
Malawi,Belgium,4381,8539,10011
Malawi,Japan,36172,25814,26780
Malawi,Zimbabwe,1541,3381,3050
Malawi,Poland,10674,19899,3174
Malawi,Ukraine,7588,5503,7261
Malawi,Italy,4839,2000,9000
Malawi,Zambia,3316,3813,10690
Malawi,France,12670,10029,8161
Malawi,Greece,1724,3733,5277
Malawi,India,1713,1487,2665
Malawi,Czech Republic,3305,2445,4178
Malawi,Denmark,3153,3229,3165
Malawi,Mexico,6422,3921,4753
Malawi,Croatia,4754,4172,4355
Malawi,Spain,9596,6771,9487
Malawi,Switzerland,4344,5602,7302
Malawi,Madagascar,0,290,2435
Malawi,Austria,3822,1687,7739
Malawi,Brazil,1829,1,2618
Malawi,"Tanzania, United Republic of",2062,1463,1417
Malawi,Malaysia,1120,2970,749
Malawi,Portugal,11376,10824,29459
Malawi,"Taipei, Chinese",3389,1595,1480
Malawi,New Zealand,1943,2189,3235
Malawi,Morocco,920,2665,1569
Malawi,Pakistan,,,1288
Malawi,Bangladesh,187,335,0
Malawi,"Korea, Republic of",0,65,674
Malawi,Hungary,7005,4666,4890
Malawi,Algeria,1105,3120,1479
Malawi,Kazakhstan,251,406,541
Malawi,Canada,1404,1073,1105
Malawi,Argentina,1449,1088,1304
Malawi,Romania,2985,1543,2007
Malawi,Philippines,3123,7081,1164
Malawi,Australia,6196,4493,6310
Malawi,Uganda,186,4,302
Malawi,Thailand,251,11,14
Malawi,Rwanda,0,5,0
Malawi,Botswana,706,1156,458
Malawi,Jordan,1868,1880,2531
Malawi,Ireland,851,848,1057
Malawi,Serbia and Montenegro,0,13,
Malawi,Indonesia,87,142,34
Malawi,Senegal,110,117,183
Malawi,"Iran, Islamic Republic of",0,0,0
Malawi,Finland,1051,555,443
Malawi,Mauritius,1054,45,186
Malawi,Slovakia,352,464,722
Malawi,Costa Rica,267,0,250
Malawi,Viet Nam,19,0,28
Malawi,Fiji,,172,174
Malawi,"Hong Kong, China",98,212,209
Malawi,Tunisia,730,67,270
Malawi,Norway,275,198,241
Malawi,Sweden,1161,1058,357
Malawi,Gambia,31,2,8
Malawi,Dominican Republic,251,0,129
Malawi,Lithuania,976,842,745
Malawi,"Macedonia, North",286,420,220
Malawi,Slovenia,718,946,927
Malawi,Peru,359,251,0
Malawi,Bulgaria,233,144,67
Malawi,Burundi,0,0,0
Malawi,Cambodia,0,0,0
Malawi,Cameroon,29,50,0
Malawi,China,403,605,9
Malawi,Côte d'Ivoire,2,25,61
Malawi,Brunei Darussalam,1,0,3
Malawi,Albania,0,0,0
Malawi,Namibia,29,40,12
Malawi,"Macao, China",0,0,0
Malawi,Israel,0,0,20
Malawi,Cuba,0,0,0
Malawi,Kyrgyzstan,207,33,40
Malawi,Burkina Faso,0,0,0
Malawi,Barbados,24,23,22
Malawi,Sudan (before 2012),0,4,0
Malawi,Grenada,0,1,4
Malawi,Mali,0,0,0
Malawi,Belarus,264,20,0
Malawi,El Salvador,10,0,0
Malawi,Lebanon,0,1,0
Malawi,Faroe Islands,2,0,1
Malawi,Benin,144,0,0
Malawi,Ethiopia,5,3,6
Malawi,Kuwait,0,0,295
Malawi,Saint Lucia,0,1,1
Malawi,Saint Vincent and the Grenadines,7,6,1
Malawi,Bosnia and Herzegovina,,,967
Malawi,Ghana,178,,87
Malawi,Azerbaijan,0,85,7
Malawi,Bahrain,0,5,6
Malawi,"Bolivia, Plurinational State of",3,0,0
Malawi,Solomon Islands,0,116,0
Malawi,Cabo Verde,0,0,34
Malawi,Sri Lanka,12,0,1
Malawi,Chile,8,0,0
Malawi,Colombia,4,0,0
Malawi,Cyprus,31,41,9
Malawi,Ecuador,0,0,54
Malawi,French Polynesia,0,1,0
Malawi,Gabon,59,0,9
Malawi,Georgia,301,332,0
Malawi,Guatemala,180,0,0
Malawi,Iceland,1,9,1
Malawi,Jamaica,0,5,0
Malawi,Kenya,13592,8085,12316
Malawi,Latvia,76,176,93
Malawi,Luxembourg,0,1,1011
Malawi,Malta,3,0,8
Malawi,Mauritania,0,0,4
Malawi,"Moldova, Republic of",16,31,0
Malawi,Oman,20,0,0
Malawi,Nicaragua,80,1,0
Malawi,Papua New Guinea,176,0,1
Malawi,Saint Kitts and Nevis,0,0,2
Malawi,Saudi Arabia,0,0,109
Malawi,Seychelles,0,44,26
Malawi,Singapore,834,606,0
Malawi,Eswatini,0,1827,296
Malawi,Trinidad and Tobago,72,48,0
Malawi,"Venezuela, Bolivarian Republic of",11,79,0
Malawi,Nepal,,,1
Malawi,Sierra Leone,,103,
Malawi,Nigeria,6,252,176
