reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Malaysia,United States of America,22340350,24732453,26193456
Malaysia,Singapore,20092955,21213535,21547940
Malaysia,China,6203976,9296295,13986408
Malaysia,Japan,12857502,11203934,12603694
Malaysia,"Hong Kong, China",5027727,5097305,5737919
Malaysia,"Korea, Republic of",4125990,4041432,4249132
Malaysia,Thailand,3077179,3642937,4536794
Malaysia,"Taipei, Chinese",4213671,4169917,4756350
Malaysia,Germany,3167067,3237282,3959083
Malaysia,United Kingdom,3682567,3157120,3732770
Malaysia,Netherlands,3311509,3477951,4205772
Malaysia,Australia,2120765,2221991,2951506
Malaysia,Mexico,2005996,1992865,2760368
Malaysia,India,1152337,1330504,1894285
Malaysia,Philippines,1130809,1575390,1577783
Malaysia,Canada,1227048,1287493,1629007
Malaysia,France,1766835,1902096,1840211
Malaysia,Indonesia,1005464,1037400,1138189
Malaysia,Viet Nam,464387,683313,924981
Malaysia,Malaysia,0,0,0
Malaysia,Spain,503640,548522,651114
Malaysia,Italy,583182,537592,642322
Malaysia,Türkiye,239370,244941,390654
Malaysia,Hungary,477563,612931,705564
Malaysia,Pakistan,,,601245
Malaysia,South Africa,286382,345954,401171
Malaysia,Belgium,619792,518920,585752
Malaysia,Ireland,521619,637900,530154
Malaysia,Czech Republic,317921,478210,661829
Malaysia,New Zealand,406860,393474,423209
Malaysia,Brazil,365947,377040,462919
Malaysia,Saudi Arabia,287128,280453,399771
Malaysia,Poland,252170,263739,334528
Malaysia,Russian Federation,161537,230058,300300
Malaysia,Bangladesh,229618,274176,400179
Malaysia,Finland,231854,226527,244240
Malaysia,Sri Lanka,207962,204334,270499
Malaysia,"Iran, Islamic Republic of",145896,190367,226062
Malaysia,Brunei Darussalam,228880,224640,251714
Malaysia,Egypt,111792,130314,72803
Malaysia,Austria,519064,448029,265528
Malaysia,Denmark,181141,173214,199009
Malaysia,Switzerland,146512,157924,205823
Malaysia,Sweden,183777,173948,205156
Malaysia,Norway,131332,161422,180688
Malaysia,Kuwait,105685,121322,135533
Malaysia,Algeria,36610,66377,102887
Malaysia,Slovakia,72014,82154,95223
Malaysia,Argentina,142627,42804,84619
Malaysia,Azerbaijan,2396,4206,100283
Malaysia,Romania,46141,60102,83077
Malaysia,Chile,104019,91946,107373
Malaysia,Greece,97538,80127,104439
Malaysia,Jordan,48099,52156,69038
Malaysia,Peru,33427,46711,57367
Malaysia,Malta,0,0,0
Malaysia,Portugal,62431,58732,77846
Malaysia,Ukraine,44640,29738,42345
Malaysia,Oman,80992,72461,2661
Malaysia,Mauritius,58662,61447,72636
Malaysia,Colombia,33210,34865,61915
Malaysia,Yemen,,,
Malaysia,Cambodia,57568,58229,78265
Malaysia,Lebanon,73619,53402,54365
Malaysia,Uganda,23161,32058,42062
Malaysia,Estonia,34565,38476,54427
Malaysia,Sudan (before 2012),25092,16905,43988
Malaysia,Bahrain,39392,46149,50102
Malaysia,Maldives,34405,20321,36170
Malaysia,Tunisia,24082,20039,28778
Malaysia,Slovenia,29491,32334,38300
Malaysia,Croatia,33908,41601,44241
Malaysia,Serbia and Montenegro,11344,20350,
Malaysia,Ecuador,10869,6578,38178
Malaysia,Morocco,25628,24735,37653
Malaysia,Qatar,51214,59111,59139
Malaysia,Papua New Guinea,24486,25782,33490
Malaysia,"Venezuela, Bolivarian Republic of",16586,10066,9383
Malaysia,Israel,26553,17306,25948
Malaysia,Bulgaria,12397,18665,21084
Malaysia,"Macao, China",22860,27313,30624
Malaysia,Lithuania,20544,28168,40654
Malaysia,Madagascar,10977,8476,16890
Malaysia,Ethiopia,21132,13878,29124
Malaysia,Kazakhstan,10487,10190,33662
Malaysia,Costa Rica,5379,4857,7342
Malaysia,Ghana,10947,,19914
Malaysia,"Tanzania, United Republic of",18191,12689,17868
Malaysia,Belarus,6584,5781,5745
Malaysia,Cyprus,17169,15124,16092
Malaysia,Fiji,,11969,17225
Malaysia,Angola,,,
Malaysia,Honduras,2290,2329,7397
Malaysia,Zimbabwe,17487,7849,2986
Malaysia,Paraguay,10153,8264,7842
Malaysia,French Polynesia,5037,7644,6477
Malaysia,Côte d'Ivoire,6712,5553,20961
Malaysia,Mozambique,4194,5045,18322
Malaysia,Iceland,4981,6684,8714
Malaysia,Nicaragua,1178,4941,5820
Malaysia,Guatemala,3414,5636,5013
Malaysia,Cuba,11536,9409,9953
Malaysia,Trinidad and Tobago,4428,5832,5573
Malaysia,Senegal,2546,3628,6947
Malaysia,Jamaica,5144,7809,9161
Malaysia,Benin,1885,2936,12476
Malaysia,Guinea,2682,630,
Malaysia,Togo,3108,2180,7227
Malaysia,El Salvador,3547,3460,5048
Malaysia,Cameroon,3539,3820,8577
Malaysia,New Caledonia,3853,4070,4205
Malaysia,Seychelles,4618,7885,4027
Malaysia,"Macedonia, North",3246,1873,3370
Malaysia,Mongolia,2647,,4681
Malaysia,Barbados,2224,2757,2419
Malaysia,Luxembourg,3771,1530,4507
Malaysia,Solomon Islands,1812,1310,1789
Malaysia,Uruguay,5772,2727,2534
Malaysia,Panama,911,1404,1797
Malaysia,Guyana,938,969,707
Malaysia,Botswana,1595,3503,4211
Malaysia,Andorra,3578,4353,3013
Malaysia,Dominican Republic,1322,3858,2635
Malaysia,Malawi,4317,1571,2468
Malaysia,"Moldova, Republic of",768,2049,1489
Malaysia,Niger,402,512,2154
Malaysia,Burkina Faso,1221,4005,1883
Malaysia,Latvia,1649,1126,1204
Malaysia,Samoa,410,467,660
Malaysia,Bosnia and Herzegovina,,,1940
Malaysia,Zambia,8273,2344,2820
Malaysia,"Bolivia, Plurinational State of",2078,1479,1576
Malaysia,Mali,870,353,2255
Malaysia,Albania,2320,273,320
Malaysia,Faroe Islands,909,995,973
Malaysia,Mauritania,965,243,881
Malaysia,Rwanda,1808,1994,212
Malaysia,Gabon,670,0,948
Malaysia,Armenia,458,630,622
Malaysia,Mayotte,1234,979,902
Malaysia,Kyrgyzstan,379,651,229
Malaysia,Namibia,13399,2402,7154
Malaysia,Belize,320,506,714
Malaysia,Timor-Leste,,,
Malaysia,Suriname,174,,
Malaysia,Burundi,252,415,169
Malaysia,Saint Lucia,188,240,264
Malaysia,Grenada,127,191,377
Malaysia,Georgia,52,3,98
Malaysia,Cabo Verde,105,231,375
Malaysia,Saint Vincent and the Grenadines,209,134,144
Malaysia,Saint Kitts and Nevis,50,67,157
Malaysia,Dominica,228,504,86
Malaysia,Gambia,26,0,0
Malaysia,"Micronesia, Federated States of",,0,20
Malaysia,Montserrat,4,4,36
Malaysia,Comoros,63,440,25
Malaysia,Bahamas,0,0,0
Malaysia,Greenland,0,0,340
Malaysia,Kenya,26094,14327,15285
Malaysia,Eswatini,0,931,1
Malaysia,Syrian Arab Republic,313252,288053,467417
Malaysia,Nepal,,,59590
Malaysia,Eritrea,,,1509
Malaysia,Sierra Leone,,3972,
Malaysia,Tuvalu,,38,
Malaysia,Central African Republic,50,105,45
Malaysia,Lesotho,257,4375,2815
Malaysia,Nigeria,9849,13615,12154
Malaysia,Tonga,146,247,68
