reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Malaysia,Singapore,21120879,21805453,22780449
Malaysia,Japan,11011980,11017115,11263964
Malaysia,United States of America,9357686,10343654,10914062
Malaysia,China,3221098,4974207,6140889
Malaysia,Thailand,2722699,2833118,3876719
Malaysia,"Korea, Republic of",2628036,3218301,3851761
Malaysia,"Taipei, Chinese",3061346,3135179,3041625
Malaysia,Germany,2222747,2397479,3612316
Malaysia,Indonesia,1778626,2029947,2363850
Malaysia,"Hong Kong, China",1633320,2086562,2015524
Malaysia,Philippines,1111663,1652611,2462575
Malaysia,United Kingdom,1488582,1324499,1718752
Malaysia,Australia,1339130,1247859,1354816
Malaysia,Italy,989812,852222,984941
Malaysia,India,788125,742787,793087
Malaysia,France,869159,757760,797466
Malaysia,Viet Nam,337224,347751,453839
Malaysia,Switzerland,488300,385934,381923
Malaysia,Netherlands,425712,428254,441005
Malaysia,Ireland,1021316,723369,653697
Malaysia,Sweden,442534,382488,301010
Malaysia,Canada,222582,313130,345815
Malaysia,New Zealand,293298,274669,317458
Malaysia,Belgium,255872,266294,305018
Malaysia,Brazil,167217,281513,225397
Malaysia,Argentina,293528,218218,216180
Malaysia,South Africa,155125,166026,226726
Malaysia,Austria,92468,87465,93465
Malaysia,Israel,615924,289645,276792
Malaysia,Spain,153515,161712,191652
Malaysia,Finland,146787,119606,117137
Malaysia,Portugal,18087,50034,31954
Malaysia,Costa Rica,154967,123459,206378
Malaysia,Chile,32738,21855,49922
Malaysia,Russian Federation,269283,347639,425080
Malaysia,Denmark,98654,92898,93715
Malaysia,Pakistan,,,93960
Malaysia,Brunei Darussalam,23030,129408,152708
Malaysia,Norway,56400,46915,48336
Malaysia,Poland,31109,38824,39367
Malaysia,Türkiye,35281,152298,227270
Malaysia,Côte d'Ivoire,4800,8223,27341
Malaysia,Mexico,86519,85780,67920
Malaysia,Kuwait,35530,23116,19102
Malaysia,Bahrain,79881,30150,58120
Malaysia,Czech Republic,34345,53395,30274
Malaysia,Hungary,52107,68462,20293
Malaysia,Saudi Arabia,64888,51522,25728
Malaysia,Yemen,,,
Malaysia,Ukraine,19849,64804,48950
Malaysia,Belarus,17227,25156,21969
Malaysia,Jordan,23545,17259,19459
Malaysia,Ghana,2781,,4581
Malaysia,"Bolivia, Plurinational State of",1894,4929,11035
Malaysia,Slovakia,3464,7365,8106
Malaysia,"Iran, Islamic Republic of",12412,10808,9592
Malaysia,Mali,5014,5108,4587
Malaysia,Qatar,41038,4400,4548
Malaysia,Cameroon,1248,1429,8189
Malaysia,Papua New Guinea,7583,3749,8215
Malaysia,Peru,14767,9328,5511
Malaysia,Guatemala,5769,13122,17000
Malaysia,Egypt,9724,11257,13571
Malaysia,Bangladesh,7419,7803,5090
Malaysia,Luxembourg,5891,6509,8576
Malaysia,Slovenia,7174,8002,7600
Malaysia,Cambodia,10320,22884,16464
Malaysia,Sri Lanka,6712,8670,11349
Malaysia,Lithuania,3594,2283,6103
Malaysia,Romania,7058,5813,8757
Malaysia,"Macao, China",3210,3953,8499
Malaysia,Kazakhstan,1374,2624,2378
Malaysia,Dominican Republic,0,780,3522
Malaysia,Malta,0,0,0
Malaysia,Kenya,3137,2376,4599
Malaysia,Tunisia,5388,4675,6154
Malaysia,Cyprus,3752,3471,4164
Malaysia,Greece,5683,5826,3788
Malaysia,Bulgaria,1717,3791,3164
Malaysia,Mozambique,1289,1499,1482
Malaysia,Ethiopia,1853,2806,2066
Malaysia,Namibia,743,329,984
Malaysia,Oman,308211,266353,235
Malaysia,Estonia,6138,7908,2195
Malaysia,Mauritius,659,962,1031
Malaysia,Togo,984,5031,5426
Malaysia,"Tanzania, United Republic of",2958,2965,1191
Malaysia,Paraguay,1876,799,317
Malaysia,Sudan (before 2012),110,127,2542
Malaysia,Timor-Leste,,,
Malaysia,Uganda,1530,463,666
Malaysia,Iceland,339,469,530
Malaysia,Croatia,1394,805,8687
Malaysia,Colombia,1305,1085,1022
Malaysia,"Venezuela, Bolivarian Republic of",1175,669,1956
Malaysia,Uruguay,32675,29456,2276
Malaysia,Lebanon,357,297,1120
Malaysia,Zimbabwe,143,632,297
Malaysia,Maldives,764,767,1035
Malaysia,Malawi,740,788,2052
Malaysia,Solomon Islands,255,1538,55
Malaysia,Latvia,72,1443,73
Malaysia,Algeria,1190,1725,26
Malaysia,Ecuador,93,10,59
Malaysia,Madagascar,445,1005,477
Malaysia,Bosnia and Herzegovina,,,23
Malaysia,Morocco,216,418,612
Malaysia,Gabon,652,9746,339
Malaysia,Serbia and Montenegro,16,10,
Malaysia,Mongolia,60,,11
Malaysia,Belize,0,0,0
Malaysia,French Polynesia,19,66,41
Malaysia,Guinea,0,7,
Malaysia,Cuba,0,3851,32
Malaysia,Fiji,,82,132
Malaysia,Trinidad and Tobago,78,38,8
Malaysia,Botswana,9,27,48
Malaysia,Azerbaijan,0,4,1
Malaysia,Niger,0,0,142
Malaysia,Barbados,2,7,5
Malaysia,El Salvador,0,7,66
Malaysia,Senegal,1079,2,262
Malaysia,Armenia,0,60,0
Malaysia,Seychelles,45,64,95
Malaysia,Guyana,26,5,5
Malaysia,Honduras,0,20,1043
Malaysia,Faroe Islands,0,0,0
Malaysia,Mayotte,0,0,0
Malaysia,Jamaica,0,0,0
Malaysia,Suriname,71,,
Malaysia,Albania,0,1,0
Malaysia,Andorra,361,0,0
Malaysia,Bahamas,3,0,0
Malaysia,Benin,1577,676,1287
Malaysia,Georgia,19,0,1
Malaysia,Grenada,0,0,0
Malaysia,"Moldova, Republic of",0,0,4
Malaysia,New Caledonia,2,8,0
Malaysia,Rwanda,39,387,20
Malaysia,Saint Lucia,14,0,1
Malaysia,Saint Vincent and the Grenadines,0,0,0
Malaysia,Syrian Arab Republic,0,0,330980
Malaysia,"Macedonia, North",0,0,52
Malaysia,Burkina Faso,0,0,0
Malaysia,Samoa,29,0,0
Malaysia,Zambia,123,56,5
Malaysia,Nepal,,,93
Malaysia,Lesotho,0,0,1
Malaysia,Nigeria,2,0,0
