reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Malaysia,China,18174737,20093205,23572434,28723283,32101396,32330691,50430150,62136640,58304935,60153184,55652243,53257648,49118293,53961162,63321954,71909977,75174351,98192537,109878980,102513126
Malaysia,Singapore,24972500,27336003,31179406,34443448,38183045,28530424,36431454,39184530,40428109,40837379,39019886,33060141,32253967,38833874,42825079,41693622,41731260,53767745,59416459,47608539
Malaysia,United States of America,29043802,34657973,37521097,33701169,31571137,23888396,26624530,26490292,26653205,27994839,31113046,34720616,37309235,38099154,40127276,41439669,45298020,57759468,56896741,47328326
Malaysia,Japan,14117955,14669457,15487599,17414809,23155917,16702855,22700684,30463003,32856278,29745062,29181376,21557183,17367196,19276102,18936620,17653243,15931076,19748876,26281678,20194787
Malaysia,"Hong Kong, China",6677996,7353773,7769490,8059698,8514575,8784847,10915025,11459176,10787842,11297368,13184287,12132413,11684647,14742730,24138172,20678209,21143933,21481814,22651477,19203578
Malaysia,"Korea, Republic of",5678676,6011639,7242466,8442221,9909105,7574059,9530964,10467817,9796411,11096723,11100597,8615104,7505328,8715049,10205902,9280952,8894207,10457104,15249061,15237142
Malaysia,Thailand,5550549,8088424,8462139,8679783,9775880,8575320,10708896,12326055,13105840,13247484,12745923,11874962,10952015,11883973,13470843,13103668,10318600,12090615,14714181,13451162
Malaysia,Germany,4616722,4654265,5099172,6002341,6787903,5670888,7699343,8812075,7041779,7485324,8240697,7780276,8452930,9790671,10567926,9741045,9571326,11776270,13094985,12372703
Malaysia,Australia,4280578,4832417,5258621,6376348,7870859,5961527,8562456,8779593,9769610,8979881,10055181,7376081,6951105,8469347,9735829,7578753,6704986,10041094,11902694,12293999
Malaysia,"Taipei, Chinese",5433211,5210051,6058886,6203799,6736503,4682760,7743884,8627025,7914051,8155760,8768906,6523074,6281386,7182499,9326855,10387427,9929093,11828241,13514437,9683239
Malaysia,Netherlands,4339072,5154430,5742986,6814322,7211194,6011194,7376886,7760284,7384277,7919901,8585268,7399039,7069555,7554957,8014956,8068660,8286014,8013013,6407238,9182890
Malaysia,Türkiye,646747,785562,934227,1253030,1512361,960938,1124036,1567503,1278247,1352519,1286532,1339168,1996907,3138558,2132979,1847831,1990602,3098055,4288701,4136757
Malaysia,United Kingdom,4386292,3934366,4401719,4100423,3876378,2831232,3214627,3148958,2712713,2611713,2784646,2637993,2227834,2383910,2401662,2387560,2481906,3194966,4718841,3875634
Malaysia,France,1932533,1843832,2111609,2330633,2651998,1840136,2546185,3453529,2946422,2598177,2446709,2273548,2380743,2406058,2853169,2676851,2720191,3560275,4337965,3372994
Malaysia,Canada,2026751,2155555,2594547,2726038,2755728,2036074,2225107,2161741,2230815,2117318,2188448,2067514,1957301,2148658,2302405,2145742,2277395,3033668,3196070,2579809
Malaysia,New Zealand,557099,665106,776096,830898,1407402,689890,1101256,1477792,1486906,1660615,1938174,1224925,934681,1254354,1429721,1339149,1067274,1322996,1690448,2024068
Malaysia,Belgium,583467,616816,705492,809110,898543,648411,694616,830784,790506,899670,1132357,1013741,1045332,1195069,1077339,1184610,1254085,1676061,2171343,1789973
Malaysia,Italy,804559,844549,1172204,1263501,1142560,939851,1099037,1240512,995326,983510,903086,988073,1060419,1148163,1307557,1319389,1317091,1881630,2020225,1576801
Malaysia,Brazil,543154,670725,943506,1340764,1718607,1272557,1831427,2364476,2153667,2285833,1957573,1537343,1185288,1434499,1530975,1268804,1170278,1738827,1519501,1468651
Malaysia,Spain,823345,843267,1011298,1081200,1155505,658248,806224,858556,695779,680850,757433,795898,712329,849041,1071144,1319001,1381736,1685725,1955523,1377771
Malaysia,Czech Republic,575658,415120,656833,870697,929555,751554,939355,1274179,894763,827495,918507,986471,974586,1270825,1602803,1645527,2133357,2309800,2044347,1306916
Malaysia,South Africa,590941,686783,851955,1064594,1084622,865807,1160803,1273975,1325113,989655,1001782,857155,802220,864304,1017952,891770,763014,1011105,1632545,1241573
Malaysia,Switzerland,235480,230295,388089,364945,541277,653869,332587,370080,592983,581547,713460,645958,963530,1528677,1044979,756704,796134,897465,943402,1086187
Malaysia,Hungary,622001,471126,357120,440995,467755,397301,161002,240430,326452,208891,253098,320958,290535,357540,420315,553956,872810,674336,643151,966455
Malaysia,Poland,438178,377735,560502,576014,637828,540169,745497,706265,679597,670846,974722,957007,627377,786107,984260,914486,1357627,1632922,1511999,729525
Malaysia,Ireland,579633,697741,520690,671670,516256,397367,272349,319838,277800,276270,305935,309711,336825,363934,503633,1117367,530691,2179172,761045,554993
Malaysia,Norway,184923,221101,298445,276788,345069,286166,340149,291668,343540,307660,324885,343313,279469,398714,438360,346241,330483,412199,457015,489782
Malaysia,Sweden,197715,210946,377312,528772,519690,294624,550328,578933,614222,590894,517651,417478,358535,423227,440221,380983,424525,600387,622344,481614
Malaysia,Slovakia,134015,147022,212428,246405,278570,225688,294277,329177,286498,350660,633710,535196,439421,623263,595660,554632,679463,922078,658789,362217
Malaysia,Ukraine,85400,161626,135035,142459,352176,181493,171005,253084,236626,209280,193168,132091,167537,189904,230291,230331,234992,272586,224351,288003
Malaysia,Argentina,131001,89055,223526,325387,396783,284840,328060,434221,447506,490005,401735,354557,291550,317545,290982,263784,271030,529105,373519,279638
Malaysia,Austria,256202,318328,459941,460511,468853,296712,367557,449841,345188,402669,418104,362524,396097,402619,444202,452501,452724,646886,674042,249347
Malaysia,Denmark,243589,335893,244239,306919,349127,224085,274629,263882,254131,226156,254839,214016,178207,182996,213942,231449,235258,366485,279754,243259
Malaysia,Finland,335852,376520,464372,494866,432049,375527,228696,140525,185880,198065,209665,192442,207398,254454,319862,378900,353043,573836,522248,241174
Malaysia,Peru,95040,86117,118745,142381,159830,122081,161230,207048,206948,199573,169556,160289,188272,163209,233853,203072,215958,276124,262115,223160
Malaysia,Romania,117323,126064,162965,88672,95578,72451,99562,138973,111831,109108,104766,86291,95475,95544,115271,166001,169355,161798,188013,194736
Malaysia,Colombia,82746,74684,139696,160542,173916,107675,139171,214360,204405,198370,225744,170125,162555,171516,201952,203927,177038,255260,244583,175486
Malaysia,Chile,114899,159089,192585,175354,190923,170525,126131,154998,191942,245238,240195,278936,184265,194122,235569,240289,220095,329794,289042,171381
Malaysia,Madagascar,24519,20811,17358,27453,36181,43586,32675,49929,29242,37447,57438,54351,80613,82510,88716,86958,108806,149004,182057,148630
Malaysia,Bulgaria,31971,42085,50485,99447,105381,58593,37944,41802,29450,40014,43363,44741,48696,94367,92604,72924,87188,110190,158927,137192
Malaysia,Greece,114010,85178,109817,145730,185098,151074,130026,126310,131368,136258,80911,77298,78294,84534,85855,84208,81903,136195,135666,128247
Malaysia,Portugal,89806,78032,123334,127635,203616,126342,136656,156193,101527,84368,84987,59795,56133,73089,99384,107064,89530,160893,179700,119836
Malaysia,Malaysia,909348,990749,0,1234531,0,0,120420,27957,57018,172398,115717,22959,32022,29414,66574,77534,24634,78711,50107,102409
Malaysia,Ecuador,40492,10319,15738,15766,21857,13036,32387,111214,36333,100385,108822,61240,18984,64759,66766,70420,49210,88826,72633,101584
Malaysia,Serbia,,,56707,95265,80094,60237,60865,67755,46485,49324,40629,32163,34166,47596,57982,59003,59764,85127,123599,98517
Malaysia,Costa Rica,23084,46388,39431,116481,50392,37150,35854,51177,51660,46589,51584,38257,36768,71992,67948,79091,152566,110653,114211,85877
Malaysia,Guatemala,9597,27673,21821,21364,20351,40104,26314,36698,30390,26717,33516,36188,36234,39595,104305,47632,37891,84285,107499,56807
Malaysia,"Bolivia, Plurinational State of",1683,2857,4580,5320,7470,6370,7561,11418,14166,20478,22008,18344,21072,22645,25012,28958,28203,38654,35988,44039
Malaysia,Malta,94683,51095,83795,57828,45237,24651,30382,21586,17888,23394,31396,30620,23684,30186,29990,21153,13444,26975,31274,33635
