reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Maldives,Singapore,105304,93408,113328
Maldives,Sri Lanka,50445,45877,54396
Maldives,India,25798,31344,38416
Maldives,Malaysia,28896,19729,21763
Maldives,Thailand,12694,14411,21281
Maldives,Australia,8637,13648,9712
Maldives,Indonesia,11311,10401,10274
Maldives,United Kingdom,7239,4571,9690
Maldives,Germany,5904,7513,9139
Maldives,Italy,5307,5504,6936
Maldives,France,3956,6545,9452
Maldives,United States of America,6411,4126,6580
Maldives,New Zealand,3273,2551,2441
Maldives,Netherlands,6311,4705,11074
Maldives,China,2099,2975,3342
Maldives,Japan,3500,3691,5523
Maldives,South Africa,1663,1356,1712
Maldives,Bahrain,669,264,2070
Maldives,Denmark,3815,2177,2013
Maldives,Canada,4799,2431,1916
Maldives,Sweden,659,1107,1562
Maldives,Switzerland,1482,1368,1603
Maldives,Pakistan,,,2573
Maldives,Finland,3871,1453,188
Maldives,"Taipei, Chinese",1406,1094,1390
Maldives,Brazil,709,960,1071
Maldives,Austria,634,427,3124
Maldives,"Korea, Republic of",1060,2289,1436
Maldives,"Hong Kong, China",3817,1516,1534
Maldives,Belgium,1307,1327,1041
Maldives,Israel,757,586,158
Maldives,Ireland,672,182,983
Maldives,Spain,404,544,582
Maldives,Türkiye,16,175,462
Maldives,Philippines,315,262,544
Maldives,Malta,214,348,495
Maldives,Mauritius,4,0,0
Maldives,Greece,317,370,389
Maldives,Norway,81,182,591
Maldives,Oman,121,181,287
Maldives,Viet Nam,7,3,47
Maldives,Mexico,8,7,39
Maldives,Cyprus,66,0,20
Maldives,Lebanon,0,0,44
Maldives,Argentina,0,0,6
Maldives,Portugal,143,55,18
Maldives,"Tanzania, United Republic of",240,240,215
Maldives,Saudi Arabia,59,451,0
Maldives,Russian Federation,0,0,0
Maldives,Luxembourg,53,6,276
Maldives,Kuwait,0,0,0
Maldives,Togo,3,25,24
Maldives,Serbia and Montenegro,202,165,
Maldives,Czech Republic,178,36,56
Maldives,Dominican Republic,0,67,0
Maldives,"Iran, Islamic Republic of",0,0,0
Maldives,Hungary,97,0,14
Maldives,Romania,14,131,134
Maldives,Bosnia and Herzegovina,,,0
Maldives,Malawi,12,0,0
Maldives,Costa Rica,0,0,7
Maldives,Egypt,0,0,42
Maldives,Poland,0,0,0
Maldives,Bulgaria,1,1,0
Maldives,Chile,2,0,8
Maldives,Seychelles,0,0,0
Maldives,Ghana,163,,0
Maldives,Ukraine,0,0,9
Maldives,Bangladesh,5,2,0
Maldives,Barbados,0,0,1
Maldives,Cambodia,7,0,0
Maldives,Colombia,0,3,9
Maldives,French Polynesia,0,0,10
Maldives,Kenya,29,0,8
Maldives,Mozambique,0,12,0
Maldives,Qatar,0,12,0
Maldives,Slovakia,0,0,0
Maldives,Slovenia,0,13,15
Maldives,Uruguay,0,2,0
