reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Malta,Italy,730499,828658,952072
Malta,France,417493,543338,600331
Malta,"Korea, Republic of",311974,513989,272693
Malta,Germany,265943,238573,326415
Malta,United Kingdom,313463,349083,424163
Malta,Singapore,346563,241260,303700
Malta,China,80278,115638,124435
Malta,United States of America,258864,210066,202253
Malta,Spain,83665,192077,125147
Malta,Netherlands,96858,86376,106875
Malta,Russian Federation,36150,145386,82555
Malta,Japan,316728,218896,279607
Malta,Türkiye,62934,141505,156990
Malta,Belgium,61228,64049,82078
Malta,Egypt,19627,7315,37965
Malta,Romania,42194,16509,27043
Malta,Switzerland,34376,39282,57646
Malta,Saudi Arabia,37038,77845,83586
Malta,Croatia,55619,1374,93094
Malta,Brazil,5237,4774,17909
Malta,Poland,20605,9650,8330
Malta,Denmark,21877,25212,26592
Malta,India,12511,25388,100974
Malta,Israel,21124,25626,5575
Malta,Greece,153231,105333,77565
Malta,Philippines,500,10322,21108
Malta,Algeria,17120,13561,47210
Malta,Sweden,13817,13090,19196
Malta,Austria,23930,19796,22682
Malta,"Taipei, Chinese",20421,21934,22497
Malta,Malaysia,93073,30698,35493
Malta,Bulgaria,11319,9161,7119
Malta,"Hong Kong, China",24397,33641,30462
Malta,Ukraine,3993,4959,26761
Malta,Azerbaijan,8669,30173,12510
Malta,Norway,123487,25472,14496
Malta,Tunisia,4908,4657,7896
Malta,Portugal,9460,9390,16386
Malta,Ireland,15305,15826,17175
Malta,Thailand,11539,11609,10585
Malta,Czech Republic,4170,6517,4900
Malta,Canada,8581,6538,9968
Malta,Qatar,0,36,6
Malta,Australia,7695,7379,7894
Malta,Lebanon,20287,17923,13986
Malta,Cyprus,1914,2658,2364
Malta,Lithuania,101,166,1189
Malta,New Zealand,5256,5997,7552
Malta,Argentina,1951,2566,2779
Malta,South Africa,1319,5971,2391
Malta,Indonesia,2154,3136,3602
Malta,Finland,3242,42579,4188
Malta,Côte d'Ivoire,2846,2036,2821
Malta,Mauritius,4502,3944,4226
Malta,Pakistan,,,3229
Malta,Hungary,5948,4054,4592
Malta,Slovakia,6792,1415,1566
Malta,Iceland,342,158,1094
Malta,Morocco,1226,3678,3151
Malta,Albania,0,775,2
Malta,Uruguay,27,18,533
Malta,Estonia,13075,17672,13408
Malta,Slovenia,1571,1457,1370
Malta,Chile,200,265,1897
Malta,"Venezuela, Bolivarian Republic of",0,0,0
Malta,Latvia,439,469,402
Malta,Viet Nam,204,241,506
Malta,Syrian Arab Republic,0,0,152951
Malta,Jordan,147,192,265
Malta,Luxembourg,569,856,835
Malta,Georgia,0,28,0
Malta,Serbia and Montenegro,73,318,
Malta,Bahrain,212,37,103
Malta,Angola,,,
Malta,"Macedonia, North",61,110,458
Malta,Bangladesh,139,172,69
Malta,Oman,50,176,3
Malta,Colombia,90,92,189
Malta,Ghana,496,,272
Malta,"Iran, Islamic Republic of",59,197,290
Malta,Mexico,1237,464,663
Malta,Sri Lanka,199,327,182
Malta,Guyana,0,28,517
Malta,Peru,48,161,67
Malta,Botswana,0,0,0
Malta,Papua New Guinea,0,0,0
Malta,Madagascar,47,99,8
Malta,Zimbabwe,0,21,0
Malta,Belarus,0,0,2
Malta,"Tanzania, United Republic of",55,18,11
Malta,Ecuador,0,0,0
Malta,Cameroon,41,31,55
Malta,Cambodia,0,0,0
Malta,Guatemala,0,24,0
Malta,Kuwait,12,0,34
Malta,Kenya,214,363,84
Malta,Bosnia and Herzegovina,,,613
Malta,Uganda,0,64,0
Malta,"Macao, China",11,12,30
Malta,Senegal,0,0,1
Malta,Costa Rica,47,36,0
Malta,Armenia,0,14,2
Malta,Burkina Faso,0,0,0
Malta,Ethiopia,0,0,0
Malta,Trinidad and Tobago,2627,84,22
Malta,Suriname,10,,
Malta,Bahamas,55,0,0
Malta,Barbados,8,10,1
Malta,Cuba,27,0,283
Malta,Benin,143,0,0
Malta,Dominican Republic,0,146,98
Malta,Kazakhstan,277,231,0
Malta,Mali,0,33086,0
Malta,Mauritania,0,167,0
Malta,Namibia,0,2,1
Malta,Saint Lucia,7,0,0
Malta,Seychelles,241,710,264
Malta,Sudan (before 2012),6339,5581,18820
