reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Malta,Germany,271980,282079,409300,543391,924255,443841,347022,580891,424502,641093,437122,352844,422608,402564,450575,445899,421856,515536,579557,860178
Malta,China,252182,237935,350582,375981,449899,400005,569312,851729,884707,725238,591422,441124,399997,409726,349113,358623,387613,553504,585214,643365
Malta,Singapore,510754,375062,448917,521438,512801,378415,382579,522896,666401,498513,299375,248519,264310,450665,409385,259159,189973,547507,312843,373614
Malta,Spain,25823,24518,27410,40446,103463,102365,144945,103041,95265,88817,64626,71951,101347,69624,129900,173185,101575,60980,136837,362622
Malta,"Hong Kong, China",81855,63524,125618,211248,269035,193208,238344,421070,283786,232600,399823,318763,226997,264383,213602,197439,230485,216941,328389,322413
Malta,Italy,145062,251408,250602,247931,430834,312578,332111,364618,277828,290543,291667,318633,449424,524355,327585,426727,254571,350716,338130,304846
Malta,"Korea, Republic of",79740,52999,45412,145436,128671,119634,196795,179324,295525,785662,514772,262102,78862,95953,101103,68259,112235,97373,111777,297754
Malta,United States of America,390180,288313,380092,335437,284030,223326,269556,253440,263136,216839,177279,245471,1298787,165858,189512,174647,176712,253368,263414,229315
Malta,Japan,60959,68466,124607,92522,189604,131243,90976,122870,99650,267583,144196,143478,140797,153105,175945,220619,174704,173108,191388,181977
Malta,United Kingdom,322066,317630,300873,359952,258255,164053,241743,277333,197258,171272,211412,278111,269153,178801,138104,105869,74198,118692,234144,153054
Malta,France,368936,378513,416846,385317,481100,373245,481434,362477,269421,212042,255028,251694,243175,244107,393792,391720,287268,286319,222470,133135
Malta,Netherlands,14427,31359,29488,18222,22870,55968,115526,65400,128925,95606,48584,50985,87541,141453,113576,105964,67199,97246,143193,108826
Malta,Czech Republic,6889,21198,23758,25080,12776,13233,14980,22919,66000,85253,50972,43677,40148,37588,40772,48933,45756,60714,56544,101868
Malta,Switzerland,3755,7572,8063,23819,11581,11024,11290,15749,16067,14374,14084,16146,18935,31053,28591,29152,28567,36388,32931,98136
Malta,Croatia,811,1970,36917,158390,143043,48150,52765,53136,56187,22514,5280,2105,8026,5647,7119,5450,7891,33615,17963,95025
