reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Marshall Islands,Belgium,0,10,3
Marshall Islands,Bangladesh,0,0,19421
Marshall Islands,Japan,1250,5299,3629
Marshall Islands,Thailand,37014,67428,28674
Marshall Islands,Poland,6000,39123,44500
Marshall Islands,Switzerland,10,21,0
Marshall Islands,United States of America,5535,10326,27857
Marshall Islands,Spain,6,85,3
Marshall Islands,India,0,0,0
Marshall Islands,Greece,35082,87665,8339
Marshall Islands,Italy,125,8,9166
Marshall Islands,United Kingdom,449,957,4337
Marshall Islands,Germany,66949,6649,24477
Marshall Islands,Hungary,0,0,0
Marshall Islands,"Micronesia, Federated States of",,0,52
Marshall Islands,Australia,0,59,84
Marshall Islands,Indonesia,0,6,4
Marshall Islands,Sweden,1,0,277
Marshall Islands,"Taipei, Chinese",82,23,36
Marshall Islands,"Korea, Republic of",136,240,482
Marshall Islands,France,44,56,371
Marshall Islands,"Hong Kong, China",0,1161,644
Marshall Islands,Lithuania,0,0,603
Marshall Islands,Fiji,,0,0
Marshall Islands,Israel,0,1,14
Marshall Islands,"Macedonia, North",98,51,32
Marshall Islands,South Africa,102,1,62
Marshall Islands,Ecuador,0,7,0
Marshall Islands,Netherlands,7,2,1
Marshall Islands,Portugal,0,0,10
Marshall Islands,Serbia and Montenegro,563,168,
Marshall Islands,Singapore,2759,285,0
Marshall Islands,Finland,0,1,0
Marshall Islands,Namibia,0,0,0
Marshall Islands,Nicaragua,0,0,1
Marshall Islands,China,0,11,58
Marshall Islands,Costa Rica,0,0,0
Marshall Islands,Czech Republic,0,0,11
Marshall Islands,Russian Federation,0,324,0
Marshall Islands,Bulgaria,0,0,0
Marshall Islands,Croatia,24,0,0
Marshall Islands,Benin,0,0,2
Marshall Islands,Malaysia,5,1,0
Marshall Islands,New Caledonia,0,0,12
Marshall Islands,New Zealand,13,3,17
Marshall Islands,Ghana,0,,50
Marshall Islands,Faroe Islands,0,167,0
Marshall Islands,Ukraine,191,232,187
Marshall Islands,Algeria,53,0,0
Marshall Islands,Argentina,0,0,0
Marshall Islands,Austria,7,0,0
Marshall Islands,Armenia,0,9,0
Marshall Islands,Brazil,0,0,0
Marshall Islands,Chile,0,0,14750
Marshall Islands,Colombia,0,0,5
Marshall Islands,Cyprus,0,6,0
Marshall Islands,Denmark,0,25,10
Marshall Islands,Estonia,0,0,3
Marshall Islands,French Polynesia,0,0,1
Marshall Islands,Ireland,0,0,0
Marshall Islands,Lebanon,0,7,4
Marshall Islands,Latvia,0,0,45
Marshall Islands,"Macao, China",1,0,0
Marshall Islands,Philippines,2154,2429,1826
Marshall Islands,Romania,0,1,2
Marshall Islands,Viet Nam,0,14,439
Marshall Islands,Slovenia,0,171,0
Marshall Islands,Türkiye,0,227,260
Marshall Islands,Nigeria,306,228,6
