reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Marshall Islands,"Korea, Republic of",510581,734895,961719
Marshall Islands,Japan,89042,152967,130772
Marshall Islands,Singapore,65749,75981,110621
Marshall Islands,China,1823,23694,100206
Marshall Islands,Germany,103573,368389,75507
Marshall Islands,Italy,10457,3168,38902
Marshall Islands,Türkiye,0,1140,9304
Marshall Islands,Spain,22,121,211
Marshall Islands,"Taipei, Chinese",54522,2193,78252
Marshall Islands,Norway,42286,49392,169676
Marshall Islands,Portugal,4,61,6
Marshall Islands,United States of America,26526,28733,28175
Marshall Islands,Greece,4001,9656,2778
Marshall Islands,Australia,4034,4370,10717
Marshall Islands,Denmark,36240,381,319
Marshall Islands,Poland,40109,19605,9332
Marshall Islands,Sweden,511,2502,42
Marshall Islands,France,342,1144,984
Marshall Islands,Switzerland,950,1143,1215
Marshall Islands,New Zealand,448,665,880
Marshall Islands,Thailand,437,733,997
Marshall Islands,Philippines,612,558,518
Marshall Islands,Russian Federation,2724,1944,825
Marshall Islands,Estonia,1760,1594,4326
Marshall Islands,"Hong Kong, China",0,1090,603
Marshall Islands,Lithuania,1,179,678
Marshall Islands,United Kingdom,1343,7616,8565
Marshall Islands,Slovakia,0,0,2
Marshall Islands,Netherlands,326,497,490
Marshall Islands,Fiji,,316,237
Marshall Islands,Malaysia,289,18,103
Marshall Islands,Belgium,60,131,24
Marshall Islands,India,0,1058,34082
Marshall Islands,Hungary,1777,1425,1120
Marshall Islands,Bulgaria,46,107,89
Marshall Islands,Latvia,11,9,13
Marshall Islands,Indonesia,274,22,271
Marshall Islands,Serbia and Montenegro,105,215,
Marshall Islands,Romania,710,206,313
Marshall Islands,Brazil,0,11,4
Marshall Islands,Uruguay,0,0,197
Marshall Islands,"Micronesia, Federated States of",,67,44
Marshall Islands,Ukraine,354,30,58
Marshall Islands,Argentina,52,0,0
Marshall Islands,Mexico,132,503,883
Marshall Islands,South Africa,524,323,16
Marshall Islands,Chile,0,0,1500
Marshall Islands,Czech Republic,2,0,0
Marshall Islands,Costa Rica,0,0,15
Marshall Islands,Austria,65,67,0
Marshall Islands,Papua New Guinea,57,52,146
Marshall Islands,Finland,2,6,0
Marshall Islands,Bosnia and Herzegovina,,,9
Marshall Islands,Azerbaijan,424,0,0
Marshall Islands,Bangladesh,0,0,0
Marshall Islands,Armenia,0,30,0
Marshall Islands,Colombia,12,32,0
Marshall Islands,Croatia,40430,11,48
Marshall Islands,Benin,0,0,19
Marshall Islands,Gabon,0,0,20215
Marshall Islands,Ireland,20,22,27
Marshall Islands,Kenya,0,0,1
Marshall Islands,Luxembourg,1,0,5
Marshall Islands,Mauritius,21,1,1
Marshall Islands,Namibia,0,0,1
Marshall Islands,Viet Nam,4143,768,12
Marshall Islands,Slovenia,99,17,0
Marshall Islands,Trinidad and Tobago,301,0,0
Marshall Islands,Nigeria,0,29,0
