reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Mexico ,United States of America,157881924,172388577,200499682,212878005,218066233,178321648,232251415,265113824,279957417,283133714,296855759,299226220,296223311,315605003,347334381,359339933,328684629,388319850,459205003,480080423
Mexico ,Canada,10339013,12049995,14131524,16050279,16857734,14531603,21465147,24813963,25535745,25919404,26070727,24449877,25050323,27362561,28421850,27877842,22354189,27007646,31388372,34127330
Mexico ,China,2139840,2225295,2607103,3265310,3690255,3881899,6875188,9377587,9161025,10238486,11173418,10082750,10293721,11749246,14054302,14334538,16217413,19142586,17429580,18793886
Mexico ,Germany,2020455,2570031,3787160,5110368,6653045,4477970,4923895,6097496,5609708,5243192,4942843,4956313,5695545,8510296,9265517,9734200,9026785,9216269,9599575,10892505
Mexico ,"Korea, Republic of",411289,459911,797651,1012546,1049284,971992,1521026,2315690,2591487,2301580,3270544,3471728,3689913,4401487,5097903,6158155,6354126,7887963,8577372,7630719
Mexico ,United Kingdom,1308296,1913558,2022639,2296863,2746080,1789333,2330511,2820902,2506182,1531146,2042987,2146084,2535894,2481523,2824502,3385707,3279820,3785821,5502829,5918056
Mexico ,Japan,2172024,2535178,2824693,3157603,3812946,2798508,3479874,3979360,4404160,4230382,4278227,4760976,5752894,5785143,6362828,6005124,5432239,5786393,6450168,5701628
Mexico ,Spain,2211506,3378791,3416557,4135007,4730287,2864964,3936219,5288075,7369064,7292368,6402154,3774573,3805845,4627328,5587259,5163592,3951357,5515328,6260378,5557813
Mexico ,Brazil,742501,888996,1364383,2063234,3279338,2896693,4041598,5343755,6322142,6036314,5575417,4377919,3528088,4238051,4909340,4196689,3862358,4561248,5283524,5541084
Mexico ,Netherlands,521662,661393,786001,1063551,1785498,1516653,2096346,2104899,2069004,1757063,1949380,1573133,1604175,1731506,2173633,2099449,1891322,1731995,1632798,4813527
Mexico ,Belgium,701309,879174,1018104,1430189,1714376,1306722,1451164,1960721,1897341,1880810,2519627,3285217,3418007,4101468,5226800,4279771,3436534,5039573,4861497,3974652
Mexico ,Guatemala,637570,910163,868972,1179594,1405431,1198655,1542538,1859015,1915632,1860241,1950049,2217626,1942944,1964468,2133570,2192483,2124390,2803262,3256313,3359753
Mexico ,Colombia,935642,1757068,2290571,3072565,3125980,2297888,3856674,6059027,6362176,5495958,5272632,3852940,3410737,3436895,3947394,3698549,2925827,3800480,4174746,3090355
Mexico ,France,785626,868835,966605,1095323,1145885,970829,1217568,1570671,1609762,1918513,2421888,2726042,2751162,2784583,2883465,2657573,2660356,2982420,2933531,3076541
Mexico ,Switzerland,148790,128073,108650,483588,672659,589792,474062,620449,1470055,1976255,1947722,1757764,982859,1463167,1293059,939814,1093726,1623555,2184730,2849967
