reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Moldova,Romania,205219,325980,431149,632515,824311,519194,611901,786307,782728,950192,1104688,819626,831884,1061700,1363609,1386333,1173407,1545563,2379482,2240319
Moldova,Ukraine,659088,678623,671231,911260,1171756,693545,713524,874396,822682,903260,743813,524294,481143,707582,789202,726562,679630,864217,926112,818867
Moldova,Türkiye,66352,81108,107377,145752,198468,118090,148209,208885,224464,297650,319916,201607,262384,284649,266170,343381,335118,453142,662647,645153
Moldova,Germany,235148,247074,280252,372478,551634,342317,392938,506500,502806,512911,468409,309705,310976,407767,475198,470988,416247,526257,563500,591618
Moldova,Italy,137960,152501,192336,239421,290159,195279,220294,285640,273190,284268,294136,220261,227672,264086,294492,304191,275984,346117,357680,417928
Moldova,Poland,92402,111090,138759,173602,184227,121967,154810,189337,212162,356326,331756,153345,161453,195247,232114,240238,262237,297151,351193,394536
Moldova,China,23909,51485,31629,50030,71268,72571,80523,97491,123942,112629,115205,99966,76791,97899,108656,129312,145799,178810,206630,251755
Moldova,Czech Republic,24289,35718,36162,44528,52176,33960,45561,57396,60764,59452,58526,47015,48447,66694,80067,110009,105605,134538,163225,207242
Moldova,Hungary,35209,59739,47799,68923,97501,64754,80914,113160,105665,110525,120485,92874,96305,103749,107423,107715,94618,106924,143439,189840
Moldova,Netherlands,38115,47329,47530,78299,88649,63644,67074,82512,65924,84098,85944,63799,71919,78595,102096,111043,107510,126350,131538,164707
Moldova,Bulgaria,19446,20218,23939,54140,51067,51699,68345,75198,89535,92866,101750,73376,59110,80706,68838,63284,69280,80233,169422,156474
Moldova,France,43935,52746,51586,83699,86544,51912,59189,62273,60114,80029,63421,55118,46396,46789,62403,69575,73162,91203,109055,144538
Moldova,Greece,7713,8250,17894,19685,29737,50489,83140,53636,39658,60962,120047,103146,61239,39713,19463,13616,14679,17079,46515,141599
Moldova,Slovakia,13872,19085,20830,25742,42117,26724,29017,31068,43028,35290,30435,27195,20936,32696,39490,38275,43023,48747,57074,90177
Moldova,Austria,24075,28724,31785,60294,65286,41174,43588,46524,85478,84675,98555,82477,79979,86252,103979,94050,67426,95426,77804,87609
Moldova,Spain,11595,14108,14053,16782,23876,24675,23300,25737,26309,36209,33108,28153,30049,31268,40344,46535,46742,63339,61801,76074
Moldova,United States of America,39464,40070,30094,52668,66237,26812,37814,39569,38268,45603,35269,16164,14996,17615,13420,20468,49949,37969,38672,72023
Moldova,Belgium,30749,39417,44114,45008,42863,33235,41102,58158,45213,46455,44804,36220,33119,43424,45304,45054,45410,72642,58136,63362
Moldova,Switzerland,17419,12047,17235,22971,23932,17766,15881,24657,28301,33522,28493,23875,15387,21175,24995,33737,33410,49675,53701,62528
