reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Mongolia,China,461068,541028,1147483,1351649,1525607,1338679,2549854,3700776,3944214,3509547,5102087,3780384,3610183,5097219,6341575,6334357,5124562,6897317,9337269,13124019
Mongolia,Switzerland,95508,127090,66022,122305,233847,147898,1211,2190,38523,310847,422051,401751,771943,662357,727358,626650,905009,1109786,904880,848036
Mongolia,Italy,11462,24035,39884,52013,47805,24688,44885,53749,45988,47255,55979,52140,42171,49636,48268,52114,28460,39481,81183,87713
Mongolia,Thailand,12,196,285,290,1409,36,4218,5321,463,87,673,3230,12150,25028,70543,53501,26275,38916,33008,67036
Mongolia,"Korea, Republic of",4594,4895,6440,20729,31150,21479,38839,60623,53598,26962,23640,46189,10353,14154,26904,32596,20535,24949,38240,62790
Mongolia,Japan,8252,6541,8407,16215,36243,7271,22951,17643,25820,19081,17099,54333,17524,37943,32402,22434,14538,35639,36218,32743
Mongolia,United States of America,252678,152710,120990,87893,55507,15977,12779,11219,42385,21022,15952,18184,11528,9658,10551,24904,11832,20204,27245,31138
Mongolia,"Taipei, Chinese",171,356,170,170,3800,5658,16165,66417,43053,16127,14698,19370,9110,40980,32552,24480,18834,14818,1084,27542
Mongolia,Germany,12627,17058,13378,14971,23107,15206,12000,18167,13422,16373,13481,14453,15172,9347,12460,19738,15884,13024,18444,19482
Mongolia,France,3437,4009,8804,15685,5551,3045,3750,6153,5209,4122,4510,4724,5890,4863,5879,5672,4449,7397,9832,13578
Mongolia,United Kingdom,19155,6482,14168,12053,10821,27173,64279,17831,11190,13192,18187,18303,8056,7628,8942,10576,7608,8629,13983,11191
Mongolia,Austria,590,290,429,773,1331,1379,1455,3883,6176,8763,2749,2561,2293,2465,7632,6935,3357,7083,9493,5389
Mongolia,Netherlands,311,378,206,2152,2259,2214,4273,7754,4899,8037,3042,572,246,903,550,1081,1688,2006,2002,3645
Mongolia,"Hong Kong, China",6818,647,1035,2731,1127,1478,2427,3669,4630,1903,1128,2774,7479,1674,1509,1485,286,546,1134,2933
Mongolia,Türkiye,633,237,945,324,1085,3,896,3010,8,436,140,547,5153,1821,4264,594,2107,2933,2626,2808
Mongolia,Brazil,12,0,44,2,3,0,19,16,351,141,220,72,162,85,247,1041,248,911,778,2624
Mongolia,Norway,108,375,196,72,336,317,234,255,241,594,870,676,569,759,747,573,365,494,889,2310
Mongolia,Canada,43095,130328,171620,180139,178468,139725,225045,244729,166616,126194,1239,2203,1359,1919,2826,2373,1045,1526,2057,2304
Mongolia,Poland,53,129,36,142,110,89,98,1028,51,78,92,119,142,413,1185,1082,1760,2127,2832,2039
Mongolia,Spain,66,85,83,958,349,104,138,781,53,144,778,303,462,419,858,490,1391,1215,3490,1994
Mongolia,Sweden,107,317,119,99,180,764,163,269,305,405,399,589,448,733,548,349,1286,910,485,910
Mongolia,Czech Republic,57,68,612,382,2897,419,403,468,502,227,240,234,270,1476,802,621,469,607,1496,677
Mongolia,Latvia,0,0,4,100,0,0,2,146,51,48,87,2,34,0,0,0,23,2,2,674
Mongolia,Lithuania,0,0,2,0,74,0,2,0,2,7,0,17,197,303,184,13,8,19,541,566
Mongolia,Australia,210,135,325,534,155,302,138,601,876,451,275,7284,1278,397,1026,1621,382,419,886,539
Mongolia,Malaysia,130,46,90,367,254,96,32,10,72,619,1104,125,325,34,608,140,97,98,1190,451
Mongolia,Belgium,927,1261,1057,10633,520,1062,3063,4131,2580,3602,5163,4719,4547,5463,1019,541,437,7195,5686,370
Mongolia,Singapore,118,157,226,287,483,671,602,1076,963,2486,3710,1400,2254,1743,529,556,1327,4243,612,311
Mongolia,New Zealand,56,52,23,82,102,71,14,34,158,134,193,1407,442,41,57,91,75,129,129,310
Mongolia,Portugal,2,0,3,0,2,0,1,0,0,0,72,9,0,0,17,17,8,138,291,238
Mongolia,Denmark,9,330,44,206,129,23,151,124,71,122,2695,300,357,1651,316,121,430,127,354,118
Mongolia,Hungary,257,830,53,56,31,15,68,190,5,25,12,122,116,114,598,120,64,282,86,106
Mongolia,Greece,178,37,38,4,0,0,13,0,0,40,0,95,27,19,4,1,4,9,83,87
Mongolia,Ireland,5,42,80,360,246,24,3,11,7,30,10,328,897,760,904,1985,294,65,112,86
Mongolia,Slovakia,136,432,3,0,0,5,69,12,33,7,12,20,208,274,639,111,54,81,56,70
Mongolia,South Africa,28,444,3,180,243,14,26,17,31,21,39,93,67,57,64,19,34,39,38,62
Mongolia,Ukraine,6812,11737,11487,14174,11510,6520,11143,4897,4605,1417,616,855,1244,1206,916,738,272,298,18,59
Mongolia,Costa Rica,19,0,0,2,5,0,0,0,0,21,0,7,0,0,70,0,0,36,9,55
Mongolia,Finland,77,7,7,27,7,141,92,19,1459,2962,8148,4306,3647,1431,168,1851,154,40,9446,47
Mongolia,Paraguay,0,0,0,0,0,1,0,5,45,0,13,0,14,0,0,0,0,0,0,38
Mongolia,Peru,1083,46,4,48,26,4,81,1,0,12,5,110,25,13,102,1,1,47,113,30
Mongolia,Bulgaria,6,22,61,132,209,101,913,23,30,101,43,1,2,4,147,13,4,1,4,23
Mongolia,Estonia,8,0,1,4,1,1,0,0,0,0,0,5,2,1,2,20,2,634,1747,20
Mongolia,Iceland,0,1,13,86,0,0,0,6,0,7,10,0,35,34,74,24,1,6,13,20
Mongolia,Romania,45,630,422,414,224,159,41,102,155,159,86,5,3,64,1,1,27,13,16,20
Mongolia,Luxembourg,89,24,0,7,4,5,50,13,974,3,24,21,16,67,67,7,26,16,62,17
Mongolia,Chile,0,48,157,33,7755,12,1896,5279,1308,0,14,0,0,26,0,6,3,18,36,14
Mongolia,Cyprus,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,235,10
Mongolia,Serbia,,,5,16,19,2,5,0,0,0,5,2,0,2,36,0,2,2,20,3
Mongolia,Ecuador,0,0,0,0,0,0,0,2,0,9,0,0,0,102,22,5,16,12,6,3
Mongolia,Bosnia and Herzegovina,1,0,2,0,4,7,1,0,13,55,0,10,3,2,5,3,5,8,14,2
Mongolia,Argentina,450,605,67,0,1,1,0,3,11,0,0,1,3,0,1,1,0,0,1,1
Mongolia,Croatia,5,11,7,11,10,3,5,4,10,1,0,0,3,0,0,0,0,3,8,1
Mongolia,Malta,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,1
Mongolia,Slovenia,240,9,6,11,44,10,10,4,99,6,5,2,82,118,204,107,145,131,286,1
Mongolia,"Bolivia, Plurinational State of",0,2,0,6,1,5,585,0,0,0,0,3,0,1,2,12,0,0,0,0
Mongolia,Belize,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,Colombia,1,22,10,4,0,23,0,0,0,6,14,120,3,46,6,0,15,0,17,0
Mongolia,El Salvador,0,0,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Mongolia,Guatemala,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Mongolia,Madagascar,0,0,0,0,0,2,0,0,0,0,4,0,0,86,0,0,0,0,9,0
Mongolia,Uzbekistan,,,,,,,,,,,,,,45,182,519,128,88,3065,
Mongolia,"Congo, Democratic Republic of the",,,,,,,,,,,,476,3,59,0,31,0,1,13,
Mongolia,Haiti,,,,,,,,,,0,1,0,0,0,,,,,,
Mongolia,Palau,,,,,,,,,0,,0,119,2,25,0,,,,,
Mongolia,Bermuda,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,
Mongolia,Sudan,,,,,,,,,0,0,2,93,1,0,1,,,,,
Mongolia,Myanmar,,,,,,,0,0,22,0,0,0,25,12,1,1,20,0,0,
Mongolia,Lao People's Democratic Republic,,,,,,,0,0,0,0,0,0,0,0,0,4,0,0,,
Mongolia,Nepal,,,,,,261,144,72,71,116,100,111,34,57,293,714,527,231,358,
Mongolia,Congo,,,,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,
Mongolia,"Palestine, State of",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,
Mongolia,Montenegro,,,0,1,1,1,1,2,0,1,0,0,0,0,0,1,0,0,0,
Mongolia,Nigeria,,,0,0,0,0,0,0,0,4,5,10,4,1,1,0,0,0,162,
Mongolia,Antigua and Barbuda,,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mongolia,United Arab Emirates,,21,,0,0,,,,180,1,13,1090,6,384,98,273,69,1147,457,
Mongolia,Netherlands Antilles,,0,2,15,0,,,,,,,,,,,,,,,
Mongolia,Papua New Guinea,874,,,,,,,15,62,,,,,,,26,52,0,,
Mongolia,Andorra,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,22,
Mongolia,Kuwait,16,,64,240,137,27,14,7,8,14,70,3,11,15,140,41,81,40,67,
Mongolia,Suriname,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
Mongolia,Mauritania,0,0,,14,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,
Mongolia,Togo,0,0,,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,
Mongolia,Cuba,0,13,5,,,,,,,,,,0,1,0,0,0,0,3,
Mongolia,Seychelles,31,0,0,,0,3,1,1,0,0,0,7,3,0,0,1,0,4,2,
Mongolia,Mongolia,0,0,0,794,,,0,0,0,0,0,2,0,0,0,0,0,0,238,
Mongolia,Angola,0,0,0,30,,0,0,886,51,0,0,0,0,0,0,0,0,0,1,
Mongolia,Saint Lucia,0,85,0,0,0,,,,0,0,6,0,0,0,0,0,0,,,
Mongolia,Mali,0,0,0,0,0,,0,0,0,,,,0,0,24,0,0,0,0,
Mongolia,Grenada,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,9,0,0,
Mongolia,Bangladesh,153,129,619,155,250,0,0,185,79,0,,2538,,,,,,,,
Mongolia,Qatar,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,112,0,0,0,
Mongolia,Sri Lanka,20,1,0,17,33,18,92,22,0,153,2808,5830,2118,7330,,3746,1,0,6,
Mongolia,Albania,0,0,0,0,0,1,1,0,1,1,3,0,0,3,5,6,1,0,4,
Mongolia,Azerbaijan,0,47,99,0,21,57,0,83,0,20,41,0,23,93,0,76,68,15,148,
Mongolia,Bahrain,0,0,0,1,2,0,0,1,0,9,8,7,1,7,2,19,6,5,29,
Mongolia,Armenia,0,0,0,10,49,0,4,0,0,0,0,0,0,0,0,51,0,0,9,
Mongolia,Barbados,0,0,1,0,0,1,0,4,0,0,0,0,10,0,0,0,0,0,0,
Mongolia,Botswana,0,0,70,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,
Mongolia,Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,0,0,3,1,
Mongolia,Burundi,0,0,0,0,0,0,0,43,0,1,0,0,0,0,0,0,0,0,0,
Mongolia,Cambodia,23,0,208,31,4,0,24,627,32,11,0,1,2,29,2,0,0,7,4,
Mongolia,Benin,7,0,0,0,0,0,0,59,0,2,6,0,0,101,412,1171,5696,534,888,
Mongolia,Dominican Republic,0,0,0,19,19,717,0,0,1,1,0,3,0,71,0,1,0,0,1,
Mongolia,Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,
Mongolia,Fiji,0,2,6,12,0,1,7,1,3,9,33,1,34,6,0,3,1,28,22,
Mongolia,French Polynesia,1,0,1,1,10,0,0,0,0,0,0,1,0,1,1,11,20,16,23,
Mongolia,Georgia,0,2,0,20,0,0,0,763,0,0,0,0,4,2,1,0,0,25,0,
Mongolia,Gambia,0,0,0,0,0,0,0,3,0,3,23,0,0,0,0,0,0,0,2,
Mongolia,Guyana,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,0,0,0,0,
Mongolia,Indonesia,156,35,231,313,439,385,28,2185,63,2969,19223,839,11779,9535,6815,2,1123,2098,2401,
Mongolia,"Iran, Islamic Republic of",0,0,0,270,8,1008,7247,218,684,307,0,0,158,13957,11187,13712,2448,2682,7517,
Mongolia,Israel,0,3,1,0,358,137,25,23,50,39,41,9,11,88,77,259,77,99,918,
Mongolia,Côte d'Ivoire,0,0,0,0,0,2,0,0,0,0,0,882,0,0,0,2,5,1,0,
Mongolia,Kazakhstan,752,425,1084,690,1070,1126,629,1446,1847,841,623,1105,869,2308,2823,1742,1788,2441,7076,
Mongolia,Jordan,0,0,0,0,0,28,0,0,0,0,0,0,1,0,2,0,0,0,0,
Mongolia,Kenya,0,0,23,0,2,13,189,281,189,285,193,66,38,24,132,0,0,1,0,
Mongolia,Kyrgyzstan,20,24,154,1991,3282,162,418,455,1132,408,1714,2131,511,273,175,16,0,7,357,
Mongolia,Lebanon,212,94,29,31,17,24,55,62,6,147,21,26,55,180,142,106,161,136,13,
Mongolia,"Macao, China",4,0,0,0,0,119,0,1,1,0,25,0,0,0,0,0,13,51,33,
Mongolia,Malawi,0,0,0,0,0,3,0,0,12,41,7,0,0,0,0,0,0,3,0,
Mongolia,Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,
Mongolia,Mauritius,0,70,0,74,94,0,0,34,4,2,3,9,16,19,2,3,6,2,0,
Mongolia,Mexico,11401,14994,7551,6533,1943,1577,6747,19545,3959,5005,134,82,133,59,42,20,207,23,12,
Mongolia,"Moldova, Republic of",0,390,43,0,0,0,1,0,1,1,0,0,2,1,0,2,32,5,0,
Mongolia,Morocco,64,0,0,0,0,0,4,0,1,8,16,2,1,53,25,267,268,120,260,
Mongolia,Mozambique,0,0,1,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,0,
Mongolia,Oman,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,2,0,
Mongolia,Namibia,0,2,0,0,0,24,0,0,0,0,1,17,0,0,2,0,0,0,0,
Mongolia,Nicaragua,0,0,0,1,0,7,0,0,0,0,0,1,1,0,2,0,0,0,2,
Mongolia,Niger,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,
Mongolia,Pakistan,249,23,124,195,0,18,0,16,9,1,43,33,0,0,1,0,0,0,7,
Mongolia,Philippines,0,6,2,1,2,96,1,0,114,1,29,560,128,3,1378,15,249,380,430,
Mongolia,Rwanda,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,
Mongolia,Saint Vincent and the Grenadines,0,0,0,0,0,0,1,5,2,1,1,0,0,0,1,0,0,0,0,
Mongolia,Saudi Arabia,0,0,0,146,248,453,378,234,2951,508,520,1026,4116,546,911,742,281,631,43,
Mongolia,Senegal,0,0,0,0,0,0,0,7,3,0,0,4,0,471,0,2,405,0,1,
Mongolia,India,274,141,3168,1836,25150,1860,2096,22875,13023,8764,3652,4621,2353,1816,854,1250,828,550,774,
Mongolia,Viet Nam,0,187,700,0,0,0,0,0,680,667,1498,21828,39294,53519,0,0,0,0,0,
Mongolia,Zimbabwe,0,0,3,0,2,0,2,1,0,0,1,0,0,1,0,0,0,0,0,
Mongolia,Trinidad and Tobago,0,0,1,0,0,0,0,0,0,24,1,0,0,0,0,2,44,1,0,
Mongolia,Tunisia,0,0,35,0,58,0,5,0,0,0,0,0,0,2,0,2,0,0,11,
Mongolia,Uganda,0,0,0,0,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mongolia,"Macedonia, North",0,0,0,0,0,0,191,645,7,0,17,28,5,40,1,2,10,0,0,
Mongolia,Egypt,4,77,25,121,0,197,121,145,145,79,219,41,115,34,159,41,82,9,16,
Mongolia,"Tanzania, United Republic of",0,0,0,0,94,9,32,0,0,0,9,13,55,0,4,6,0,6,50,
Mongolia,Burkina Faso,0,0,0,0,0,0,0,0,0,1054,0,57,0,106,0,0,55,2,168,
Mongolia,Uruguay,14,8,16,20,4,10,0,0,6,9,3,0,0,0,0,5,1,1,1,
Mongolia,Samoa,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
Mongolia,Zambia,0,0,21,0,0,13,0,0,0,0,0,5,16,50,0,1,8,115,0,
Mongolia,Belarus,0,13,54,0,38,44,0,2,0,25,727,45,69,125,342,49,154,15,,
Mongolia,Cameroon,0,0,0,0,0,0,0,0,250,0,0,1,118,98,0,0,1,0,,
Mongolia,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,
Mongolia,Honduras,12,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Mongolia,Russian Federation,21363,22402,37605,48217,70904,63000,79101,89115,64257,40927,40438,43822,35909,41236,43264,33603,38339,43086,,
Mongolia,Eswatini,0,0,0,0,0,0,23,0,0,23,0,0,0,0,0,2,0,0,,
Mongolia,Ghana,0,0,0,1,0,0,16,0,0,0,0,1,2,0,35,0,,,,
Mongolia,Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,1,29,13,,,,,
Mongolia,Greenland,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
Mongolia,Algeria,119,45,349,25,22,3,12,0,50,2,0,37,1,36,,,,,,
Mongolia,New Caledonia,182,0,5,20,1,15,9,0,83,1,255,0,,,,,,,,
Mongolia,Yemen,58,0,0,0,0,0,0,0,59,0,0,0,,,,,,,,
Mongolia,"Micronesia, Federated States of",0,134,2,0,0,31,19,61,24,27,,,,,,,,,,
Mongolia,"Venezuela, Bolivarian Republic of",0,0,11,0,0,0,0,0,0,0,,,,,,,,,,
Mongolia,Sudan (before 2012),0,0,0,13,1,2,39,227,,,,,,,,,,,,
Mongolia,Syrian Arab Republic,0,0,41,0,0,38,139,,,,,,,,,,,,,
Mongolia,Faroe Islands,5,2,4,1,1,2,,,,,,,,,,,,,,
Mongolia,Serbia and Montenegro,11,,,,,,,,,,,,,,,,,,,
