reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Montenegro,Italy,0,0,0,218227,182683,62001,35345,53651,70837,36871,52763,48639,26618,21874,20698,19744,17130,67065,1119924,602034
Montenegro,Serbia,,,149166,133118,202269,179353,164806,130886,116818,155805,67044,62702,64519,57262,70411,77333,72650,93623,158271,156627
Montenegro,"Korea, Republic of",0,0,0,0,0,0,2,130,78,50,27,64,16,599,2270,238,3353,47212,320795,152655
Montenegro,Spain,0,0,0,2411,1950,1232,670,47,607,1144,131,256,272,172,1492,3056,2439,90781,30788,90822
Montenegro,Bosnia and Herzegovina,0,0,0,19829,29618,26247,30170,29014,36459,24552,48681,31951,28970,52050,32161,25134,21719,33053,86732,52755
Montenegro,Sweden,0,0,62,177,61,241,1204,375,2335,2510,2838,2783,2479,720,2884,4395,1557,2481,1913,48720
Montenegro,China,0,0,0,1349,2125,745,3064,12056,21458,16143,53560,24414,32617,66472,42190,43312,57384,11332,47206,40635
Montenegro,Germany,0,0,5034,10393,9132,5465,7493,23714,41990,47657,29339,21699,14491,15251,21619,21942,30908,29450,30914,38224
Montenegro,Finland,0,0,115,25,225,150,16,2,3,3,5,11,198,472,373,378,56,118,156,31194
Montenegro,Malaysia,0,0,7,51,1,79,15,43,31,399,14,31,271,79,22,30,3410,95,605,28026
Montenegro,Poland,0,0,186,266,454,699,1472,5765,5636,5935,10666,9969,13404,19895,26668,19252,16004,19225,31187,24463
Montenegro,Greece,0,0,76541,67182,96407,52394,77960,75133,65666,74813,55534,11578,325,325,5880,2714,8206,17595,12069,20929
Montenegro,Türkiye,0,0,762,157,1339,5845,6214,14588,17936,11638,7127,8001,23364,24081,14217,12912,18020,21208,35039,19619
Montenegro,United States of America,0,0,0,5574,494,16851,4144,4491,3728,1761,2778,2171,2037,2642,4429,3112,5802,8019,6171,17292
Montenegro,Latvia,0,0,0,0,0,0,0,4,2,0,13,26,3,209,58,70,1,2,76,13324
Montenegro,Croatia,0,0,316,6689,7073,56720,3521,5030,59338,5934,11280,4317,5272,5724,6010,5120,4819,6506,8888,11590
Montenegro,Slovenia,0,0,29637,36602,59375,24683,35199,37441,35056,28639,16921,10505,11787,13017,16816,13971,26961,20557,9482,8931
Montenegro,Ukraine,0,0,0,0,997,927,2311,1086,2982,1131,1083,4882,2711,3598,648,9805,1273,5909,9564,5905
Montenegro,Bulgaria,0,0,0,463,170,1213,1751,67,768,1431,3062,1284,1379,3744,5198,1101,838,1402,13377,5488
Montenegro,Belgium,0,31,118,195,672,370,1410,7375,8274,30459,34195,23467,22115,24950,23449,16019,1534,3443,194,5324
Montenegro,France,0,0,637,1615,2963,5097,2506,8279,5649,3624,4766,6026,3317,3772,6997,6768,4931,11688,10200,4905
Montenegro,Netherlands,0,0,83766,2151,14227,5305,11893,4768,4341,2275,32138,1540,2413,11901,8889,10695,14548,19736,6953,4480
Montenegro,Switzerland,0,0,0,512,248,344,261,1094,1702,2863,2548,5954,3888,4335,3929,3492,5203,5142,4160,4295
Montenegro,United Kingdom,0,0,2266,3164,7751,3086,4807,5965,5541,7947,2984,4626,5745,15502,9218,8193,6349,3719,3363,3757
Montenegro,Austria,0,0,2524,1627,2332,1471,6604,9547,4487,3760,2140,3522,5664,2575,3745,3880,3310,3346,3642,1886
Montenegro,Peru,0,0,0,0,25,11,91,13,0,8,8,9,52,65,54,45,34,4,22,1651
Montenegro,"Hong Kong, China",0,0,0,9,0,20,92,161,316,8406,343,269,585,1068,3018,805,385,814,624,1531
Montenegro,Cyprus,0,0,1,31,0,30,1,2,27,70,6,22,29,13,30,120,82,5807,64,1215
Montenegro,Hungary,0,0,0,119248,8605,17809,35917,68233,67976,4867,913,3132,42813,36884,58199,59974,29556,10374,5363,721
Montenegro,Canada,0,0,374,888,795,259,437,643,708,593,519,531,452,2482,3359,420,3594,9376,5462,677
Montenegro,Malta,0,0,0,0,1803,192,716,4194,357,1047,77219,2936,1755,942,249,864,14855,1089,781,675
Montenegro,New Zealand,0,0,0,0,8,9,3,13,38,12,65,8,19,34,35,45,430,214,134,516
Montenegro,Australia,0,0,0,0,0,48,162,253,1232,186,332,443,317,413,358,257,536,541,442,501
Montenegro,Singapore,0,0,0,0,0,0,0,536,524,951,296,1116,525,631,830,399,215,205,1052,473
Montenegro,Czech Republic,0,0,2106,4743,7681,1290,1583,1114,1601,2639,3448,2865,2105,2590,8281,6887,3039,2156,3142,434
Montenegro,Romania,0,0,0,124,5105,1603,4622,1743,4075,1222,683,490,520,900,652,858,1325,5021,727,376
Montenegro,Slovakia,0,0,127,320,903,335,972,1724,6899,2741,1690,333,323,162,65,402,447,633,386,255
Montenegro,Luxembourg,0,0,6,0,10,7,86,135,92,68,9,107,135,62,62,35,353,519,367,232
Montenegro,Norway,0,0,0,238,389,227,282,206,206,252,174,3149,42,296,161,145,307,784,219,195
Montenegro,Denmark,0,0,231,1982,80,1025,12,17,30,15,37,22,110,27,173,50,32,90,136,192
Montenegro,Japan,0,0,27,3,567,28,996,2284,2039,4061,3162,3438,2774,1500,412,359,641,468,357,187
Montenegro,Thailand,0,0,0,0,3,13,147,292,95,255,348,111,110,88,70,231,187,25,69,156
Montenegro,Portugal,0,0,606,2,0,0,1,0,1,0,0,16,26,79,5,32,3,14,24,140
Montenegro,South Africa,0,0,0,0,0,0,0,0,0,13,1341,692,110,1253,17,46,16,42,99,111
Montenegro,Lithuania,0,0,13,105,58,106,1,3,0,4,8,1,100,18489,114,498,78,2,17,87
Montenegro,Brazil,0,0,0,5,41,14,1,1,0,453,335,181,145,208,122,58,61,10,15,52
Montenegro,Ecuador,0,0,0,0,0,0,0,0,0,0,1041,0,0,0,10,29,84,44,338,35
Montenegro,Ireland,0,0,138,604,29,155,19,42,12,18,37,25,8,210,22,24,92,106,32,31
