reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Morocco,France,2278954,2446776,2854539
Morocco,Spain,1091398,1314010,1818265
Morocco,United Kingdom,664480,712590,793179
Morocco,Italy,514243,496886,517068
Morocco,Germany,496636,515590,551778
Morocco,United States of America,434573,424855,415197
Morocco,Belgium,276398,286342,335697
Morocco,Brazil,106758,160076,223379
Morocco,India,253009,216990,232966
Morocco,Netherlands,194713,222446,272316
Morocco,Singapore,174441,181459,204925
Morocco,China,84349,122148,160972
Morocco,Japan,290517,326563,213330
Morocco,Switzerland,47868,75926,84878
Morocco,Mexico,79073,86603,78900
Morocco,"Hong Kong, China",2242,8843,46139
Morocco,Türkiye,38194,68315,76990
Morocco,Syrian Arab Republic,63107,76090,88159
Morocco,New Zealand,81342,62570,66756
Morocco,Russian Federation,46754,58395,78117
Morocco,Austria,56235,55980,79952
Morocco,Poland,38412,38351,53287
Morocco,Canada,57880,54970,66539
Morocco,Portugal,45658,66045,67731
Morocco,Saudi Arabia,68643,31904,63728
Morocco,"Taipei, Chinese",72375,47790,41061
Morocco,Tunisia,64734,57571,46802
Morocco,Pakistan,,,18130
Morocco,Norway,30041,27201,36198
Morocco,Thailand,49743,62789,38668
Morocco,Greece,47302,44025,41353
Morocco,"Korea, Republic of",34836,49607,34820
Morocco,Algeria,6097,17466,19665
Morocco,"Iran, Islamic Republic of",34651,14780,40814
Morocco,Ireland,55954,42183,40939
Morocco,Czech Republic,12035,17942,22376
Morocco,Senegal,13233,16448,20631
Morocco,Finland,19557,21188,27401
Morocco,Lebanon,9331,16599,20048
Morocco,Croatia,14050,39744,16675
Morocco,Côte d'Ivoire,10210,12543,16382
Morocco,Romania,9760,10027,13737
Morocco,Australia,26304,18552,25273
Morocco,Jordan,11228,11178,14715
Morocco,Slovakia,4519,7390,9484
Morocco,Indonesia,12778,6543,3791
Morocco,Bulgaria,17489,10449,9879
Morocco,Lithuania,7002,9064,13542
Morocco,Belarus,8326,9621,10512
Morocco,Sweden,15372,7402,9984
Morocco,Kuwait,6775,6014,7842
Morocco,Slovenia,3407,4071,4951
Morocco,Egypt,20787,8134,8605
Morocco,Gabon,7867,0,5192
Morocco,South Africa,2107,5476,5901
Morocco,Malaysia,2324,3507,6754
Morocco,Mauritania,6588,8273,7106
Morocco,Mali,2761,5077,4629
Morocco,Denmark,5908,5868,6771
Morocco,Angola,,,
Morocco,Colombia,903,2627,2449
Morocco,Niger,909,1122,3213
Morocco,Argentina,6563,11075,3188
Morocco,"Venezuela, Bolivarian Republic of",3922,675,1946
Morocco,Cameroon,2559,4293,4185
Morocco,Guinea,3282,5673,
Morocco,Peru,3288,5331,4696
Morocco,Mauritius,2585,3068,3905
Morocco,Ukraine,985,877,2976
Morocco,Hungary,11042,15782,17248
Morocco,Burkina Faso,1077,1702,2723
Morocco,Cyprus,3589,4847,5956
Morocco,Yemen,,,
Morocco,Ghana,2944,,3174
Morocco,Serbia and Montenegro,873,2228,
Morocco,Benin,680,960,1986
Morocco,Estonia,1423,1303,2623
Morocco,Uruguay,4380,2710,88
Morocco,Qatar,750,604,1627
Morocco,New Caledonia,1876,1819,2148
Morocco,Chile,865,944,1135
Morocco,Malta,3053,4294,4860
Morocco,Iceland,920,1156,1596
Morocco,Cabo Verde,234,313,220
Morocco,Madagascar,1107,821,2566
Morocco,Israel,885,1325,1142
Morocco,Dominican Republic,149,726,837
Morocco,Bahrain,989,761,818
Morocco,Kazakhstan,361,555,752
Morocco,Luxembourg,1365,785,1283
Morocco,Andorra,804,1092,1293
Morocco,Mayotte,686,1054,986
Morocco,Gambia,587,333,683
Morocco,Honduras,50,154,152
Morocco,Trinidad and Tobago,4,71,120
Morocco,Oman,808,2631,876
Morocco,Bosnia and Herzegovina,,,683
Morocco,French Polynesia,509,666,926
Morocco,Philippines,367,2622,173
Morocco,Togo,739,690,727
Morocco,Sri Lanka,140,459,352
Morocco,Comoros,86,258,681
Morocco,Ecuador,677,0,176
Morocco,"Micronesia, Federated States of",,0,28
Morocco,El Salvador,50,3263,399
Morocco,Papua New Guinea,62,865,530
Morocco,Viet Nam,47,69,76
Morocco,Mozambique,36,38,110
Morocco,Ethiopia,110,12342,214
Morocco,Guyana,79,34,79
Morocco,Cuba,47,351,280
Morocco,Sudan (before 2012),232,1574,364
Morocco,Latvia,158,333,680
Morocco,Costa Rica,270,15,161
Morocco,Zambia,42,1,197
Morocco,"Macedonia, North",20,139,87
Morocco,Faroe Islands,70,106,141
Morocco,Bangladesh,5281,251,207
Morocco,Suriname,0,,
Morocco,Jamaica,0,61,93
Morocco,Rwanda,2,45,0
Morocco,Zimbabwe,107,70,0
Morocco,Cambodia,8,8,4
Morocco,"Macao, China",16,67,95
Morocco,"Tanzania, United Republic of",10,5,112
Morocco,"Moldova, Republic of",13,16,37
Morocco,"Bolivia, Plurinational State of",60,32,81
Morocco,Guatemala,9,19,0
Morocco,Guinea-Bissau,,,1373
Morocco,Panama,7,10,58
Morocco,Malawi,603,0,26
Morocco,Azerbaijan,17,12,10
Morocco,Barbados,44,28,16
Morocco,Kyrgyzstan,17,31,58
Morocco,Nicaragua,0,18,21
Morocco,Uganda,1,18,65
Morocco,Albania,0,50,0
Morocco,Fiji,,0,0
Morocco,Mongolia,0,,0
Morocco,Belize,0,0,7
Morocco,Saint Vincent and the Grenadines,12,0,0
Morocco,Seychelles,0,0,0
Morocco,Botswana,0,4,4
Morocco,Bahamas,0,0,1
Morocco,Armenia,0,0,15
Morocco,Brunei Darussalam,0,31,28
Morocco,Georgia,18,0,0
Morocco,Greenland,0,0,91
Morocco,Grenada,2,1,1
Morocco,Kenya,595,562,607
Morocco,Namibia,1297,14294,10379
Morocco,Paraguay,0,0,15
Morocco,Saint Lucia,2,0,16
Morocco,Nepal,,,3
Morocco,Eritrea,,,76
Morocco,Sierra Leone,,821,
Morocco,Central African Republic,87,93,207
Morocco,Nigeria,2608,3952,4102
