reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Morocco,France,2454796,2519369,3103222
Morocco,Spain,1340708,1601234,2133615
Morocco,Germany,613676,681837,1016037
Morocco,Italy,726022,766103,988685
Morocco,China,299880,451261,695786
Morocco,United Kingdom,533715,529267,583629
Morocco,United States of America,282152,565430,468499
Morocco,Netherlands,251833,284181,346554
Morocco,Belgium,222184,291078,345934
Morocco,Russian Federation,148120,196772,111237
Morocco,Brazil,189098,234997,226466
Morocco,Türkiye,98149,138331,180779
Morocco,Japan,119444,136884,183072
Morocco,Algeria,175377,145418,167801
Morocco,Argentina,117073,98162,175276
Morocco,Singapore,19486,47742,107917
Morocco,Switzerland,100589,115367,145087
Morocco,Portugal,95172,112186,146450
Morocco,Saudi Arabia,100348,68741,118363
Morocco,Ukraine,91507,105890,77580
Morocco,"Korea, Republic of",106456,95293,128323
Morocco,Ireland,108111,106747,124630
Morocco,Sweden,121677,157820,162164
Morocco,Canada,157498,112830,101521
Morocco,India,50329,102934,103228
Morocco,Finland,69477,56154,60617
Morocco,Poland,42618,43064,38525
Morocco,Tunisia,40844,50920,54064
Morocco,South Africa,96542,101405,61463
Morocco,Austria,34571,32512,46012
Morocco,"Taipei, Chinese",36214,39935,56098
Morocco,Egypt,25672,30896,84225
Morocco,Greece,16903,29352,31687
Morocco,Denmark,18607,52696,25822
Morocco,Syrian Arab Republic,63145,60386,70646
Morocco,Indonesia,23955,23384,32194
Morocco,Thailand,16697,17495,24559
Morocco,"Hong Kong, China",30049,27927,31338
Morocco,Malaysia,15688,14530,18323
Morocco,Romania,30975,38426,35790
Morocco,Czech Republic,11265,9133,9623
Morocco,Norway,22968,7501,16968
Morocco,Colombia,1163,1590,3683
Morocco,Qatar,969,5862,7830
Morocco,Australia,24532,41647,4507
Morocco,Croatia,7223,5777,1107
Morocco,Gabon,9360,11312,10730
Morocco,Bulgaria,6428,5673,8872
Morocco,Pakistan,,,15629
Morocco,Hungary,9858,13500,16547
Morocco,Cameroon,8469,10437,11011
Morocco,Côte d'Ivoire,12107,12480,15854
Morocco,Uruguay,2099,6073,8435
Morocco,Bahrain,5249,8645,10286
Morocco,Luxembourg,13668,9391,9321
Morocco,New Zealand,11107,11117,9390
Morocco,Chile,7916,6579,9381
Morocco,Philippines,4577,9275,12751
Morocco,Israel,9957,6637,6745
Morocco,Viet Nam,1731,3034,3332
Morocco,Slovakia,2504,6342,3811
Morocco,Kuwait,6355,10444,4423
Morocco,Lithuania,256,277,265
Morocco,Madagascar,844,1032,4134
Morocco,Lebanon,4018,2120,3800
Morocco,Senegal,1233,2971,3502
Morocco,"Iran, Islamic Republic of",2452,3489,6209
Morocco,Slovenia,1935,2492,1577
Morocco,Mali,1198,614,765
Morocco,"Venezuela, Bolivarian Republic of",4434,3176,3696
Morocco,Malta,1114,1510,2133
Morocco,Benin,4379,8996,3192
Morocco,Togo,1997,2656,4133
Morocco,Uganda,0,122,590
Morocco,Jordan,3394,2387,1674
Morocco,Mexico,3332,9067,1333
Morocco,Estonia,3261,3607,2538
Morocco,Malawi,452,1850,1010
Morocco,Sri Lanka,974,626,892
Morocco,Peru,848,359,297
Morocco,Serbia and Montenegro,125,24,
Morocco,Cuba,0,0,286
Morocco,Sudan (before 2012),63,165,0
Morocco,Bangladesh,805,798,1015
Morocco,Iceland,3073,224,88
Morocco,Latvia,1023,655,2672
Morocco,Kenya,261,461,1237
Morocco,Oman,947,967,311
Morocco,Ethiopia,1712,3001,1063
Morocco,Belarus,4883,6986,16606
Morocco,Cyprus,1989,1642,1770
Morocco,Papua New Guinea,0,0,0
Morocco,Guinea,5589,1677,
Morocco,Ghana,1223,,848
Morocco,Costa Rica,262,260,348
Morocco,Zimbabwe,179,1278,33
Morocco,Guatemala,116,323,4630
Morocco,"Tanzania, United Republic of",414,447,378
Morocco,Ecuador,155,120,95
Morocco,Dominican Republic,710,0,868
Morocco,Bosnia and Herzegovina,,,29
Morocco,Mauritania,57,13,40
Morocco,"Macedonia, North",50,10,152
Morocco,Yemen,,,
Morocco,Paraguay,71,304,432
Morocco,Niger,131,6,31
Morocco,El Salvador,98,0,79
Morocco,Rwanda,1,0,0
Morocco,Mozambique,0,8,53
Morocco,Albania,47,121,0
Morocco,Mauritius,337,943,1010
Morocco,Nicaragua,346,282,28
Morocco,Kazakhstan,304,6111,18
Morocco,"Bolivia, Plurinational State of",0,0,0
Morocco,Saint Vincent and the Grenadines,0,0,0
Morocco,Faroe Islands,0,0,0
Morocco,Namibia,25,27,115
Morocco,Suriname,0,,
Morocco,Guyana,1,0,80
Morocco,Honduras,110,20,136
Morocco,Cambodia,0,0,3
Morocco,Zambia,21,263,0
Morocco,Mayotte,0,0,0
Morocco,Andorra,10,0,31
Morocco,Saint Lucia,0,0,0
Morocco,Angola,,,
Morocco,Botswana,0,15,0
Morocco,Fiji,,13,0
Morocco,Azerbaijan,24282,0,0
Morocco,Barbados,0,30,5
Morocco,Brunei Darussalam,0,3,0
Morocco,Burundi,1,0,0
Morocco,Gambia,0,0,15
Morocco,"Macao, China",0,14,3
Morocco,New Caledonia,0,1,0
Morocco,Trinidad and Tobago,436,701,2524
Morocco,Burkina Faso,0,98,47
Morocco,Nepal,,,2
Morocco,Central African Republic,0,0,23
