reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Morocco,Spain,2281457,2627170,3087127,4101183,4171134,3344599,3641261,4313330,4015090,4689737,5420773,5359156,6254995,7117887,7912117,7779618,7269547,8635052,8929050,9569816
Morocco,France,3202890,3238061,3197461,3687559,4227579,3453869,3758017,4382952,4209395,4416214,4818006,4534478,4712813,5646019,6281594,6255929,5720982,7324918,7334629,8002872
Morocco,Germany,564968,570860,646031,677938,686370,624619,747569,963192,932713,1032003,1121923,1061586,1096581,1169811,1391191,1515492,1502369,1767900,2065357,2928974
Morocco,United Kingdom,973037,854422,811363,961982,859361,576716,550178,679835,714471,790076,955823,883595,870190,849778,885994,793691,739724,1325920,1846898,2253124
Morocco,Italy,576509,614134,679818,856524,895917,587625,696592,853836,754772,871030,935386,884204,925186,1135315,1209977,1256698,1191994,1527908,1711319,2135809
Morocco,United States of America,553069,477528,559154,663896,950941,519974,752280,1065606,994586,1032860,1054926,1065205,1059611,1291486,1615895,1650299,1095837,1337509,1798591,1771826
Morocco,Brazil,279714,350102,369266,595250,1215311,371375,715170,1249090,1337723,1501806,1315097,739784,655335,867653,913774,952684,1126300,1917952,2064308,1411775
Morocco,Türkiye,105778,143231,173902,198460,360520,234729,396798,419945,429482,579508,638135,710636,918164,924062,715715,713306,642097,922436,1017707,1352458
Morocco,China,214082,277448,359406,423892,461059,375014,452322,475628,558416,531428,518504,528613,549114,644184,711068,633347,595611,824651,909513,981431
Morocco,Belgium,384109,508120,468260,523940,940906,452498,572448,622174,811791,1016512,809425,403371,337969,375877,403374,427823,517628,595368,992020,894459
Morocco,Netherlands,243035,263533,256313,334986,514004,366656,443002,460673,458874,448883,468633,465871,395233,437371,580467,649205,706158,764166,721561,718173
Morocco,Canada,71141,124485,149997,203547,138641,121556,137205,120359,154221,187727,283474,321983,319216,325279,348861,348902,290995,510437,522532,576823
Morocco,Romania,21286,25720,20116,20137,76059,49725,56608,78807,107350,122673,150167,142889,161945,182506,216404,224663,218691,322608,447673,538286
Morocco,Portugal,71102,70128,90692,117612,103754,81722,145185,193565,201444,190798,181272,179802,171555,171945,202485,223782,209095,314441,366479,500874
Morocco,"Hong Kong, China",111118,151910,199103,220774,182320,108974,147246,152639,124259,90703,105470,104284,100391,110208,121279,101845,109038,196008,369030,455497
Morocco,Argentina,4926,18746,63410,55752,86704,58786,105698,143385,111507,44788,50183,33678,107401,133768,175790,200708,245299,326233,506499,427514
Morocco,Switzerland,138956,140436,192867,172674,170816,194550,66647,70535,342745,320761,250667,231185,230434,278662,248572,276308,273797,336385,381916,369208
Morocco,Slovenia,8422,10015,8643,15561,14112,16758,17171,16153,15230,18954,21628,19034,24481,34367,58907,89407,69139,93087,94247,358920
Morocco,Japan,138989,164427,198019,321241,361601,236813,253810,332304,224852,279585,243338,261647,271199,300026,314545,269577,299008,357789,462316,300390
Morocco,Poland,72727,83301,97769,133342,286314,110902,156166,232649,230270,251032,287156,307219,312926,384826,536878,452849,617386,869019,960092,282611
Morocco,Sweden,9960,8303,10049,28547,20785,29299,31893,45172,27807,42478,50569,88601,99403,135784,140157,130060,117832,158082,174148,281482
Morocco,Czech Republic,32105,34757,43376,60699,73118,59431,61506,63097,54152,77976,102543,123443,159772,180989,220339,207703,225352,290866,401818,274878
Morocco,Singapore,225123,283468,297154,306387,247514,154211,186750,190132,160860,160867,153733,114469,113390,120834,143562,175541,150770,149372,170287,212741
Morocco,Norway,49800,53495,49762,64436,132183,60082,88124,119069,147909,152713,139471,140402,132810,125246,120100,100584,110527,158184,237048,193710
Morocco,"Korea, Republic of",40994,55537,87322,105410,173283,108932,153485,137257,218120,165709,236869,154189,158638,187066,181717,160096,172267,222092,260209,177800
Morocco,Greece,44329,51227,48674,86369,68214,43322,23153,23634,14547,23841,24327,28162,50492,116210,21924,43963,60031,107462,130650,146443
Morocco,Australia,19474,62945,53376,58541,231865,27751,62104,94350,43073,28166,78868,31037,49087,43919,32162,40284,38839,91236,250068,140492
Morocco,Hungary,3066,3650,2573,3197,5679,3575,4140,7586,4903,9185,13851,8149,15552,7948,7798,45520,55247,69163,78683,121195
Morocco,South Africa,7193,7661,6746,8650,12482,12612,18780,15555,36338,24816,25263,86734,80511,56787,70089,78894,63347,66386,124119,120476
Morocco,Slovakia,13215,27959,39635,48814,61247,53055,58655,56680,59458,78899,70513,51438,52254,87238,104201,141351,134724,138347,208777,109958
Morocco,Austria,87398,72185,75004,88158,109204,93831,99963,105816,111399,148395,171281,159875,165644,196747,224040,201281,200783,220565,251524,109868
Morocco,Ukraine,3308,5114,3350,3592,5939,4155,9156,17074,64575,53850,35461,28481,33437,39083,42764,100550,91940,124519,51788,101787
Morocco,Bulgaria,12886,25708,41558,66801,56376,31914,3558,34945,26678,20951,57732,79477,103828,126527,161600,113703,59609,102576,80561,99506
