reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Morocco,Spain,2701083,2789356,3269131,4203733,5405618,4305184,4616424,5747342,6806647,7330949,7750954,6797375,7891638,9074753,9724014,9534025,8439404,11235684,12347119,13118855
Morocco,France,3444213,3753511,4039150,4830298,6260056,4823036,5281155,6005564,5179012,5120289,5019874,4174360,4727575,4750330,5188893,5335596,4691351,5366152,6651542,6793060
Morocco,China,943480,1206426,1569526,2182695,2348926,2129258,2484472,3042649,3131193,3271645,2962993,2901954,3126765,3185421,3690128,4034545,4173568,5689731,5741095,6477166
Morocco,United States of America,498308,480793,875552,1343011,1518769,1606101,1947614,2823307,2170397,2483741,2102226,1624803,1932700,2218491,2999798,3501600,2301438,2794499,3512381,3752347
Morocco,Germany,1220249,1150697,1375896,1754184,2213300,1847313,1859998,2162778,2099096,2146725,2282876,2083815,2184936,2309690,2401163,2456259,2177692,2576307,2980329,3495804
Morocco,Türkiye,330059,370825,551377,721595,957769,598541,623957,920896,1014906,1310501,1447520,1337555,1469782,1657718,1989587,2346785,2057266,2977121,3092239,3061831
Morocco,Italy,1152143,1231078,1441118,1973304,2477187,1909566,1885047,2043855,1756177,2029599,1876832,1627712,1782215,2128560,2394555,2312735,1953161,2604026,2965560,2992667
Morocco,Netherlands,481327,622309,641529,1176692,990567,996294,894082,1111593,1185812,898854,1071891,942129,1127601,1104842,1222813,1187406,1082905,1470708,1646532,1579758
Morocco,Belgium,408309,480283,694880,738705,818415,750340,853224,1013558,1091241,1070942,1104093,843277,945814,959811,1122547,1099070,975730,1349541,1563079,1383936
Morocco,Brazil,348182,414203,391521,438075,510628,538004,703982,810280,872290,689129,568289,494287,488509,615050,496375,478510,666012,565413,1067603,1238133
Morocco,Portugal,178772,160296,203658,265915,391912,299271,400077,539958,590499,972538,780132,753216,787701,824516,871424,801254,715123,1026539,712636,1101775
Morocco,United Kingdom,624886,480459,564382,627681,903068,468270,814756,876672,959977,700861,944424,732687,1134650,994109,914430,812118,561009,779021,1104367,1057764
Morocco,Romania,26423,67662,73484,120849,141577,142378,220099,305608,381007,524921,468227,424350,556396,612552,659852,657007,517364,687847,835561,1001784
Morocco,Poland,84127,111994,135888,152348,344488,141234,139881,198948,241188,284642,433194,317440,309232,255582,366174,336920,409719,611471,668727,913553
Morocco,Czech Republic,23717,37472,40622,153804,86133,97092,118675,153892,141395,206843,226580,210742,251409,316830,399751,430177,335747,546718,577138,713391
Morocco,Canada,122963,174894,148934,227125,287340,329586,181571,302754,368821,429001,360063,239994,259226,306830,353358,341552,454566,400097,585290,589565
Morocco,Argentina,208870,199615,232664,353113,491221,123898,235464,423892,516054,484526,536290,333011,368736,509121,374561,611691,487799,679274,943938,485161
Morocco,Singapore,191657,173590,244558,231508,157992,109761,173310,182931,148849,137784,143679,126837,111783,125702,151685,223444,111179,174582,327519,455440
Morocco,Switzerland,184966,205454,245824,251012,360642,288485,286283,328096,294323,283915,338652,297045,300542,340925,344403,355816,325701,380267,434205,447892
Morocco,"Korea, Republic of",162259,207888,222718,390287,390761,302203,322780,362317,508492,292682,308287,349478,543480,274982,331525,322550,272211,309622,357974,392260
Morocco,Greece,40752,29328,56751,63746,72019,192114,192443,71152,79155,252756,72866,37091,91263,112573,154536,95478,64902,173113,320971,343726
Morocco,Slovakia,7757,29789,24925,34963,80615,95111,50511,66853,61412,83992,116001,111380,129557,120121,193625,238025,145527,237853,249152,303146
