reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Myanmar,China,497349,724747,910224
Myanmar,Singapore,423007,524171,651938
Myanmar,Thailand,354290,324598,439530
Myanmar,Syrian Arab Republic,0,0,1140
Myanmar,"Korea, Republic of",232054,143461,184011
Myanmar,Malaysia,197012,239217,140230
Myanmar,India,57658,73939,76612
Myanmar,Japan,186897,115678,123347
Myanmar,"Taipei, Chinese",170632,147173,113479
Myanmar,Indonesia,68978,54361,45659
Myanmar,"Hong Kong, China",63677,63652,43985
Myanmar,Germany,16134,17754,14553
Myanmar,Russian Federation,33398,87905,10656
Myanmar,France,10517,10452,11096
Myanmar,Australia,19833,9061,7938
Myanmar,Viet Nam,5360,7125,12526
Myanmar,United States of America,11447,10141,6864
Myanmar,Italy,10779,3173,5490
Myanmar,Ukraine,7495,24692,40514
Myanmar,Philippines,6207,3690,3935
Myanmar,Austria,3147,3203,5520
Myanmar,Netherlands,5039,4398,5199
Myanmar,"Iran, Islamic Republic of",1008,2922,3747
Myanmar,United Kingdom,13611,11020,8172
Myanmar,New Zealand,7148,7823,3797
Myanmar,Serbia and Montenegro,2400,2489,
Myanmar,Bangladesh,1763,710,2371
Myanmar,Pakistan,,,5343
Myanmar,Switzerland,1721,6208,2322
Myanmar,Brazil,1001,835,4562
Myanmar,Belgium,7215,6059,3266
Myanmar,Israel,339,1245,1952
Myanmar,Ireland,1360,1223,431
Myanmar,Spain,829,1318,1846
Myanmar,Canada,356,361,352
Myanmar,South Africa,237,585,590
Myanmar,Denmark,1051,1064,1010
Myanmar,Costa Rica,292,323,267
Myanmar,Finland,798,874,218
Myanmar,Czech Republic,776,551,423
Myanmar,Cyprus,439,419,251
Myanmar,Sweden,698,231,2456
Myanmar,Cambodia,39,56,8
Myanmar,Türkiye,52,648,141
Myanmar,Zimbabwe,0,0,13
Myanmar,Sri Lanka,593,274,238
Myanmar,Kuwait,87,101,1855
Myanmar,Hungary,274,3164,108
Myanmar,Saudi Arabia,3115,5125,0
Myanmar,Argentina,20,0,61
Myanmar,Colombia,117,30,137
Myanmar,Oman,1,205,92
Myanmar,Estonia,12,18,76
Myanmar,Brunei Darussalam,130,10,21
Myanmar,Ethiopia,70,67,1
Myanmar,Bahrain,0,0,0
Myanmar,Luxembourg,243,368,44
Myanmar,Mexico,201,95,67
Myanmar,Tunisia,0,0,0
Myanmar,Uruguay,0,0,180
Myanmar,Poland,52,0,0
Myanmar,Portugal,89,94,51
Myanmar,Norway,97,138,39
Myanmar,"Venezuela, Bolivarian Republic of",0,0,12
Myanmar,Albania,0,0,0
Myanmar,"Tanzania, United Republic of",232,589,0
Myanmar,Greece,273,8,12
Myanmar,Belarus,173,0,2278
Myanmar,Dominican Republic,0,0,0
Myanmar,Guatemala,0,0,43
Myanmar,Madagascar,0,0,0
Myanmar,Timor-Leste,,,
Myanmar,Latvia,2,4,7
Myanmar,Bulgaria,0,1,23
Myanmar,Burundi,0,0,42
Myanmar,Chile,1765,2,0
Myanmar,Croatia,0,834,0
Myanmar,Cuba,1650,0,0
Myanmar,Iceland,0,0,0
Myanmar,Jordan,0,24,0
Myanmar,Kenya,179,10,0
Myanmar,Lithuania,0,14,0
Myanmar,"Macao, China",612,125,15
Myanmar,Mali,4,0,0
Myanmar,Malta,28,0,2
Myanmar,Mauritius,47,1,1
Myanmar,Mozambique,0,5,0
Myanmar,Qatar,0,1428,0
Myanmar,Romania,0,10,69
Myanmar,Slovakia,5393,786,68
Myanmar,Slovenia,9,0,0
Myanmar,Togo,2,0,0
Myanmar,Egypt,20,18,68
Myanmar,Nepal,,,6
