reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Myanmar,China,206940,274395,252650,378140,647549,646122,966087,1679873,1298226,2856867,15601279,5301349,4153067,4529452,4718842,4793015,5068977,6845051,11493541,9548432
Myanmar,Thailand,1354084,1787181,2341368,2301431,3410948,2781574,2813866,3268318,3673985,4032926,3916723,3544062,2368740,2487070,3032115,3284071,2815188,2815056,3543255,3032088
Myanmar,Japan,179871,203572,245996,295067,315451,341256,385935,590014,672133,759296,860665,863597,936620,1066334,1281477,1413829,1304675,960528,1441029,1540373
Myanmar,Germany,130088,112635,128163,124771,99107,81802,79108,84659,56463,73261,134619,219495,354024,629884,1012138,1168406,1272841,1119433,1646644,1311209
Myanmar,United States of America,0,82,10,0,0,91,0,0,38,31234,95903,150126,253288,379430,511494,852992,1073542,995503,1135525,901576
Myanmar,Spain,47210,22533,44530,47725,55555,45130,47895,43231,32910,43201,56474,74157,106586,207074,401988,697335,720442,648293,913255,592233
Myanmar,"Korea, Republic of",30093,56257,96433,80689,116254,78350,159892,298681,351164,487892,579718,505677,458614,463287,536194,595206,465268,445690,629081,542054
Myanmar,France,92147,52156,48300,28392,23527,10102,5275,4164,7840,38945,83083,117415,163386,253557,390409,450581,471020,404644,584230,527651
Myanmar,Poland,4029,4948,6420,3564,4401,4188,3613,6059,3322,3615,10606,31022,40916,83149,160233,194233,358075,541157,621341,504745
Myanmar,United Kingdom,208499,88704,78758,61863,67134,55037,54969,69285,64688,87831,126477,157004,206421,296742,389675,484885,380486,370872,680814,491591
Myanmar,Italy,60897,35374,38038,49865,6464,6906,7950,7739,15141,26957,42821,62383,105048,144105,280881,348757,285656,289761,556555,465647
Myanmar,Netherlands,27300,15303,18523,17159,10341,10215,8454,8849,14185,7332,25801,37933,75682,126255,173078,246894,243712,265099,337047,313327
