reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Nauru,Thailand,108,64,25,66,5,4,771,449,8,28,23,55,17,12,2,11606,70369,100315,128839,156807
Nauru,"Korea, Republic of",483,1092,1846,9883,87111,3777,25045,44724,43098,23127,3827,136,3997,4786,3145,3897,3642,17762,25522,17851
Nauru,New Zealand,7,8,37,4,14,2509,8732,7398,14144,15691,8589,3,3264,2267,32,47,3086,1,43,10787
Nauru,Japan,1374,225,440,331,40,132,6211,1651,3362,3818,3268,4662,4941,6414,2520,2662,1619,3063,3656,2603
Nauru,France,62,107,105,612,532,600,648,384,576,606,866,1146,1624,1864,1643,1687,2323,4770,3306,2501
Nauru,Canada,55,878,36,54,123,119,59,42,125,256,42,275,200,153,245,296,50,188,258,1615
Nauru,United States of America,129,158,287,605,792,128,226,335,492,613,586,537,1098,1579,2942,4122,3764,2292,2586,1186
Nauru,Australia,53,162,239,5706,17604,485,5719,9090,9015,15305,5056,11345,5315,5954,3147,4673,300,2839,2669,412
Nauru,Singapore,0,0,0,0,0,0,0,0,100,813,127,43,37,1218,202,133,193,119,635,402
Nauru,United Kingdom,140,252,155,1143,54,50,512,0,53,167,63,104,53,20,271,63,90,585,3050,399
Nauru,Sweden,0,0,0,0,9,0,0,0,0,5,0,35,5,0,4,0,0,9,3,154
Nauru,Türkiye,4,8,32,16,1,7,17,57,100,84,31,20,69,34,8,18,42,63,13,114
Nauru,Colombia,0,20,0,6,6,7,8,70,1,88,19,0,4,0,14,2,0,53,71,72
Nauru,Spain,28,11,5,18,23,252,214,183,180,323,554,90,77,203,28,67,16,137,42,72
Nauru,"Bolivia, Plurinational State of",0,0,0,0,0,0,0,1,1,1,1,5,0,9,11,0,42,191,11,33
Nauru,Costa Rica,0,0,0,0,0,0,0,0,1,1,1,5,2,12,1,1,0,0,6,30
Nauru,Ireland,304,47,66,586,155,142,2749,73,55,98,87,54,67,46,30,11,2,31,4,22
Nauru,Norway,8,0,0,0,0,4,0,0,0,0,0,0,0,1,2,1,97,15,12,19
Nauru,Netherlands,0,14,69,0,0,0,72,3,2,6,2,17,17,2,0,32,0,223,0,14
Nauru,Madagascar,12,5,0,2,0,0,0,0,0,0,0,2,1,0,0,0,2,3,0,12
Nauru,Bosnia and Herzegovina,0,78,1,7,1,0,35,4,0,0,0,1,0,5,4,3,1,1,0,10
Nauru,Italy,17,0,0,0,234,17,6,0,12,2,4,213,7,0,0,0,0,34,2,10
Nauru,Germany,3574,166,29,0,4,32,0,0,1,6,5,18,15,13,2,22,36,46,117,8
Nauru,Chile,0,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
Nauru,Ecuador,0,0,0,0,0,0,0,9,0,7,4,0,0,11,3,0,8,8408,676,7
Nauru,Romania,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
Nauru,Ukraine,0,0,0,1,0,0,0,27,2,1,0,3,3,3,43,0,6,5,0,5
Nauru,China,0,0,0,0,0,0,0,9,62,37,13,92,16,85,121,26,82,107,107,4
Nauru,El Salvador,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Nauru,Peru,0,0,0,0,8,0,4,1,5,0,0,0,0,13,0,3,0,0,17,4
Nauru,Denmark,0,0,0,0,0,0,1,57,5,6,0,0,0,0,24,0,10,2,5,3
Nauru,Hungary,54,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Nauru,Argentina,3,0,0,0,0,0,0,2,0,17,1,0,0,0,0,0,0,0,0,2
Nauru,Brazil,0,0,0,0,0,5,0,9,4,0,1,0,3,0,0,0,2,0,24,2
Nauru,"Hong Kong, China",0,1,0,0,0,0,0,123,10,0,11,0,0,82,0,0,1,0,1,2
Nauru,Serbia,,,7,0,2,0,1,0,7,60,0,0,1,2,0,12,36,0,7,1
Nauru,Belgium,0,0,0,0,308,0,0,0,0,0,0,0,0,0,9,0,0,2,28,1
Nauru,Slovakia,1,0,4,0,1,485,3,11,6,24,18,42,53,105,10,4,14,8,1,1
Nauru,Austria,1,11,246,1,1,0,0,0,0,0,0,91,0,37,6,17,11,16,9,0
Nauru,Bulgaria,0,3,2,303,115,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,Cabo Verde,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,Croatia,1,6,2,0,14,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,Cyprus,0,199,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,Czech Republic,28,92,10,30,137,28,61,171,147,74,488,600,479,1327,3046,580,873,340,689,0
Nauru,Estonia,0,0,17,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,Finland,0,0,1,1,0,0,2,0,4,0,6,21,74,33,27,14,3,40,55,0
Nauru,Greece,26,1,2,0,2,3,0,0,0,2,0,3,0,0,0,0,0,0,0,0
Nauru,Guatemala,2,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,Iceland,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,1,0,0
Nauru,Luxembourg,0,0,0,0,0,4,5,0,51,35,13,7,10,2,1,54,7,5,23,0
Nauru,Malaysia,4,6,18,144,203,13,0,0,0,0,2,0,0,122,15,0,20,0,0,0
Nauru,Malta,0,39,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,"Taipei, Chinese",103,13,3,8,51,8,11,7,30,55,15,52,100,26,43,26,11,12,10,0
Nauru,Poland,741,154,2228,1436,274,0,0,758,560,404,247,76,19,138,159,46,10,24,226,0
