reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Nepal,United States of America,156045,120497,108153,97499,92302,59945,66162,83865,89553,83430,92281,92423,94424,97686,105146,97578,92591,117161,143258,143646
Nepal,Germany,58042,49299,49888,46211,47035,38126,41767,49788,40643,37758,37901,36986,32921,32848,32842,33018,26542,33208,40745,39227
Nepal,China,8231,8495,8285,14790,5976,5290,11416,13865,29520,43250,47067,22988,19449,15580,21992,33538,16154,26508,21774,34785
Nepal,United Kingdom,19895,18514,20829,19685,20039,19373,21093,25629,21379,23947,24528,27214,26239,26807,27070,22974,17189,21480,23951,26511
Nepal,France,18113,13538,14325,18303,21254,17590,20431,21603,19184,18750,19932,16492,15879,15188,15632,14212,12347,16775,20387,24673
Nepal,Türkiye,4532,4006,7489,6579,14412,3436,9616,10696,11513,12658,17405,15760,31298,54922,41131,26808,14389,16577,31660,13664
Nepal,Japan,7570,10111,8920,8349,11229,11487,9581,12133,15501,15376,15394,15933,12931,10864,10660,10273,7383,8762,10955,12987
Nepal,Switzerland,7766,4714,5014,6383,6724,6156,5521,5158,6733,8380,9266,9751,8024,8863,9951,9129,7835,9211,10271,11775
Nepal,Australia,1951,2517,2377,3249,4683,3912,7397,4460,5108,6126,6217,5371,6147,5730,5677,6064,5777,8163,9520,11458
Nepal,Canada,11328,10432,11575,13142,14537,11678,14937,15886,12304,11832,11790,11183,10679,10204,10604,10532,8228,9982,12114,11238
Nepal,Netherlands,4421,3652,3351,4090,4585,4007,4005,5194,6115,7518,6787,4623,4400,4118,4500,4530,3606,5266,7112,10725
Nepal,Italy,10281,10697,10302,9873,11768,9329,11239,11437,10841,9490,12000,11030,10668,11371,12215,9996,6431,7557,10064,9978
Nepal,Denmark,1767,2271,2058,2378,2615,2227,3165,3723,2552,3285,3111,2958,4013,4106,4411,3265,3851,5308,7289,7286
Nepal,Singapore,2558,2031,2836,1432,3264,3137,3154,2862,4721,5084,4512,5213,5968,3645,2840,3549,5336,1231,25106,5729
Nepal,"Korea, Republic of",798,778,936,607,968,1063,905,2237,1738,1537,2902,1912,1786,1907,2038,2921,2425,3813,4726,5361
Nepal,"Hong Kong, China",1240,931,1557,1380,3426,3031,3913,2527,3537,5017,3786,3897,3965,3256,2270,2321,2165,6606,5125,4517
Nepal,Austria,2472,2275,2276,2365,3451,2188,3697,4004,3434,3583,3171,2493,3424,3307,2963,2818,2521,3245,3877,3286
Nepal,Belgium,4307,5731,4353,4955,4466,4707,3881,4438,2993,2781,3716,2701,2917,3182,3415,2348,2100,3505,3502,3270
Nepal,Spain,4873,4792,4672,5254,5475,3555,3519,3673,3744,2995,3542,3448,2638,2852,2729,2483,1290,1838,2788,3060
Nepal,Norway,632,433,548,652,979,863,840,1437,1417,1934,3341,3115,2654,2456,2228,2362,1797,2411,2497,2847
Nepal,Sweden,1612,959,1072,846,1257,915,1023,1938,1147,1377,1274,1477,1440,1552,1284,1255,1392,1720,1964,2068
Nepal,Czech Republic,979,1144,887,1261,1796,1137,1221,1594,1816,3466,1873,3407,4110,2422,4269,2110,12510,1906,2991,2043
Nepal,"Taipei, Chinese",747,1021,870,819,1056,1156,1150,1531,1826,1976,3181,1831,1636,1368,2093,1576,832,1715,1685,2015
Nepal,Malaysia,282,312,341,449,1975,2534,749,1959,1280,436,1321,744,596,564,293,418,642,533,795,1454
Nepal,Thailand,1842,1201,503,719,351,616,341,1293,615,522,926,806,599,439,419,556,529,1065,916,1386
Nepal,New Zealand,435,449,615,736,668,630,1207,773,636,575,864,832,962,844,1003,1042,796,1410,1392,1270
Nepal,Ireland,116,180,220,247,272,292,293,421,485,789,509,373,388,612,598,451,282,1252,1305,1224
Nepal,Romania,43,1,57,48,128,62,29,19,30,86,66,82,122,139,173,152,105,239,272,781
Nepal,Hungary,56,89,138,113,232,272,389,446,273,334,696,331,297,389,573,425,248,515,425,641
Nepal,Poland,415,277,348,461,558,357,435,228,353,175,266,289,312,336,486,499,502,919,1109,598
Nepal,Finland,423,410,423,355,444,506,662,627,1003,723,1016,1094,1012,1090,1258,785,685,644,845,572
Nepal,South Africa,227,302,2024,612,1125,717,959,1108,1074,831,748,775,879,692,563,506,379,311,385,526
Nepal,Portugal,502,5930,363,9701,8679,625,325,241,296,339,223,115,350,291,466,451,279,278,374,457
Nepal,Slovenia,188,385,154,339,188,319,352,151,257,358,370,319,285,282,357,214,189,175,265,331
Nepal,Greece,438,276,232,291,489,410,321,308,357,611,601,388,292,302,189,243,202,254,260,232
Nepal,Chile,27,49,268,109,192,209,271,257,317,314,257,177,208,181,198,174,235,311,279,202
Nepal,Brazil,141,162,245,411,541,868,840,838,955,786,1006,567,350,349,151,138,141,246,466,194
Nepal,Iceland,39,117,105,84,191,77,196,133,33,83,160,163,115,315,76,99,259,1168,144,192
Nepal,Croatia,463,411,445,664,641,877,691,770,550,147,210,125,119,160,104,144,77,48,101,159
Nepal,Slovakia,70,259,92,91,243,586,489,191,185,148,78,62,249,178,121,108,64,167,99,150
Nepal,Lithuania,12,6,17,42,28,28,27,31,27,38,41,57,51,50,56,66,75,243,104,90
Nepal,Bulgaria,13,32,38,38,62,314,10,55,12,19,69,16,13,30,22,21,14,64,52,89
Nepal,Latvia,8,57,26,28,9,13,27,19,13,29,38,46,49,51,40,36,6,65,148,85
Nepal,Serbia,,,26,95,272,179,50,39,37,20,13,37,49,18,13,16,23,70,80,71
Nepal,Cyprus,30,30,7,15,10,19,27,48,46,35,29,25,34,28,25,7,28,26,37,60
Nepal,Malta,0,0,7,1,2,3,2,22,62,19,15,22,5,7,4,33,11,29,64,57
Nepal,Estonia,17,17,35,37,24,33,11,36,81,66,93,65,97,119,60,81,42,52,62,46
Nepal,Peru,4,11,14,8,30,32,40,27,117,51,155,86,119,173,61,94,1,25,30,42
Nepal,Luxembourg,21,6,15,67,208,197,147,100,34,23,101,38,79,57,105,94,70,107,124,38
Nepal,Argentina,2,3,64,16,65,122,162,257,417,205,291,58,243,561,11,4,6,10,26,27
Nepal,Costa Rica,13,14,30,44,29,7,8,4,1,1,9,9,8,6,8,13,17,5,35,21
Nepal,Ukraine,34,53,194,58,76,75,93,170,58,82,8,44,78,49,225,123,29,31,12,18
Nepal,Guatemala,0,4,9,6,1,2,0,0,3,0,0,1,3,2,0,0,0,0,3,13
Nepal,Bosnia and Herzegovina,77,65,36,26,241,19,33,17,4,8,0,6,15,14,12,20,11,1,1,7
Nepal,"Bolivia, Plurinational State of",0,0,0,2,5,1,2,1,0,0,0,0,0,2,0,1,1,2,1,5
Nepal,Paraguay,2,1,1,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,3
Nepal,Colombia,3,9,13,24,67,0,45,44,41,102,36,38,19,11,18,24,27,17,20,2
Nepal,Ecuador,13,5,6,2,2,1,0,59,1,229,106,0,13,1,3,16,2,15,7,1
Nepal,Belize,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Cabo Verde,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,El Salvador,0,0,5,1,0,1,16,0,0,0,3,0,0,0,0,0,0,0,1,0
Nepal,Madagascar,2,0,5,3,20,0,22,0,0,0,13,164,32,0,74,18,0,38,0,0
Nepal,Cayman Islands,,,,,,,,,,,,,,,,,1,2,,
Nepal,Liberia,,,,,,,,,,,,,,0,1,30,0,48,20,
Nepal,Uzbekistan,,,,,,,,,,,,,,80,0,288,7,22,8,
Nepal,"Congo, Democratic Republic of the",,,,,,,,,,,,0,787,0,0,0,0,10,46,
Nepal,Tajikistan,,,,,,,,,,,0,0,10,0,0,0,0,0,0,
Nepal,Sierra Leone,,,,,,,,,,,0,0,0,3,3,,,,,
Nepal,Haiti,,,,,,,,,,21,46,68,5,2,,,,,,
Nepal,Bermuda,,,,,,,,,19,5,13,10,2,15,6,9,5,6,2,
Nepal,Sudan,,,,,,,,,2,1,0,39,0,0,0,,,,,
