reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Nepal,China,163244,187936,259796,386358,375612,408889,731257,1181226,1968162,2210887,2283579,830006,870531,971085,1078402,1482478,1167416,1950333,1655008,1768937
Nepal,Singapore,56868,35437,33861,42342,56920,66419,82557,84582,105429,114994,96581,72748,73298,100301,108629,140885,121232,174122,152441,185448
Nepal,Germany,19378,24007,29109,39983,31342,25845,30115,23178,27545,42792,39003,167227,32314,173114,54315,48433,31739,43768,36177,99689
Nepal,Australia,9218,5558,5443,27914,30290,47755,22084,11603,21189,14213,15802,28987,34349,40115,35590,28562,46356,170737,102723,98985
Nepal,"Hong Kong, China",30856,18101,19449,27073,22211,25701,34950,55577,56212,160828,200685,145385,158968,245083,221095,188270,130440,237222,97507,69502
Nepal,United States of America,25019,24705,16642,28816,28695,31002,28269,40354,37014,32514,36272,36414,40458,75852,55514,122511,93649,196664,258267,62796
Nepal,Malaysia,7097,9033,10474,12423,16208,19410,39249,34509,33780,31339,27280,19153,28923,28397,33104,38724,36568,56051,57947,55373
Nepal,Thailand,37293,25187,24690,38136,52356,78240,69932,64448,63295,55753,57959,53445,66172,66115,80964,102683,40262,57034,51688,45408
Nepal,Türkiye,1027,4502,2682,1246,843,5104,8605,14235,3231,3413,22102,47247,10005,39885,53119,56078,38836,96239,29259,42487
Nepal,Belgium,12435,14051,13143,8537,15544,5230,7019,4694,6231,8198,26154,25367,19842,20765,23337,18464,19954,59359,24848,41777
Nepal,France,10857,12684,10257,11554,11134,21789,21137,17600,23485,9246,21953,18208,23634,18675,276050,21641,12751,22548,36352,35934
Nepal,Japan,22656,19330,22272,43965,50936,46074,43150,37337,46186,27285,34160,44056,45543,32964,52578,38540,45410,41889,34677,33736
Nepal,"Korea, Republic of",23116,13756,12390,18727,23723,29139,32293,37842,19045,17013,20033,25590,25442,34484,35037,48171,59745,85355,36985,30563
Nepal,Netherlands,3577,5687,6688,8525,7655,9106,8405,11460,14448,16060,20174,16075,18799,27467,24346,18243,20057,31489,37906,28613
Nepal,"Taipei, Chinese",2927,2539,1691,4691,5059,6103,7187,8265,6801,7901,8325,5996,7491,9583,24898,10733,9682,10563,9050,27625
Nepal,Canada,9064,4978,8667,10257,3911,3663,5340,6401,6564,9999,9998,17685,7412,11382,81788,93509,107915,49654,32780,27210
Nepal,Ukraine,5416,2229,89,1880,1453,1670,1262,4429,5871,5045,3784,9425,19034,14177,17723,14726,22961,29564,16655,23855
Nepal,Italy,4194,3905,4406,6123,7301,6874,8043,9598,10697,14786,19155,15553,17567,15434,44853,36025,14525,19215,26145,19701
Nepal,Switzerland,3611,4023,3903,9307,29298,108054,15412,16803,24595,34195,65680,77233,40928,116468,80339,84168,25436,50577,22467,14103
Nepal,New Zealand,5900,7890,9641,6876,6665,11262,8581,13121,6054,5209,9697,8052,8323,5601,6500,7839,7195,10335,10561,12462
Nepal,United Kingdom,12058,10506,8428,11044,12329,9913,14165,16652,13824,12688,12968,15641,13904,13207,15788,21404,9436,12059,14122,11649
Nepal,Romania,17,3,62,0,0,142,4,0,0,15,119,81,93,587,906,247,15,333,162,10815
Nepal,Sweden,1616,1306,384,1765,8634,3202,1080,1022,11916,899,5056,13468,1557,4245,1887,7613,7791,2012,5441,9184
Nepal,Austria,1744,1668,1282,1215,1230,2028,2485,2149,3003,3256,8238,2218,5483,5636,4766,4880,17790,7343,14302,8965
Nepal,Spain,1757,2436,1814,3614,4908,3207,5326,3052,3694,4246,8503,3734,3659,5722,5830,7499,4240,6364,8196,6712
Nepal,Guatemala,528,433,762,313,48,139,0,0,0,8,3956,1827,5692,9615,723,1730,233,742,2870,6070
Nepal,Poland,4439,205,136,383,70,625,958,840,340,1146,1232,617,1221,5106,2715,19342,1610,3559,6776,6053
Nepal,Czech Republic,1011,798,712,1121,1822,1734,2115,3166,2083,2523,8039,11502,3595,3604,6381,3778,2203,7842,3429,4142
Nepal,Denmark,1777,2230,1386,3273,2086,2707,4004,1811,2307,5200,2582,2423,3582,7507,6791,5041,2465,3582,2779,4097
Nepal,Argentina,665,117,100,27,33,165,246,5507,163,2205,4361,6833,6591,4479,3673,2116,3640,11039,7380,3149
Nepal,Bulgaria,150,232,852,57,412,630,315,324,395,736,232,970,1559,629,1522,2579,2433,1769,450,2095
Nepal,Lithuania,44,85,148,2,43,5,2,3218,1681,345,69,56,157,1767,623,2739,3297,5781,5474,1656
Nepal,Brazil,129,992,473,634,41,344,813,462,290,290,147,840,1131,2760,2330,2374,3422,4110,7779,1542
Nepal,Ireland,72,25,45,183,82,87,79,89,410,428,507,657,629,1057,2938,1063,853,4426,1205,1017
Nepal,Slovenia,23,29,1,0,433,3,15,14,38,22,335,309,182,751,127,512,490,937,1952,797
Nepal,Hungary,158,98,99,115,220,361,59,154,239,236,683,591,619,804,2250,573,466,1362,458,773
Nepal,Norway,486,435,822,785,400,348,216,832,552,811,978,992,575,1255,1847,2643,2177,1035,811,707
Nepal,South Africa,4253,2087,939,3147,2085,3268,640,1635,1361,1735,1077,1768,2799,21509,3584,1736,680,849,1077,515
Nepal,Greece,311,409,61,40,262,19,109,171,101,62,31,119,67,86,288,134,241,420,617,463
Nepal,Finland,1165,811,704,1091,594,720,3093,3161,3035,2232,3190,1583,787,762,774,529,473,1115,437,426
Nepal,Latvia,3,3,1,14,21,75,139,111,242,251,176,181,180,185,334,366,431,574,718,415
Nepal,Peru,234,156,167,0,0,36,0,3,0,15,40,45,37,100,198,180,79,206,192,341
Nepal,Madagascar,0,0,0,0,0,5,21,0,0,105,0,112,14,172,153,233,194,10,125,272
Nepal,Portugal,21,24,27,0,0,36,84,31,739,37,142,75,25,699,311,1597,217,308,150,261
Nepal,Chile,78,6,111,39,38,90,39,65,109,70,312,190,208,122,538,299,249,193,216,205
Nepal,Slovakia,1966,38,3,12,26,89,718,789,252,205,351,469,333,3389,100,165,253,2340,401,189
Nepal,Cyprus,18,30,33,198,137,55,3,0,17,37,25,39,122,1766,212,227,112,224,117,62
Nepal,Croatia,216,11,17,80,58,67,15,18,3,1,14,543,39,55,122,56,37,68,0,51
Nepal,Serbia,,,102,4,4,0,8,0,1,7,0,32,92,41,53,96,55,128,124,45
Nepal,Estonia,15,0,0,0,7,0,10,0,0,7,0,0,6,23,25,17,33,62,143,45
Nepal,Luxembourg,205,751,3,0,9,100,404,6,3,824,333,162,22,0,233,366,67,991,143,40
Nepal,Costa Rica,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Nepal,Malta,824,29,46,42,15,137,55,121,4752,5407,210,308,315,337,237,430,143,37,0,2
Nepal,Ecuador,0,0,0,0,0,1,20,0,0,0,0,3,0,0,0,0,0,0,0,1
Nepal,"Bolivia, Plurinational State of",0,0,0,0,0,0,1,0,0,0,0,0,188,0,0,8,0,519,0,0
Nepal,Bosnia and Herzegovina,0,6,0,0,2,0,0,0,8,0,0,0,0,0,88,0,0,1,29,0
Nepal,Colombia,0,8,0,1,390,0,2,1,3,0,3,14,4,0,0,5,62,0,0,0
Nepal,El Salvador,0,0,0,0,0,0,0,1,17,0,6,4,0,0,0,0,0,0,0,0
Nepal,Iceland,0,0,0,0,3,0,1,1,0,801,1,1,0,0,0,0,0,0,0,0
Nepal,Paraguay,0,0,0,0,0,0,0,0,0,0,6319,2528,5801,0,0,0,0,0,0,0
Nepal,Uzbekistan,,,,,,,,,,,,,,0,77,0,0,110,21,
