reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
New Zealand,Australia,6444982,6866766,6738632,7955249,7867169,6221601,7356810,7926787,7416403,6841888,6990501,6123003,6498293,6854321,7120544,7075557,6926982,8532321,9111634,8395126
New Zealand,China,1077366,1353438,1619781,2162268,2509531,2085362,2764512,3736693,3864558,4131684,4737939,4922088,4814379,5099502,5799192,5736305,6052988,8560938,9175428,7873920
New Zealand,United States of America,2072877,2592077,2928546,2813173,2569715,2159433,2819063,3506792,3125315,3220332,4255675,3630673,3575016,3923286,4060168,3946988,3195463,3724038,4182431,4359152
New Zealand,Singapore,946318,1162535,1395225,1557328,1930087,1362246,1706643,2126583,2087982,1874691,2229535,1727438,1455598,1798502,2252700,2278977,1838209,2232162,4207134,3390147
New Zealand,Japan,2289736,2445019,2095340,2495632,2522328,1506142,1900537,1925660,1959535,2190629,2369187,2119643,2196446,2470322,2615994,2336611,1853291,2931471,3033064,2905130
New Zealand,"Korea, Republic of",620181,670306,672981,699025,824785,890760,918464,1103835,1465066,1491210,1738703,1263043,1305131,1305816,1743547,1391829,1462612,1920527,3490137,2856250
New Zealand,Germany,833544,864578,914988,1037445,1116292,859466,951990,1225905,1297256,1445145,1437219,1196607,1212282,1507994,1764359,1921423,1366905,1871894,1963676,1719854
New Zealand,Malaysia,447508,537148,675261,746556,1064072,540474,930860,980919,1169054,1381482,1601337,1034533,733502,1050031,1186268,1130392,907339,1066666,1588486,1625277
New Zealand,Thailand,329284,518837,527896,618484,740311,541741,799820,854747,1026956,1160930,1237171,1303973,1414173,1638912,1651447,1524645,1226974,1860334,1834465,1347075
New Zealand,United Kingdom,750298,742293,668544,694741,670418,513083,604097,813735,903581,941366,1065330,862890,953242,1116772,1203649,1071857,905218,1144532,1082841,1241534
New Zealand,Netherlands,183691,222395,203147,247551,287467,222564,226228,271272,332171,407856,422202,400685,457991,576299,648203,707759,630980,808662,756423,826741
New Zealand,Italy,432883,484920,417136,533034,552714,318397,372908,522029,481410,521847,554152,472286,522231,605730,651774,637975,621183,805292,746936,720586
New Zealand,France,587081,596309,396708,374936,483359,279720,315670,601447,437666,588527,662090,798284,589195,470025,542360,590611,415706,677622,563109,563967
New Zealand,"Taipei, Chinese",403957,456402,383536,544700,633003,296643,474130,432880,521437,562560,457910,427326,425479,468676,485261,480341,435573,643694,715183,464395
New Zealand,"Hong Kong, China",416726,468354,468889,521148,528567,413790,493006,533854,532962,532788,587094,582903,543588,535059,660574,673233,509393,549403,427489,416436
New Zealand,Canada,353116,295057,338447,374287,430349,264679,312199,385186,385477,384093,374250,372309,350811,380598,412722,375186,284521,348502,502691,339245
New Zealand,Belgium,211052,205287,185760,210205,229627,175624,247161,273178,252462,279981,254320,225600,246691,277862,315372,310676,281997,494862,333619,322884
