reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Nicaragua,United States of America,603625,707264,801545
Nicaragua,El Salvador,87941,97516,111573
Nicaragua,Honduras,26312,34133,41124
Nicaragua,Mexico,31361,27029,38018
Nicaragua,Costa Rica,38392,48910,51003
Nicaragua,Canada,28147,28970,29441
Nicaragua,Guatemala,32608,27284,28949
Nicaragua,Germany,38383,15090,11771
Nicaragua,Spain,12494,12441,17382
Nicaragua,United Kingdom,13468,9669,15860
Nicaragua,France,14434,11809,6203
Nicaragua,Japan,7427,6941,5412
Nicaragua,Dominican Republic,1839,4484,6954
Nicaragua,Netherlands,6863,5805,4972
Nicaragua,Italy,5661,5647,6549
Nicaragua,Finland,3797,3701,4123
Nicaragua,Belgium,5433,4062,4053
Nicaragua,Austria,5143,4913,3221
Nicaragua,"Korea, Republic of",52,63,325
Nicaragua,Panama,7203,3254,4394
Nicaragua,Ireland,2201,3549,3360
Nicaragua,Australia,996,978,2254
Nicaragua,China,87,32,365
Nicaragua,Sweden,1845,750,1561
Nicaragua,"Taipei, Chinese",741,434,668
Nicaragua,Switzerland,5547,2465,2056
Nicaragua,"Venezuela, Bolivarian Republic of",1025,2253,659
Nicaragua,Philippines,93,4,267
Nicaragua,Russian Federation,38731,20419,18030
Nicaragua,Portugal,1837,723,461
Nicaragua,Romania,101,359,559
Nicaragua,Colombia,1366,72,238
Nicaragua,Cuba,3254,2431,930
Nicaragua,Greece,133,200,1067
Nicaragua,Denmark,1574,984,559
Nicaragua,Poland,453,0,0
Nicaragua,Norway,315,321,716
Nicaragua,South Africa,216,1175,188
Nicaragua,"Hong Kong, China",675,254,592
Nicaragua,Slovenia,35,1,26
Nicaragua,Pakistan,,,25
Nicaragua,Peru,121,91,103
Nicaragua,Lebanon,7,3,11
Nicaragua,Thailand,19,88,283
Nicaragua,New Zealand,28,101,150
Nicaragua,Slovakia,32,3,40
Nicaragua,Zambia,407,168,61
Nicaragua,Czech Republic,611,357,83
Nicaragua,Croatia,24,31,40
Nicaragua,India,577,414,439
Nicaragua,Jamaica,0,51,236
Nicaragua,Namibia,8,0,0
Nicaragua,Malaysia,95,97,110
Nicaragua,Saudi Arabia,67,50,153
Nicaragua,Hungary,669,189,20
Nicaragua,Chile,7,52,9
Nicaragua,Viet Nam,113,0,131
Nicaragua,Indonesia,26090,157,141
Nicaragua,Sudan (before 2012),0,81,0
Nicaragua,Ethiopia,11,28,45
Nicaragua,Morocco,324,372,33
Nicaragua,Ecuador,169,114,58
Nicaragua,Iceland,7,7,9
Nicaragua,Bangladesh,57,261,133
Nicaragua,Ukraine,10,5,2976
Nicaragua,"Bolivia, Plurinational State of",77,55,21
Nicaragua,Belize,137,129,47
Nicaragua,Albania,0,0,0
Nicaragua,Israel,91,9,74
Nicaragua,Estonia,27,2,10
Nicaragua,Argentina,16,2,72
Nicaragua,"Macao, China",5,1,35
Nicaragua,Cyprus,2,4,42
Nicaragua,Paraguay,1,0,0
Nicaragua,Luxembourg,4,4,0
Nicaragua,Türkiye,76,13,13
Nicaragua,Faroe Islands,3,4,1
Nicaragua,Cambodia,0,56,0
Nicaragua,Gabon,0,0,0
Nicaragua,Serbia and Montenegro,70,31,
Nicaragua,Bahamas,0,0,38
Nicaragua,Andorra,17,25,14
Nicaragua,Belarus,12502,200,2
Nicaragua,Bulgaria,2,15,2
Nicaragua,Latvia,0,0,2
Nicaragua,French Polynesia,1,0,0
Nicaragua,Uruguay,2,1,6
Nicaragua,Bosnia and Herzegovina,,,0
Nicaragua,Fiji,,0,0
Nicaragua,Mauritania,0,0,0
Nicaragua,Uganda,27,18,2
Nicaragua,Ghana,0,,0
Nicaragua,Malta,2,0,23
Nicaragua,Rwanda,0,11,21
Nicaragua,Tunisia,0,0,0
Nicaragua,Mongolia,0,,0
Nicaragua,Barbados,3,1,3
Nicaragua,Mayotte,4,0,0
Nicaragua,Côte d'Ivoire,0,0,0
Nicaragua,Kuwait,0,162,11
Nicaragua,Lithuania,172,1,30
Nicaragua,New Caledonia,13,4,0
Nicaragua,Algeria,175,59,11
Nicaragua,Botswana,0,0,2
Nicaragua,Brazil,10,0,2
Nicaragua,Sri Lanka,0,2,0
Nicaragua,Guyana,0,0,26
Nicaragua,Kazakhstan,3227,1316,2607
Nicaragua,Jordan,17,21,0
Nicaragua,Kenya,5,4,3
Nicaragua,Madagascar,0,0,0
Nicaragua,Malawi,0,9,0
Nicaragua,Mauritius,0,16,0
Nicaragua,Mozambique,0,8,0
Nicaragua,Oman,5,0,0
Nicaragua,Niger,0,0,1
Nicaragua,Papua New Guinea,0,37,1
Nicaragua,Saint Lucia,28,2,0
Nicaragua,Singapore,11,2,0
Nicaragua,Syrian Arab Republic,0,0,1043
Nicaragua,Togo,0,0,3
Nicaragua,Trinidad and Tobago,3425,47,5
Nicaragua,"Macedonia, North",1,52,0
Nicaragua,"Tanzania, United Republic of",59,0,1
Nicaragua,Burkina Faso,5,0,0
Nicaragua,Sierra Leone,,14,
Nicaragua,Central African Republic,11,0,75
Nicaragua,Nigeria,5,0,726
