reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Nicaragua,United States of America,592428,625460,755170,890346,1093010,715043,981364,1058585,1128213,1059654,1008621,1267399,1479944,1586962,1629047,1618327,1424117,2152942,2576788,2370806
Nicaragua,Guatemala,174517,213216,141209,267182,327543,281816,352669,458945,473275,486919,513741,554819,569269,562222,540523,549803,662367,843901,998193,987004
Nicaragua,China,101593,113997,162719,212784,255614,193256,299554,422029,466856,522915,568134,668771,626172,625001,474952,502072,486434,794259,723535,826003
Nicaragua,Costa Rica,219915,275136,166665,315544,399469,332295,378900,455801,501327,498344,498019,522651,517297,537642,481189,453334,461343,579915,593427,692531
Nicaragua,El Salvador,128632,161287,201180,223780,255740,213028,244021,294816,320183,325547,340154,359604,338987,374030,397923,390994,356409,476142,496734,509791
Nicaragua,Brazil,44467,49362,60357,54988,64268,33362,67679,119907,96829,104980,96674,94037,103476,113893,94834,68824,62683,99141,151460,167957
Nicaragua,Argentina,13284,47032,56434,54601,18255,12911,11606,35517,25979,37875,29431,23440,31357,75402,31168,26657,43950,69472,128355,145755
Nicaragua,Japan,58901,75233,64856,82837,77803,35553,83698,98493,114931,75218,89315,95207,86725,84799,56986,38202,49201,95022,88248,137236
Nicaragua,Ecuador,24968,59782,48805,110954,61359,61298,75538,16919,18915,18223,19925,74215,75210,26642,33091,139565,45587,37225,51595,121892
Nicaragua,"Korea, Republic of",117092,129840,144048,175145,256413,163034,158640,197708,185640,188352,182277,148665,128194,106056,97563,70235,78971,79154,79148,83556
Nicaragua,Canada,13339,16180,16201,19667,25665,15955,38987,37682,45772,33223,25448,34531,23504,31522,21360,26402,38803,43227,66478,76574
Nicaragua,Germany,35462,36639,33156,33637,37014,26796,28065,37067,39777,52161,82073,66699,69087,67892,63631,53615,54991,66442,52245,63505
Nicaragua,Netherlands,6449,8956,16211,11707,11563,11278,19084,14023,56871,21641,14280,21538,17920,24695,27726,23789,24841,47852,41724,52242
Nicaragua,Colombia,6221,11134,9663,10254,9827,10975,7639,11219,8790,10535,9933,11650,13985,64643,85049,26859,33069,40048,44726,45893
Nicaragua,Spain,30933,33596,26569,41919,61101,39050,55234,43661,80964,57471,45485,46386,50105,58285,53247,58188,41801,49162,54623,45122
Nicaragua,Thailand,7126,8717,13067,25958,38462,17747,31019,30095,60235,68022,72654,98398,113397,28089,19929,12258,14663,25647,29185,42429
Nicaragua,Peru,10684,4154,6175,30542,9726,8978,11388,17213,15222,17685,21532,22932,29185,37147,37030,25020,22759,27863,28465,36568
Nicaragua,Hungary,10,96,157,102,208,197,618,133,400,681,1179,2201,4107,3004,2035,908,2202,2650,1721,31946
Nicaragua,Chile,8391,8656,25241,28006,54524,10157,13272,15772,20291,34276,35545,34590,34805,35415,35485,26236,26938,23953,26543,31126
Nicaragua,Italy,6427,9845,9599,9107,14374,13845,15408,37421,22682,24920,24824,23730,35487,31844,23676,16902,14188,21540,23684,30340
Nicaragua,Türkiye,2354,1933,1481,1251,2066,2236,1352,6546,8067,6505,3769,3646,4036,10857,14800,11590,12167,17392,13187,28015
Nicaragua,Belgium,15194,8432,11810,33646,14124,16193,11074,15103,13453,14128,16363,15313,19559,15764,10930,12700,10808,13554,36027,19473
Nicaragua,"Taipei, Chinese",41350,39534,38779,36585,22322,18302,33752,34241,46113,52829,48144,33223,23072,22346,26260,20289,23063,24383,21618,18050
Nicaragua,France,6271,9438,8694,6150,8806,7515,6013,11945,12641,13710,66717,23678,11515,11550,11162,10655,9569,10625,13007,12858
Nicaragua,"Hong Kong, China",38375,46856,75503,65073,33040,29413,37256,59240,61532,63922,69570,62716,57272,50574,55784,22376,33342,40731,11744,12639
Nicaragua,Sweden,16805,17869,8623,24597,15820,12709,14969,23632,18888,15202,20043,13835,20474,16959,8170,6385,9274,9819,9891,10441
Nicaragua,Switzerland,3048,1120,1562,17511,4968,2800,3174,5142,3953,5094,6417,9612,5083,6737,5383,4018,7425,5818,9684,9150
Nicaragua,Portugal,732,210,930,81,438,1591,846,827,1817,1598,1221,1576,2364,2857,3572,7887,9515,6000,7543,6087
Nicaragua,Denmark,4464,2666,701,2318,3378,2907,3002,2404,3748,1833,1805,2826,3429,4350,3258,4197,3116,4028,4169,5489
Nicaragua,Slovakia,23,21,25,21,1271,4737,501,135,0,2013,717,2337,2216,3518,655,187,79,9,1867,5165
Nicaragua,Singapore,0,0,0,0,0,0,0,2668,6844,3330,1731,2170,2088,2006,2373,1625,1089,4513,6494,5134
Nicaragua,United Kingdom,6708,4162,5739,5329,6984,3685,6947,5955,8847,9529,8439,13750,9737,8620,7205,5673,5098,5235,5283,4681
Nicaragua,Malaysia,4885,2203,6111,5170,7331,5816,7102,6183,4910,6077,5300,9275,7422,5021,13488,8656,4675,8225,7572,4076
Nicaragua,New Zealand,929,1296,18553,24470,25823,16055,23626,36149,26153,26778,23113,24127,17276,21379,18252,16237,8126,37,1929,2883
Nicaragua,Czech Republic,419,157,353,329,228,570,428,582,463,975,1360,1718,1455,1789,1617,783,1315,2159,3157,2704
Nicaragua,Austria,930,1931,1549,1345,4675,1009,2331,1855,6606,1617,2525,2591,6531,11836,2357,6796,1740,4817,2030,1627
Nicaragua,South Africa,1979,7175,10120,28162,18722,16987,848,567,1425,885,701,1693,1563,1059,1071,552,1308,2163,3208,1469
Nicaragua,Lithuania,43,18,95,9,18,23,3,17,24,24,191,424,254,852,205,148,207,832,7332,1415
Nicaragua,Poland,183,21,115,589,256,254,207,1379,310,289,2269,2373,1219,1656,1296,935,1910,5291,2737,1295
Nicaragua,Ireland,1236,2445,3403,3684,3749,2417,944,5504,3960,1693,3149,1374,730,1354,1310,1012,1173,856,649,1226
Nicaragua,Ukraine,7628,4842,9436,4551,1022,2845,5884,6033,353,10215,103,125,29,208,161,178,333,181,108,1015
Nicaragua,Bulgaria,9,14,963,63,83,7,24,55,29,123,28,201,562,513,1017,412,1323,1216,1193,945
Nicaragua,Finland,1606,1568,2167,1720,1525,1305,719,1045,654,815,2899,2959,591,979,497,356,828,1172,397,940
Nicaragua,Paraguay,257,175,205,355,521,113,325,444,4047,610,858,1351,6665,3170,543,618,478,161,631,619
Nicaragua,"Bolivia, Plurinational State of",42,222,84,155,386,1790,253,1199,2011,2584,580,389,291,273,420,327,420,11040,702,571
Nicaragua,Greece,73,8,215,370,455,260,230,361,375,136,2336,134,409,341,648,341,349,630,828,501
Nicaragua,Latvia,0,13,0,0,46,0,28,12,735,27,68,250,271,199,287,204,186,380,17988,475
Nicaragua,Serbia,,,0,0,0,0,0,0,0,1,0,0,1,0,2,179,212,70,366,238
Nicaragua,Estonia,15,1653,0,9,21,26,18,12,1746,399,333,414,411,427,57,77,1550,712,394,238
Nicaragua,Australia,541,386,1593,930,392,109,745,414,2426,1046,1480,2342,1319,1753,1112,591,480,6578,1245,233
Nicaragua,Slovenia,60,1,0,0,71,77,1066,365,207,107,101,89,410,312,76,27,27,137,68,228
Nicaragua,Luxembourg,84,9,164,509,106,86,48,298,75,70,81,369,7,0,46,576,12,1775,1624,189
Nicaragua,Cyprus,0,0,0,0,13,60,3,0,2,0,0,0,0,3,1,17,4,77,48,89
Nicaragua,Romania,304,0,40,13,10,2,122,170,5630,205,119,85,100,153,77,70,53,276,0,36
Nicaragua,Norway,1831,546,399,248,1606,763,95,175,130,831,90,15064,9631,1765,931,1173,618,238,160,28
Nicaragua,Iceland,3,0,0,0,13,39,21,674,0,0,748,536,37,592,826,82,193,0,3,16
Nicaragua,Belize,39,11,8,141,2,32,72,70,18,24,382,93,266,72,9,1,9,8,0,5
Nicaragua,Bosnia and Herzegovina,1,0,0,0,0,0,0,1,0,0,0,2,0,0,9,0,0,0,0,0
Nicaragua,Cabo Verde,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,Croatia,0,0,21,0,0,975,0,2413,0,0,27,4,0,3,3,25,0,0,5,0
Nicaragua,Madagascar,0,0,132,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,Malta,35,91,0,0,0,0,0,0,1769,0,0,0,0,0,0,0,0,8,0,0
Nicaragua,Liberia,,,,,,,,,,,,,,0,40,0,0,0,0,
Nicaragua,Curaçao,,,,,,,,,,,,,,0,228,62,0,,,
Nicaragua,Haiti,,,,,,,,,,9,44,1,0,23,,,,,,
Nicaragua,Sudan,,,,,,,,,0,0,15,0,0,0,0,,,,,
Nicaragua,Myanmar,,,,,,,0,0,0,0,0,0,1,0,25,0,0,0,0,
Nicaragua,Lao People's Democratic Republic,,,,,,,0,0,0,0,0,2,0,65,0,0,0,0,,
Nicaragua,Nepal,,,,,,0,19,6,6,10,3,0,56,2,62,0,0,0,0,
Nicaragua,"Palestine, State of",,,,0,0,0,0,0,0,0,0,0,0,10,0,547,0,0,0,
Nicaragua,Montenegro,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nicaragua,Nigeria,,,0,0,0,222,543,112,32317,124,0,41,0,12,150,328,472,889,1776,
Nicaragua,Antigua and Barbuda,,0,,3861,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nicaragua,United Arab Emirates,,235,,167,248,,,,3209,2439,3493,1525,611,1967,2556,4582,2687,8607,10781,
Nicaragua,Lesotho,,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,
Nicaragua,Netherlands Antilles,,48,0,0,0,,,,,,,,,,,,,,,
Nicaragua,Papua New Guinea,0,,,,,,,0,109,,,,,,,0,0,16,,
Nicaragua,Andorra,0,,0,0,0,32,42,59,126,0,0,0,0,0,0,0,0,0,0,
Nicaragua,Kuwait,0,,0,9,19,0,0,0,0,0,0,0,0,0,0,12,0,0,0,
Nicaragua,Suriname,0,0,,0,,0,14,0,0,6,0,2,18,0,0,0,0,0,0,
Nicaragua,Mauritania,0,0,,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,
Nicaragua,Togo,0,0,,0,24,30,0,103,1,0,0,0,0,0,0,26,0,0,0,
Nicaragua,Cuba,652,491,871,,,,,,,,,,1103,495,181,833,901,44382,766,
