reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Niger,France,91993,59108,75224
Niger,"Korea, Republic of",50720,82,177
Niger,United States of America,4639,947,4107
Niger,Japan,2808,465,6299
Niger,Switzerland,209,132,1042
Niger,Finland,28,28,4
Niger,Bangladesh,0,62,499
Niger,Spain,231,344,1028
Niger,Czech Republic,2,7,17
Niger,Germany,320,833,514
Niger,United Kingdom,10764,4240,8061
Niger,Ireland,1430,561,621
Niger,Burkina Faso,586,333,2691
Niger,"Tanzania, United Republic of",240,747,630
Niger,Canada,911,892,995
Niger,Mexico,30,24,2
Niger,Syrian Arab Republic,0,0,0
Niger,India,2063,7,1059
Niger,Netherlands,1527,3530,2186
Niger,Pakistan,,,8
Niger,Papua New Guinea,105,102,147
Niger,Côte d'Ivoire,8,35,148
Niger,"Hong Kong, China",117,114,243
Niger,Thailand,335,185,867
Niger,Malawi,227,64,545
Niger,Mali,232,95,220
Niger,Portugal,2701,1014,621
Niger,Italy,689,667,1321
Niger,Ghana,45077,,398
Niger,Sweden,0,2,6
Niger,Benin,13,0,132
Niger,Albania,0,0,19
Niger,Malaysia,879,995,80
Niger,Zimbabwe,84,25,11
Niger,Indonesia,342,5249,634
Niger,South Africa,100,9084,467
Niger,Lebanon,1,1,12
Niger,Poland,139,0,0
Niger,Zambia,289,1706,212
Niger,Togo,89,66,1195
Niger,Ethiopia,13,191,542
Niger,"Taipei, Chinese",2507,14,44
Niger,Slovenia,1,7,5
Niger,Estonia,0,2,0
Niger,Rwanda,8,0,6
Niger,"Micronesia, Federated States of",,0,0
Niger,Belgium,10364,10442,79
Niger,Gabon,83,0,3
Niger,Denmark,36,5,17
Niger,Mayotte,13,0,0
Niger,Kuwait,0,7,0
Niger,Serbia and Montenegro,1,0,
Niger,Australia,15,157,128
Niger,Tunisia,0,23,9
Niger,Luxembourg,11,1,1
Niger,Türkiye,40,45,272
Niger,China,0,0,0
Niger,Qatar,0,0,0
Niger,Uganda,4,151,61
Niger,Austria,108,329,232
Niger,Barbados,133,8,0
Niger,Hungary,0,1,7
Niger,Mauritius,5,14,0
Niger,Morocco,0,129,9
Niger,Yemen,,,
Niger,"Bolivia, Plurinational State of",0,0,9
Niger,Cyprus,0,2,1
Niger,Namibia,34,2,1547
Niger,Bosnia and Herzegovina,,,0
Niger,Ukraine,0,0,0
Niger,Bulgaria,0,0,0
Niger,Burundi,0,0,0
Niger,Cabo Verde,4,0,0
Niger,Croatia,0,0,0
Niger,French Polynesia,0,1,5
Niger,Gambia,8,1,0
Niger,"Macao, China",0,0,0
Niger,New Caledonia,0,0,0
Niger,Slovakia,8,4,6
Niger,Trinidad and Tobago,35,0,0
Niger,Fiji,,0,18
Niger,Guinea,4,0,
Niger,Faroe Islands,0,2,0
Niger,Algeria,0,0,9
Niger,Andorra,0,0,1
Niger,Argentina,0,0,0
Niger,Bahrain,0,0,1
Niger,Botswana,0,2,1592
Niger,Brazil,1613,0,2
Niger,Cameroon,0,1,0
Niger,Sri Lanka,0,4,0
Niger,Cuba,17,2,2
Niger,Dominican Republic,23,0,1
Niger,Greece,0,2,7
Niger,Greenland,0,0,25
Niger,Guyana,0,23,325
Niger,"Iran, Islamic Republic of",0,334,0
Niger,Israel,141,0,0
Niger,Kenya,266,159,451
Niger,Latvia,0,1,4
Niger,Lithuania,0,0,0
Niger,Madagascar,4,0,0
Niger,Malta,12,0,0
Niger,Mauritania,10,1,3
Niger,Mozambique,0,0,4
Niger,Oman,37,130,0
Niger,New Zealand,0,7,0
Niger,Norway,34,10,0
Niger,Peru,0,32,0
Niger,Philippines,0,17,85
Niger,Romania,11,0,3
Niger,Russian Federation,0,0,1
Niger,Saudi Arabia,60,0,0
Niger,Senegal,15,0,24
Niger,Seychelles,0,1,0
Niger,Singapore,9,0,0
Niger,Viet Nam,242,447,122
Niger,Sudan (before 2012),58,286,0
Niger,"Macedonia, North",6,0,0
Niger,Nepal,,,10
Niger,Eritrea,,,6
Niger,Nigeria,262,1221,1310
