reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Niger,China,24995,33900,71762,30735,166813,283717,272148,142167,158352,183941,243696,175158,101030,97703,114661,287335,303135,391587,675909,324649
Niger,Belgium,24289,35152,37081,87288,64201,46424,61740,102045,57222,93702,98746,87869,58549,63138,60455,65492,56749,65845,101780,110721
Niger,France,102055,109850,111514,159926,259933,228354,278673,234716,206189,227217,251317,198426,142562,169724,128068,142385,134986,128480,117394,81497
Niger,United States of America,34027,78512,129165,69309,50007,58243,48886,48152,37367,46091,58516,71606,66301,44301,61690,91802,144680,137431,95930,78061
Niger,Türkiye,3310,3884,3967,11114,15546,11005,14741,24474,38954,46551,35519,31297,23906,38162,56266,75597,58875,78183,183970,74997
Niger,Netherlands,19619,15611,32009,24542,45447,111275,54058,34042,142200,39439,41120,33669,16982,23408,59191,48648,34353,37784,39436,26289
Niger,Germany,42186,34123,27554,28351,45601,31663,25500,31230,33852,41700,42337,34183,18986,12752,25921,35951,69336,31549,38343,22224
Niger,Ireland,221,1079,1699,2213,1862,1583,5333,225,271,521,1270,254,3059,11097,5251,2516,9513,18246,37710,19571
Niger,Italy,51079,50748,25852,24502,25967,23846,37131,33427,30856,32905,47206,19556,16577,17999,21443,27584,13552,25071,23826,16626
Niger,United Kingdom,10520,11443,8548,7838,4671,6012,4376,12238,2812,10329,11090,10664,5141,8483,3315,5299,4731,14142,6688,15009
Niger,Spain,4017,3084,2546,3555,7363,6917,7548,9152,7832,9640,23362,8102,7389,9361,12987,12404,13982,14112,14283,11168
Niger,"Korea, Republic of",3848,2960,6453,3042,8099,7058,4097,5384,9296,4828,5206,2087,1915,3288,5629,6883,4302,7301,18345,10350
Niger,Canada,1640,4529,5668,6087,7476,4880,14205,9595,6575,4461,3188,4618,13738,4025,3738,4173,7634,5955,9572,8173
Niger,Malaysia,6659,2523,1447,4089,13795,10543,10837,7517,3612,5766,9251,7083,4044,6621,5010,10778,13322,5828,6639,6778
Niger,Poland,422,1064,607,1582,860,1435,2624,1676,2324,1607,2766,3316,1964,5567,4911,9113,16118,7685,9956,6705
Niger,Sweden,2142,488,2402,7519,5017,8297,4725,39852,10552,8880,11295,7161,8876,8800,8154,9347,5865,7997,8953,5821
Niger,Austria,616,177,564,969,5558,408,719,696,601,336,964,456,502,445,553,2621,5025,6567,5797,5755
Niger,Denmark,2044,5033,1880,1314,1044,1190,4531,1285,1904,2043,4207,2824,3740,2900,2857,4787,4773,4565,6569,5552
Niger,Switzerland,10538,13933,19177,16931,24865,17963,25386,25928,21163,21394,27437,21462,7699,11515,9706,10760,8864,10277,8949,5331
Niger,Thailand,1169,2654,2924,3750,11266,9470,17574,25700,40373,54356,37460,34150,21549,30219,19955,13808,13082,50336,29060,5124
Niger,Japan,3164,3900,4288,7711,17600,21049,17231,7401,9541,5304,3085,19627,7403,5274,5164,5904,6122,5820,7605,4446
Niger,South Africa,5125,5634,7739,8674,7604,3959,8821,7622,8386,7797,5129,3395,2386,3573,3069,7648,5953,6824,12459,4153
Niger,"Hong Kong, China",1034,1645,1826,1262,4191,1638,2659,3358,5724,8577,4066,24054,12335,4824,6187,3170,2900,1920,1075,3961
Niger,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3082,3181,3290
Niger,Czech Republic,30,423,581,569,244,144,225,726,1186,281,1161,1119,3699,609,1231,2389,1550,893,481,2753
Niger,Brazil,2908,554,2413,1773,961,4724,1219,2054,1748,1228,1039,755,485,790,27677,24535,1704,2751,2628,2041
Niger,Singapore,0,0,0,0,0,0,0,5143,6075,10161,15050,5149,1094,977,423,1328,3544,1407,1523,1903
Niger,Hungary,33,211,305,152,353,631,301,188,818,1531,1275,844,1091,1092,710,2216,1819,1134,858,1694
Niger,Argentina,5679,8129,11072,7472,13526,11695,15436,23478,13359,10565,20302,11311,4860,3106,1759,3824,2642,4090,2884,1612
Niger,Portugal,697,378,649,441,179,2331,145,317,130,796,1079,3081,1561,3393,1373,10988,5498,4352,1553,1417
Niger,Luxembourg,341,177,3121,82,145,445,91,58,1059,633,674,474,297,0,328,724,1003,824,797,786
Niger,Bulgaria,2307,755,748,99,159,112,361,322,342,337,1060,891,608,474,307,723,1193,4530,1130,696
Niger,Cyprus,68,37,0,4,0,0,11,22,0,0,117,755,392,1118,432,0,985,99,198,643
Niger,Chile,272,36,0,1,3,87,22,1,0,43,4132,5280,36,78,0,11,67,227,342,633
Niger,Lithuania,12,60,14,53,76,20,2,68,8,0,179,22,58,11,13,8,714,299,1167,633
Niger,Australia,1760,1837,4476,2537,1692,294,95,317,509,183,213,223,1870,2831,252,81,122,117,437,572
Niger,Serbia,,,401,325,393,118,0,17,68,21,748,93,54,0,0,6,481,5,133,432
Niger,Finland,385,1930,526,431,729,650,550,374,1374,1235,24,117,21,371,211,272,328,440,1314,352
