reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Oman,China,4278487,4138913,6129474,6722949,11626847,5409904,9779204,14876688,16974957,21040613,23795856,15061979,11966072,13170395,18821414,19650155,15659425,28587514,36239772,31327965
Oman,"Korea, Republic of",2474980,3705112,5128708,3813862,5694692,4124492,4095900,5362787,5305683,4782219,4596738,2888239,2367325,2332887,2775737,2677007,2176821,2999022,5306465,5365275
Oman,South Africa,3739,124466,202488,416533,150574,117100,62991,709131,142405,324266,505207,474317,363582,612813,1123988,927735,662745,1875707,2654431,2551878
Oman,Japan,1626879,2733456,2673570,3583852,5583074,3294385,4532165,5145081,6862794,5631042,3894519,1502303,1762204,1876458,2923544,2735017,1467607,1420109,3169439,2500013
Oman,"Taipei, Chinese",480771,782196,1028508,828984,1184630,1066987,1737730,1268869,4255287,3527805,3658339,2252959,1154377,1406155,2043979,1401782,728842,1772848,2738436,2427481
Oman,United States of America,449421,595323,960307,1087283,896004,966515,810175,2288065,1421884,1083985,1040158,973146,1193363,1126823,1342370,1220677,886675,1981053,2981326,1759461
Oman,Thailand,1460468,2412930,2787384,2593820,2635052,2074885,2407851,2615329,2345446,2150213,1778715,631409,93306,146508,202093,499214,564465,1324154,2306726,1245117
Oman,Türkiye,1387,3871,2113,24334,10611,16584,39464,56558,52849,165343,112306,60169,49087,95049,67441,226561,329577,1051794,1582034,996760
Oman,Malaysia,397389,509479,884672,468052,865239,155839,85440,502456,296854,281133,173725,347406,265307,306953,563618,433344,647010,783915,1192276,801510
Oman,Brazil,14,340,789,5617,10,555,13313,46280,4346,69728,257451,72112,95603,138522,124588,89342,156326,692641,1207017,679695
Oman,Madagascar,321,565,60,599,696,129,4488,8564,25841,335,524,9199,17213,993,9689,9057,50536,388952,601289,649368
Oman,Singapore,193017,247293,228239,258047,488933,578647,813093,1288565,2350381,1813054,508107,295067,153211,136042,378986,202777,282030,520930,545633,614536
Oman,Croatia,562,263,560,163,605,909,343,727,906,129,4835,1077,821,393,308,100,10,1583,6864,557688
Oman,Germany,14490,17273,32215,30987,19292,23863,23828,53032,67327,65501,88675,53368,43607,43743,54320,43388,40065,175621,81575,548982
Oman,Spain,134195,295121,177671,109318,102716,356794,61934,270461,100557,202402,71296,85967,23994,37808,26971,34530,29526,84964,479592,247119
Oman,"Hong Kong, China",36098,30956,53042,77192,78161,91742,155200,217924,195720,89520,70816,46408,64372,65477,104162,60396,105636,161923,130349,174332
Oman,France,35166,29308,23036,28474,120017,41500,60489,102109,37711,256901,106240,61119,22571,23010,100852,117342,25428,177014,261224,139273
Oman,Australia,1611,1790,2577,3068,12922,80045,36332,63887,21495,76394,35686,51780,34287,66426,50376,6269,18155,91462,264327,126969
Oman,Italy,17005,22151,38518,30605,24118,58295,102414,175498,120695,184666,51613,85183,55546,63599,98897,119628,57374,137213,396920,114203
Oman,Belgium,12162,22102,6133,4867,30278,21083,54932,78944,86684,112414,78996,10554,13793,13280,17101,19572,54361,69664,270036,113095
Oman,Slovakia,1461,0,0,131,3,246,100,82,40,22,25,111,140,471,64,499,521,278,5241,102852
Oman,Netherlands,4799,16100,7352,61969,261831,28182,109519,103206,81646,165442,165422,164915,82043,92074,283590,130267,125690,117912,143447,98456
Oman,Poland,1679,2254,1842,4061,5713,4162,8068,18163,9832,10799,12827,9205,10327,8625,5114,4600,25564,35835,210782,96358
Oman,United Kingdom,117598,100675,104624,146780,193651,135222,148249,149711,112030,114804,168302,81203,67799,72686,82375,114283,77971,138849,117248,86465
Oman,Romania,202,325,767,2270,29857,32736,26942,38451,36424,32100,22510,7845,47541,8497,17163,4346,4468,9747,23537,86163
Oman,Canada,5605,3847,5408,3088,4223,5440,20162,19462,30720,7719,50833,40533,23687,30085,35130,33353,35874,56495,108584,82392
Oman,Norway,155,1325,996,72,369,317,1363,243,2386,582,903,7092,583,412,885,10004,21731,17509,42291,71642
Oman,Portugal,2511,11110,850,587,1710,1628,13193,12754,1333,8019,1729,9857,1216,2855,2093,4127,1973,9162,3509,53773
Oman,Ukraine,1654,460,3,237,868,1897,325,991,1398,1434,14068,5914,1725,5240,7060,9645,22534,16314,9087,46480
Oman,Greece,7064,7361,6709,6035,5728,3918,5671,7108,3643,122601,2141,3693,1778,2328,35056,2769,3932,8559,126443,37533
Oman,Switzerland,1720,4628,20327,4257,4525,32451,2033,2812,6593,8274,4069,4719,5880,9383,8505,10173,13574,16278,22032,35204
Oman,Bulgaria,34,12,2,5,17,4092,11274,6131,13461,13289,10000,245,3275,2183,1228,1662,2072,1594,18931,27006
Oman,Denmark,658,864,384,305,24867,381,825,33879,4465,6897,36219,5941,10256,6561,7951,60758,8117,8872,49951,23009
Oman,Czech Republic,249,19,76,275,672,9609,10821,25824,20443,16399,12236,13324,10959,14838,20120,15441,17483,18914,39501,18808
Oman,Argentina,4,0,228,0,3,84,11213,24295,654,1445,3940,22255,45597,32137,152379,52503,68031,199212,64264,13885
Oman,Estonia,5,4,0,23,0,0,59,7345,3506,374,18,7,36,79,5180,1037,24,1113,9798,11896
Oman,Hungary,34,78,308,68,239,778,4117,5767,16277,16434,10282,17398,15806,13411,7876,3494,488,1213,20654,11890
Oman,New Zealand,127816,106631,86683,173,250,31916,149525,226677,951262,319302,23875,2120,36573,16571,17564,3428,3989,9845,7037,10481
Oman,Finland,144,15,50,25,70,1083,3320,5930,2304,410,204,274,161,485,2205,43790,180,349,13427,10132
Oman,Chile,116,82,122,75,52,47,439,14026,805,370,82,100,153,655,792,2499,5488,43985,22422,9885
Oman,Sweden,2374,4068,2240,960,619,1145,3208,1045,4082,1656,1429,1328,1392,993,63630,25937,8995,1131,24989,9722
Oman,Colombia,27,13,341,8,110,38,108,100,8,1161,5366,16264,1392,5065,5647,21787,5996,38053,39446,8990
Oman,Lithuania,45,76,0,0,0,792,0,1485,847,732,1353,61947,252,322,340,796,1394,1753,3503,6801
Oman,Slovenia,6,6,16201,80,457,452,3449,684,7832,1633,973,144,2423,1976,2076,399,1498,14007,1961,5146
Oman,Ireland,1829,2428,3050,14529,3307,2190,8882,9730,7971,7512,8882,6658,7001,5851,5055,6366,5840,6305,16873,5103
Oman,Cyprus,2355,2186,1631,2716,3250,2359,3606,2484,1404,889,554,697,493,1091,277,704,576,931,1480,4807
Oman,Ecuador,49,4,27,105,67,197,88,69,9,44,238,290,293,455,383,1037,1999,3026,1881,3944
Oman,Guatemala,0,4,2,0,27,95,1,43,46,305,545,1217,1124,1545,1174,1582,4206,7303,4683,3907
Oman,Austria,637,591,356,537,671,2957,1174,8472,4156,8341,2844,2235,1435,1395,2526,1366,1687,1654,4984,3294
Oman,Costa Rica,0,45,18,17,2,18,254,135,59,2,20,43,90,90,2434,3385,1600,9643,6188,2963
Oman,Bosnia and Herzegovina,0,0,26,39,0,238,204,598,6,129,816,942,47,279,345,168,3,191,562,2836
Oman,Paraguay,0,0,0,0,0,24,83,149,72,111,0,2087,7282,16566,25918,12562,8876,22790,106212,2811
Oman,El Salvador,0,0,0,139,380,1,137,188,228,71,806,1277,1749,1891,1891,2675,2772,5875,4233,1999
Oman,Serbia,,,1020,3565,3760,1660,3438,694,719,2054,8742,2392,2925,2548,719,195,1694,5283,20192,1953
Oman,Peru,63,73,53,2,187,15,93,0,177,41,201,2396,2147,1199,2851,3169,2874,34430,9074,1404
Oman,Malta,328,473,658,1204,7711,930,1197,505,409,280,464,1047,222,47,719,163,901,2828,2452,551
Oman,Luxembourg,1,0,0,21,0,40,0,0,0,28539,28021,15190,357,2,4,1,39,100,87,380
Oman,Iceland,0,0,0,0,0,0,0,0,0,7,6,22,5,21,11,8,12,17,8,30
Oman,Latvia,4,64,469,457,52,0,0,0,0,28,0,387,0,102,21,0,1,7,10,15
Oman,"Bolivia, Plurinational State of",0,0,0,43,103,1,575,180,0,0,10,9,0,478,2,594,28120,3102,1239,0
Oman,Belize,0,0,0,0,0,0,0,0,0,0,44,85,0,0,0,0,0,0,0,0
Oman,Cabo Verde,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,22,0
Oman,Cayman Islands,,,,,,,,,,,,,,,,,0,1,,
Oman,Liberia,,,,,,,,,,,,,,605,493,386,770,4078,5653,
Oman,Uzbekistan,,,,,,,,,,,,,,0,0,88,5,9,3915,
Oman,Curaçao,,,,,,,,,,,,,,204,23,32,16,,,
Oman,"Congo, Democratic Republic of the",,,,,,,,,,,,31094,7030,2993,8600,19943,9098,22706,91803,
Oman,Tajikistan,,,,,,,,,,,270,3,1,0,53,0,1,35,1,
Oman,Sierra Leone,,,,,,,,,,,0,2079,556,200,369,,,,,
Oman,Iraq,,,,,,,,,,,76459,,,,,,,,,
Oman,Haiti,,,,,,,,,,34,6,76,0,0,,,,,,
Oman,Bermuda,,,,,,,,,0,0,0,0,4,3,2,0,0,5,0,
Oman,Sudan,,,,,,,,,8007,10404,30910,14449,10549,36078,189647,,,,,
Oman,Myanmar,,,,,,,7416,5715,4607,4850,3877,6289,9239,10995,25565,18989,106305,101793,83968,
Oman,Nepal,,,,,,2076,386,1623,3096,2214,2410,680,1400,3528,28102,41221,36922,19004,70811,
Oman,Djibouti,,,,,,5917,,,,,,,,,,,,,,
Oman,Tonga,,,,,0,0,0,9,24,1,36,,,0,0,0,0,0,0,
Oman,Afghanistan,,,,,0,0,0,0,0,0,0,0,0,1720,4447,2211,,,,
Oman,"Libya, State of",,,,2999,4277,2652,2956,,,,,10366,7173,9045,17430,20222,,,,
Oman,Congo,,,,35,37,44,43,50,163,4235,195,648,294,609,2989,925,1470,3504,4226,
Oman,"Palestine, State of",,,,202,246,764,1908,1961,979,1099,1897,2639,2984,3618,3374,2538,2774,3925,6055,
Oman,Vanuatu,,,28,24,,16,8,8,,,,,,,,,,,,
Oman,Montenegro,,,52,0,0,15,31,0,3,10,10,6,1,25,6,5,0,13,45,
Oman,Central African Republic,,,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,72,113,
Oman,Nigeria,,,767,6982,10170,6390,10491,15478,9269,5044,6171,7120,5984,4666,8325,18439,15171,67273,593312,
Oman,Antigua and Barbuda,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,23,0,
Oman,United Arab Emirates,,48280,,102258,955809,,,,1473927,2070169,1744561,1696165,2431855,2183597,2235525,2180462,1838949,2586996,2621292,
Oman,Kiribati,,0,,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,,
Oman,Lesotho,,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,0,
Oman,Netherlands Antilles,,3,3,12,366,,,,,,,,,,,,,,,
Oman,Papua New Guinea,179,,,,,,,243,1385,,,,,,,325,535,217,,
Oman,Andorra,0,,0,0,0,0,15,12,0,8,0,0,0,0,0,0,0,0,0,
Oman,Kuwait,46339,,72104,89753,101028,74620,90619,304075,226178,502586,494609,243009,213632,226587,261427,214158,241175,204539,204866,
Oman,Timor-Leste,0,0,,,,,,,,0,,,,0,0,0,0,2,0,
Oman,Guinea-Bissau,0,0,,,,,,,,5,13,17,0,0,0,,,,,
Oman,Suriname,0,0,,0,,0,0,0,0,36,0,0,1,410,0,0,0,0,715,
Oman,Mauritania,0,0,,23,16,21,16,108,82,283,212,154,301,766,39,435,254,1597,2123,
Oman,Togo,22,0,,0,61,365,703,600,808,1048,747,635,193,395,479,1705,1051,6045,2878,
Oman,Comoros,17,31,,0,36,317,193,245,425,369,631,608,411,472,631,875,4362,4111,,
Oman,Cuba,0,0,0,,,,,,,,,,0,51,0,0,0,0,3146,
Oman,Seychelles,6,1001,268,,1013,9051,283,365,1834,846,183,352,297,438,1503,1028,320,83,2464,
Oman,Mongolia,0,0,0,0,,,0,144,32,4,0,0,0,20,3,6,0,0,0,
Oman,Angola,31,4,720,5370,,2681,1796,4138,14123,20949,13682,16197,9238,20595,8346,7206,7189,2756,5561,
Oman,Saint Lucia,0,0,0,0,0,,,,19,0,0,19,0,0,33,0,1,,,
Oman,Mali,9,63,45,6,20,,0,19,2668,,,,211,241,1,76,160,20,1,
Oman,Grenada,0,0,24,76,0,,1,1,0,116,0,140,0,0,0,0,0,1,0,
Oman,Dominica,0,0,0,3,0,0,0,0,0,0,,,0,0,0,0,0,0,34,
Oman,Bangladesh,998,1772,2019,14474,9712,11767,19468,30603,22973,28080,,81456,,,,,,,,
Oman,Qatar,0,77242,120947,219219,281195,278020,234192,165783,166691,335519,402373,347913,,751680,971488,995712,602916,610296,1011042,
Oman,Sri Lanka,2992,3584,6684,61386,10038,9683,90139,223135,349262,773748,348538,238779,38293,77512,,183864,175347,125254,201565,
Oman,Albania,0,0,0,0,0,4,0,14,65,384,868,681,18,47,67,15135,1571,4762,41456,
Oman,Azerbaijan,94,152,482,180,3346,228,36,153,164,166,79,56,100,295,2561,366,494,260,478,
Oman,Bahamas,0,0,0,0,0,0,0,0,0,0,0,32,0,17,20,0,9,3,0,
Oman,Bahrain,17089,21225,23364,31740,52889,37507,39787,41589,74627,161345,200395,89639,73374,107000,122964,179220,137230,102557,173264,
Oman,Armenia,0,0,81,48,292,24,222,380,242,1086,1684,681,207,240,106,248,308,178,243,
Oman,Barbados,13,229,57,38,0,30,17,0,0,1,1,0,68,18,83,21,0,14,9,
Oman,Botswana,21,0,9,3,0,136,319,211,707,519,349,67,1,666,158,0,61,337,184,
Oman,Brunei Darussalam,178,121,119,46,547,151,204,1632,467,589,1421,1400,110,61,245,223,12663,30,369,
Oman,Burundi,2,10,152,98,5,59,7,829,2747,3079,2117,30,17,77,1442,650,1124,1450,12273,
Oman,Cambodia,96,50,63,92,170,141,5,0,128,54,0,36,2,4,0,877,2852,2104,4678,
Oman,Benin,12,0,0,0,0,0,0,247,44,205,255,78,0,11005,140,1593,4021,7335,5843,
Oman,Dominican Republic,0,31,110,68,8,83,0,51,0,17,844,340,785,313,1551,1572,4018,2073,3426,
Oman,Ethiopia,2382,2955,4778,8528,7101,7546,9393,27380,21496,22657,37373,37928,13878,36186,29702,104017,15601,47385,36910,
Oman,Fiji,77,68,180,22,0,0,0,40,602,95,221,245,312,80,106,22,29,33,398,
Oman,French Polynesia,4,50,8,19,0,0,0,0,19,31,80,0,4,1,0,0,0,1,2,
Oman,Georgia,404,525,380,590,3517,2137,1567,615,106,78,745,125,121,236,841,100,470,1658,1503,
Oman,Gambia,0,0,0,0,0,0,12,20,9,9,4,9,6,6,4,6,0,192,227,
Oman,Guyana,0,0,0,37,12,0,0,1,2,0,8,2,33,0,0,8,29,85,2,
Oman,Indonesia,703,345,12508,4992,13372,63217,203404,464400,226185,252952,193649,144377,61387,260197,348943,460155,341629,597659,1376784,
Oman,"Iran, Islamic Republic of",5633,3168,0,84160,144175,236602,75058,73325,58056,75480,71525,32782,68217,77765,267759,169127,433857,619140,759082,
Oman,Israel,2,3,1362,1422,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,
Oman,Côte d'Ivoire,352,312,910,1628,716,2137,942,1518,3175,3529,3394,1556,927,1569,6876,13242,20246,20796,28152,
Oman,Jamaica,0,0,0,0,0,0,0,0,0,0,10,67,0,53,151,418,348,261,340,
