reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Oman,China,111021,190993,339541,548029,794515,747451,944497,998177,1811576,1900844,2065381,2117933,2174997,2325082,2875748,3020944,3076466,3565159,4205491,3811786
Oman,United States of America,330113,570725,853844,1059219,1415390,1087468,1105210,1436647,1746917,1571254,2015912,2355322,1803273,1984164,2415174,1936844,1129864,1397166,1487327,1862409
Oman,Japan,1160822,1390336,1730578,2522559,3930693,2334301,3127333,2796143,3581810,3126864,3529130,3220188,2554699,2328900,2029031,2116973,1291234,1175300,1219184,1218127
Oman,Brazil,41878,54205,59735,93354,133673,113666,151347,831636,1128976,1106503,859150,583946,492356,695096,674666,937585,737319,1545899,1040691,1191451
Oman,Germany,359185,505557,581626,756913,1301849,631564,742906,1110239,1071430,1022599,928607,1039131,924508,1040320,950859,978404,838780,723029,835831,886586
Oman,United Kingdom,615654,684094,387725,537981,803989,550633,640255,623884,714673,868720,907696,702980,656452,2383872,1351307,694990,545802,458083,502844,617481
Oman,"Korea, Republic of",157072,304310,344323,542443,888590,530595,664097,906983,923590,1006187,1156431,939420,615655,641069,675151,641326,610735,387787,350966,503185
Oman,Italy,425950,171843,245302,407640,607761,446254,335738,429117,597211,576885,558954,721706,902564,739616,791293,541104,563102,468209,385783,456975
Oman,Thailand,73941,159076,232644,282713,554929,423344,554377,580086,725503,746113,657105,611182,574839,517102,558029,532992,360020,504614,461131,424967
Oman,Netherlands,147648,145829,200836,294813,358481,290196,228218,384532,445654,420179,421624,381840,360802,642200,553403,518344,396584,295556,353458,413665
Oman,Türkiye,29119,39959,71000,91831,215755,105518,129311,214651,268460,389730,494773,324571,243824,221411,422235,634475,525283,498179,465977,412992
Oman,Australia,174908,176277,197512,304939,593479,294287,439161,431620,252320,169923,165157,170990,368154,137345,107126,96185,102019,112953,426549,396711
Oman,France,125410,230675,199870,490650,503804,841409,612793,553613,436298,594603,665857,515123,345052,333058,432272,474998,291327,177673,227491,323555
Oman,Malaysia,71109,81034,99835,151358,229826,173010,180366,238073,259195,240877,269247,236389,236636,276573,264630,176503,180875,290714,342533,315674
Oman,Switzerland,62667,65368,88724,155339,145573,139553,200519,190162,242032,255952,219818,216763,281354,336201,264031,256299,317046,277799,258524,307861
Oman,Singapore,86814,89567,99700,124950,183473,159737,131934,165218,402416,273202,166849,206536,212451,173157,171460,248911,191088,237016,444223,278274
Oman,Spain,44585,52057,65281,91972,133954,85005,472405,138741,191352,526761,403155,564533,474573,292195,255944,196462,250884,244309,275829,275851
Oman,Belgium,89281,74287,122791,127526,170258,197746,147023,188711,378284,250635,199130,178270,178265,158391,204534,163428,253335,245356,219894,194252
Oman,Sweden,84083,102979,113236,147388,327355,122113,139150,110853,151110,208334,204882,207580,124638,114493,171771,125906,177275,155572,160327,144004
Oman,Lithuania,280,586,1173,917,32928,839,545,680,1271,1631,2170,2705,2600,1735,2052,3536,11189,4898,3447,128069
Oman,Argentina,26482,43688,49178,25414,57383,45077,39695,59003,39000,34301,28702,29156,42975,79076,73131,97672,63032,89019,170899,110695
Oman,"Hong Kong, China",17202,16406,23272,31290,38241,52825,53352,40702,44164,65306,81881,101541,127960,138947,159623,161721,78152,72878,73724,98399
Oman,Denmark,35940,36112,29181,61159,127374,88839,152597,161584,122211,136527,137094,116053,108451,113241,128264,125587,122293,119339,116965,97268
Oman,Canada,46871,18742,49455,109871,115997,137618,104574,114199,185604,126025,117425,120645,109355,67680,125839,81235,72853,54794,69199,89981
Oman,Ireland,20862,26005,30177,31603,35632,37959,50966,55744,60348,75044,67839,73366,83516,74225,82377,64606,84284,66408,164432,80702
Oman,Poland,4249,17284,45878,51912,120223,17100,18957,20673,75651,95222,64816,41782,50494,126926,75059,48302,44254,79571,59792,75422
Oman,"Taipei, Chinese",12434,15995,23755,32903,52747,76867,95845,173422,150931,174463,154930,136066,142406,120102,476222,132489,56968,81157,101452,75351
Oman,Austria,52341,52470,60595,102609,101892,79985,84958,80112,94003,103993,133043,120126,87440,99755,69903,59259,72312,55323,43853,63705
Oman,New Zealand,59222,24264,36465,66242,47257,50408,34636,78804,70994,70701,82880,62438,60437,60369,73179,70783,98145,89746,93610,63477
Oman,Czech Republic,4501,9144,11113,35395,19196,11621,14997,25162,30737,27103,45659,70997,94428,83158,60418,56621,58074,43449,52946,53355
Oman,South Africa,25730,29190,49683,39660,45780,26244,32098,45621,95625,65152,52248,40630,42313,64266,48964,49814,42606,54616,50832,48279
Oman,Slovakia,5589,6659,10761,8358,17129,6203,9202,14164,13614,20518,26538,18601,26441,39969,41475,32201,31783,30937,21843,35970
Oman,Slovenia,1480,1649,807,1835,1947,2541,6027,2706,2026,2164,3031,4456,4624,6698,5461,6365,9137,14035,9610,30330
Oman,Romania,2318,6161,12002,9174,13047,20736,22523,38359,52728,35359,40461,42410,26618,31456,43092,45978,28156,32317,20391,24412
Oman,Finland,19166,21187,34041,73226,67790,20589,51748,26530,24195,25197,22647,131828,27468,30380,26681,25739,21759,19180,17787,23500
Oman,Bulgaria,494,672,1385,2998,3143,524,20382,28623,14501,25469,25224,41159,6947,10477,13986,13408,25699,11244,14971,22430
Oman,Estonia,267,235,357,440,812,1542,830,590,1211,2395,2405,1225,856,2164,3088,2361,3211,6754,33551,21414
Oman,Norway,10011,12443,6537,12093,16791,13022,42341,10687,41109,10502,13571,8676,9914,143739,78835,18500,13561,19647,18060,19138
Oman,Ukraine,15036,47905,71674,92853,177574,14948,15571,20063,69307,49874,35073,27990,51871,33990,59116,79458,85290,187080,39144,16565
Oman,Greece,1601,8861,11288,28002,13612,36922,4460,9065,6898,38771,9759,10872,20476,13377,16402,14358,14874,20066,16640,15487
Oman,Portugal,768,819,15161,7922,8619,6126,3685,6673,60000,34029,16072,22518,20432,21081,13018,16451,15033,9096,14027,12360
Oman,Ecuador,0,45,107,205,77,222,216,442,233,1036,271,385,566,834,2031,2797,2120,3165,5273,11641
Oman,Serbia,,,59,4,581,255,190,132,155,1209,31,235,1618,4227,3408,6351,679,1467,2924,7693
Oman,Cyprus,3311,2710,3304,3143,3599,2928,3748,3820,5244,5695,8442,5295,4825,4556,5812,4894,4778,4578,6778,7458
Oman,Chile,10274,13797,26117,19068,12761,5638,29591,10422,11372,85471,14973,23711,43805,13778,46727,9182,5625,10917,8817,6583
Oman,Croatia,316,10423,1022,2960,1437,1497,1069,866,2722,1449,1662,21218,2882,8055,1509,4238,2344,24958,1907,6474
Oman,Hungary,6063,7590,6890,26771,43369,13146,9235,18041,26578,13858,10892,22088,15142,13961,14074,13327,8774,10875,14963,5790
Oman,Malta,2247,2526,2130,3847,2935,4068,3872,4154,5210,55677,8168,9906,5399,8908,8153,5940,11816,6962,6367,4452
Oman,Iceland,30,13,15,0,19,13,43,22,49,92,104,12,7,1,0,79,343,445,141,3528
Oman,"Bolivia, Plurinational State of",0,0,0,0,0,0,0,1,5,0,0,39,0,0,0,247,1,9,101,2968
Oman,Luxembourg,1323,844,1710,3066,1153,1328,781,2725,3017,1765,1801,1597,2277,0,3160,1163,5911,3917,1282,2508
Oman,Latvia,196,259,287,239,5257,196,543,407,6054,1309,1077,1071,2390,1825,1610,4046,1631,1336,1799,2212
Oman,Colombia,4,93,36,98,87,7121,152,90,162,263,771,833,1669,636,556,1210,2859,1527,3216,2016
Oman,Peru,0,0,20913,0,407,319,178,154,843,17794,56936,24444,12524,13615,1968,7380,1381,597,262,1522
Oman,Bosnia and Herzegovina,0,718,28,32,0,16,16,40,137,36,1,396,47,470,1607,1288,481,812,2421,1130
