reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Pakistan,China,814968,1242111,1854991
Pakistan,United States of America,541300,693399,842733
Pakistan,Japan,501202,716535,903260
Pakistan,Germany,450794,528535,616466
Pakistan,Malaysia,399270,524424,670852
Pakistan,United Kingdom,332783,368802,483147
Pakistan,"Korea, Republic of",355382,405196,447417
Pakistan,Singapore,364923,393551,455945
Pakistan,India,164599,187707,183554
Pakistan,Switzerland,213126,192036,258494
Pakistan,Italy,261870,282332,327518
Pakistan,Thailand,178215,228486,337698
Pakistan,Indonesia,178634,264892,265383
Pakistan,Australia,224085,232578,231608
Pakistan,France,261418,273744,223739
Pakistan,"Taipei, Chinese",172629,185622,230065
Pakistan,Saudi Arabia,148800,136867,169084
Pakistan,Netherlands,152120,138361,205226
Pakistan,Canada,47395,54787,215915
Pakistan,Russian Federation,57332,81477,70837
Pakistan,Belgium,118249,159342,194717
Pakistan,Kenya,112544,33930,130897
Pakistan,Syrian Arab Republic,28878,113070,39457
Pakistan,Ukraine,21421,23333,93496
Pakistan,Kuwait,67624,57996,80460
Pakistan,"Hong Kong, China",78825,95763,108836
Pakistan,"Iran, Islamic Republic of",79516,119540,150896
Pakistan,Sweden,49764,43053,64323
Pakistan,Qatar,11936,16568,16326
Pakistan,Finland,18119,27892,38083
Pakistan,Spain,50632,62484,79310
Pakistan,Brazil,67467,27289,45504
Pakistan,Türkiye,31186,57457,70354
Pakistan,South Africa,64386,43306,86090
Pakistan,Morocco,42988,27199,19446
Pakistan,Austria,27034,48649,60195
Pakistan,Egypt,20855,42850,47366
Pakistan,Ireland,17002,18051,19066
Pakistan,Denmark,20215,35760,28492
Pakistan,Hungary,7515,22294,29863
Pakistan,Bangladesh,22427,31201,36030
Pakistan,Argentina,20160,58501,55223
Pakistan,Viet Nam,8894,21513,23100
Pakistan,Sri Lanka,24868,28822,36136
Pakistan,Poland,9028,10428,9521
Pakistan,Mali,0,433,5394
Pakistan,Bahrain,7864,10835,20464
Pakistan,Oman,7382,13607,1923
Pakistan,Czech Republic,10476,16095,14437
Pakistan,Jordan,25623,31376,22980
Pakistan,Philippines,8048,7910,13108
Pakistan,Slovenia,7966,8709,14473
Pakistan,New Zealand,8976,10892,15003
Pakistan,Cameroon,3583,7940,12737
Pakistan,Romania,19488,13774,21107
Pakistan,Greece,9625,9440,12800
Pakistan,Belarus,2060,4785,5192
Pakistan,Norway,8644,7272,8198
Pakistan,Portugal,1516,2920,8615
Pakistan,Tunisia,5302,17590,16405
Pakistan,Eswatini,0,0,0
Pakistan,Lithuania,3916,7227,1835
Pakistan,Sudan (before 2012),2274,4965,16097
Pakistan,Côte d'Ivoire,633,10461,8998
Pakistan,Mexico,10240,9656,11442
Pakistan,"Tanzania, United Republic of",7007,8896,7732
Pakistan,Yemen,,,
Pakistan,Benin,1319,12773,4405
Pakistan,Bulgaria,3627,3202,7968
Pakistan,Slovakia,1319,681,601
Pakistan,Togo,0,836,5967
Pakistan,Ethiopia,1520,13746,1251
Pakistan,Guatemala,754,2134,3997
Pakistan,Senegal,0,726,0
Pakistan,Peru,1293,595,812
Pakistan,Lebanon,591,231,370
Pakistan,Zimbabwe,15,672,911
Pakistan,Colombia,359,222,872
Pakistan,Croatia,1172,1197,1353
Pakistan,Luxembourg,875,1724,1676
Pakistan,Cyprus,620,766,1857
Pakistan,Malawi,1539,1058,1449
Pakistan,Madagascar,318,399,443
Pakistan,Timor-Leste,,,
Pakistan,Mozambique,158,24,419
Pakistan,Chile,365,345,774
Pakistan,Estonia,2487,5524,1317
Pakistan,Israel,456,517,469
Pakistan,Kazakhstan,489,438,742
Pakistan,Mauritius,157,170,182
Pakistan,Cuba,308,909,1014
Pakistan,"Venezuela, Bolivarian Republic of",1307,4368,978
Pakistan,Rwanda,206,1269,603
Pakistan,Costa Rica,433,231,84
Pakistan,"Macedonia, North",3,458,524
Pakistan,Serbia and Montenegro,236,31,
Pakistan,Latvia,50,159,218
Pakistan,"Moldova, Republic of",0,0,2
Pakistan,Paraguay,0,23,101
Pakistan,Uganda,2328,456,216
Pakistan,Iceland,0,0,0
Pakistan,Trinidad and Tobago,0,19,69
Pakistan,Malta,48,225,86
Pakistan,Honduras,0,4,0
Pakistan,Dominican Republic,0,92,92
Pakistan,Guyana,0,32,42
Pakistan,Ecuador,0,11,76
Pakistan,Uruguay,55,807,1726
Pakistan,Algeria,39,53,3761
Pakistan,Papua New Guinea,4,0,128
Pakistan,"Bolivia, Plurinational State of",0,148,0
Pakistan,"Macao, China",0,0,0
Pakistan,Brunei Darussalam,4,17,110
Pakistan,Botswana,34,1223,92
Pakistan,Armenia,106,0,166
Pakistan,Mongolia,0,,118
Pakistan,Suriname,0,,
Pakistan,Panama,0,0,0
Pakistan,Gabon,30,51,0
Pakistan,Bosnia and Herzegovina,,,2
Pakistan,Jamaica,9,0,80
Pakistan,Azerbaijan,3584,2530,20
Pakistan,Barbados,0,13,1
Pakistan,Cambodia,31,5,17
Pakistan,Maldives,0,0,0
Pakistan,Burundi,0,0,0
Pakistan,Fiji,,17,7
Pakistan,Ghana,0,,574
Pakistan,Andorra,0,3,7
Pakistan,Georgia,0,0,27
Pakistan,Gambia,1,0,0
Pakistan,Kyrgyzstan,53,32,21
Pakistan,Mauritania,4843,4211,1660
Pakistan,Namibia,8,79,0
Pakistan,Nicaragua,6,12,0
Pakistan,Niger,0,0,34
Pakistan,Saint Lucia,3,0,0
Pakistan,Seychelles,12,10,0
Pakistan,Burkina Faso,0,15,0
Pakistan,Zambia,10,59,44
Pakistan,Nepal,,,994
Pakistan,Eritrea,,,168
Pakistan,Central African Republic,0,0,50
Pakistan,Nigeria,0,0,268
