reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Palau,Japan,13296,9195,13385
Palau,Philippines,12,2665,574
Palau,Australia,0,0,1
Palau,"Korea, Republic of",24,17,664
Palau,United States of America,15426,16598,1837
Palau,Brazil,69,9,1
Palau,"Micronesia, Federated States of",,0,103
Palau,"Taipei, Chinese",84,3,3
Palau,Poland,0,64,0
Palau,Colombia,1,0,70
Palau,Dominican Republic,0,0,0
Palau,Mexico,0,0,21
Palau,Fiji,,0,0
Palau,Guatemala,0,0,75
Palau,Papua New Guinea,0,0,0
Palau,Pakistan,,,0
Palau,Germany,98,3,5
Palau,Türkiye,0,0,0
Palau,Ghana,24,,0
Palau,Austria,0,13,30
Palau,Bangladesh,0,62,0
Palau,Bulgaria,0,1,0
Palau,Costa Rica,0,0,15
Palau,Czech Republic,0,1,0
Palau,Denmark,0,5,0
Palau,France,3,0,27
Palau,French Polynesia,3,0,0
Palau,Gambia,3,0,0
Palau,Hungary,0,51,0
Palau,Indonesia,0,3,0
Palau,Ireland,56,0,0
Palau,Lebanon,0,0,43
Palau,Madagascar,0,7,0
Palau,Malawi,23,0,0
Palau,New Zealand,7,0,0
Palau,Nicaragua,0,4,0
Palau,Viet Nam,166,4,3
Palau,Spain,70,0,0
Palau,Switzerland,0,0,2
Palau,Togo,15,53,1
Palau,Nigeria,2,0,1
