reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Palau,Türkiye,1,0,1,0,0,0,0,0,0,0,2728,2308,361,1315,1444,681,9033,960,0,1432
Palau,United States of America,199,789,993,666,1147,86,151,217,469,187,595,633,1329,665,1436,1681,510,615,809,566
Palau,"Taipei, Chinese",75,80,606,1413,1107,331,440,579,588,508,470,242,222,641,741,514,490,915,607,556
Palau,Japan,18014,30015,40435,28873,26197,17107,16227,18382,23559,14992,13838,6849,14404,21511,21559,15692,4620,1826,2119,320
Palau,"Korea, Republic of",204,284,199,243,117,76,24,62,40,114,12,4,13,1823,122,3389,314,248,334,240
Palau,Greece,0,0,0,0,0,0,0,0,0,0,153,0,7403,1,0,0,0,0,2233,107
Palau,Singapore,0,0,0,0,0,0,0,0,25,16,105,3,8,37,41,117,2,50,105,34
Palau,France,0,0,23,3,0,0,13,0,0,8,35,13,8,13,89,79,6,39,1384,13
Palau,United Kingdom,0,0,0,0,0,0,0,0,18,18,2,6,8,4,2,3,6,21,2,12
Palau,Brazil,163,90,0,0,0,0,7,1,55,1,0,0,0,3,38,28,0,2,0,8
Palau,Australia,421,2,7,29,3,0,244,0,2,9,15,1,6,364,130,96,145,130,181,4
Palau,China,0,0,5,1,60,0,32,5,28,14,62,5,38,0,120,59,7,85,127,3
Palau,Netherlands,0,0,44,118,0,14,0,9,5,18,12,0,9,9,3,1,0,0,0,3
Palau,Austria,0,19,0,0,0,1,0,1,0,0,0,0,0,11,5,0,0,1,0,2
Palau,Poland,24,40,2,50,123,0,23,10,87,0,1,0,0,2,0,0,1,0,4,2
Palau,Denmark,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Palau,Ireland,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106,17,17,1
Palau,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Palau,Sweden,0,0,0,0,0,0,0,0,0,0,0,8,6,1,0,0,0,2,11,1
Palau,Thailand,0,0,0,0,4,2,5,7,0,0,0,0,0,1,16,8,0,1,1,1
Palau,Ukraine,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
