reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Palestine,Jordan,13252,11968,10465
Palestine,Netherlands,3261,4168,4106
Palestine,United Kingdom,174,450,1079
Palestine,"Korea, Republic of",1175,601,459
Palestine,Saudi Arabia,1906,1992,1492
Palestine,United States of America,6172,9072,1544
Palestine,Algeria,0,382,0
Palestine,Kuwait,222,784,890
Palestine,Germany,679,489,823
Palestine,Italy,723,1698,747
Palestine,France,36,257,745
Palestine,Türkiye,98,13,454
Palestine,Sweden,0,2,37
Palestine,Belgium,0,144,325
Palestine,Austria,92,97,127
Palestine,Switzerland,31,233,268
Palestine,Qatar,160,169,151
Palestine,Yemen,,,
Palestine,Ireland,47,0,0
Palestine,China,51,90,234
Palestine,Belize,85,6,2
Palestine,Spain,26,0,106
Palestine,Cyprus,0,0,0
Palestine,Oman,77,76,78
Palestine,Poland,28745,41643,57424
Palestine,Greece,0,0,17
Palestine,Norway,0,0,0
Palestine,Slovakia,0,1,0
Palestine,Slovenia,0,16,104
Palestine,Russian Federation,0,0,0
Palestine,Egypt,152,183,3944
Palestine,Czech Republic,2,0,1
Palestine,Azerbaijan,0,0,13
Palestine,Bahrain,0,3,5
Palestine,Colombia,8,0,0
Palestine,Cuba,1,0,5
Palestine,Denmark,17,0,1
Palestine,Estonia,10,0,0
Palestine,Finland,0,0,0
Palestine,Indonesia,7,115,0
Palestine,Côte d'Ivoire,1,0,0
Palestine,Lebanon,0,0,78
Palestine,"Macao, China",0,0,2
Palestine,Malaysia,0,14,3
Palestine,Mexico,4,0,0
Palestine,Paraguay,1235,914,0
Palestine,Peru,0,0,3
Palestine,Portugal,30,4,0
Palestine,Syrian Arab Republic,0,0,107
