reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Palestine,Türkiye,545,304,501,762,429,274,576,271,464,1425,2631,2343,3364,4975,6660,9034,35993,11536,12179,22138
Palestine,Netherlands,4202,4441,4194,4846,986,1387,35459,1154,1580,2631,4129,3659,3875,1096,1714,3607,5813,7884,4408,7997
Palestine,United Kingdom,1524,1720,2081,2554,2067,1027,1368,2309,2556,2984,2654,3843,4244,4460,5221,5027,7352,8995,6545,6972
Palestine,United States of America,1065,3392,4336,3867,5160,7381,7328,8673,5651,5726,5029,5814,6916,6813,5411,4787,5915,7468,11300,6813
Palestine,Germany,865,1278,474,327,447,549,235,291,599,698,1278,866,923,1091,1502,2808,4800,7269,3837,4400
Palestine,France,702,3535,6417,4980,1843,898,892,2582,3515,1377,1231,2298,2270,3312,3496,5434,4870,6542,5932,4317
Palestine,Belgium,361,1331,1097,3511,4009,3759,2983,7079,9421,6862,5430,3518,3012,2279,2335,2572,2175,2236,2367,2091
Palestine,Italy,759,1327,1427,2008,1067,961,1046,1436,901,914,607,681,1892,918,802,1202,1849,2460,1318,2037
Palestine,Malaysia,0,492,4,4,0,20,26,17,28,101,289,447,348,653,1314,622,941,944,1556,1651
Palestine,"Korea, Republic of",1305,3775,4577,3497,4490,6894,1732,1686,615,1081,1103,570,1202,1807,1806,1752,946,1406,1725,1513
Palestine,Norway,12,0,0,0,0,49,632,671,802,150,20,195,120,213,302,491,806,854,782,1404
Palestine,Sweden,541,0,0,19,0,57,9,111,66,131,139,154,248,233,575,728,1018,1729,788,1205
Palestine,Switzerland,231,367,221,273,132,296,389,503,547,420,324,166,336,352,354,504,433,999,744,559
Palestine,Malta,0,0,0,0,0,0,0,0,0,59,80,2,0,41,15,92,422,176,141,515
Palestine,Bulgaria,0,0,0,36,338,21,0,0,0,0,0,0,2,2,3,1,19,0,0,422
Palestine,Austria,292,216,215,436,125,62,80,204,210,192,338,571,466,170,220,406,522,500,287,343
Palestine,Spain,56,130,64,17,14,14,2,1,0,6,5,32,616,310,255,116,184,30,109,343
Palestine,Greece,17,40,135,45,0,68,0,0,0,24,68,89,214,44,1,431,749,599,85,295
Palestine,Portugal,0,0,0,0,25,8,43,0,2,49,8,21,350,192,5,132,0,0,0,239
Palestine,Japan,0,34,11,26,23,83,486,49,27,128,414,538,615,492,535,470,422,460,381,235
Palestine,Denmark,0,0,0,0,1,0,0,57,21,32,181,30,25,195,30,33,38,120,173,162
Palestine,Slovenia,8,0,0,0,3,0,0,39,30,1,24,2,0,1,1,31,14,1,2,142
Palestine,Colombia,0,1696,0,16,5,36,9,5,28,34,57,30,11,7,21,25,35,0,0,99
Palestine,Ireland,83,10,27,12,13,8,3229,73,114,77,5,0,10,0,9,0,74,138,210,97
Palestine,Bosnia and Herzegovina,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,73
Palestine,Romania,0,2,2,0,0,0,0,3,0,0,6,0,6,13,0,17,22,3,133,57
