reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Palestine,China,9843,23598,27864,37676,40780,23624,26008,47815,40725,90677,75507,70770,61599,69361,73758,82144,100456,128005,158130,164797
Palestine,Germany,18919,21337,18123,26745,44367,39780,44414,52596,64864,71185,70491,68020,93386,98451,105609,89051,94236,115424,136191,138015
Palestine,Türkiye,9025,9401,21154,21247,20690,29523,40305,49092,62696,79565,92131,82224,94595,87460,77569,67595,87062,99587,126816,131961
Palestine,Switzerland,8922,11752,9220,14739,22874,25628,26719,31933,29167,29670,26555,24729,22317,29312,32358,35742,45083,56160,78210,77702
Palestine,"Korea, Republic of",3250,10465,5087,20228,23365,14268,18958,27740,46255,82135,92677,110499,90309,102167,69336,48963,39951,62653,78256,54370
Palestine,Italy,2707,2173,2287,2942,5236,5967,7941,7401,4983,10448,8821,13540,20160,25846,29335,34448,31762,44131,44290,49196
Palestine,Netherlands,6264,8166,8769,9588,11612,10512,13401,8949,8027,9286,20708,23402,22350,24318,32460,32321,31309,42621,40473,48039
Palestine,Poland,15,81,356,283,698,350,1065,1629,1041,4290,5957,6261,10874,12390,9804,10958,14909,15006,21134,25747
Palestine,Spain,1266,7472,1950,2242,5276,1249,4825,9112,9262,14023,21094,26326,30820,25630,21036,15497,10502,17304,22666,24611
Palestine,Czech Republic,941,1028,144,866,306,431,3163,1698,2212,1176,4505,3623,15684,12948,3555,13842,3919,30113,39409,22628
Palestine,Slovenia,19,4,20,18,35,28,218,20,92,432,60,212,196,569,1603,1165,2347,3054,3038,20786
Palestine,France,6849,9467,10805,11628,7625,4847,13334,8970,13210,14871,16056,22701,17116,14867,18442,19763,12029,18443,13756,18477
Palestine,Portugal,0,12,40,58,148,0,213,149,125,799,803,391,410,1564,8283,14156,5892,12833,15884,18431
Palestine,Sweden,642,39,140,259,54,123,2430,12155,4931,1996,4428,2255,2722,20690,5814,9618,3078,9424,15936,17983
Palestine,Slovakia,426,950,339,507,887,324,1070,1044,1653,9947,7258,9991,24542,18576,9339,5207,1940,8532,8804,13523
Palestine,Ukraine,0,0,0,0,1532,630,1477,1709,5363,8003,10128,13673,14577,21831,24164,27293,26300,21534,12229,11962
Palestine,Belgium,513,477,880,933,2913,1265,3075,3948,5228,2950,7552,6271,5377,4783,6675,16108,13071,54646,14893,10915
